,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_stay,gpt4o,0,paper,scissors,-1,3
1,opponent_transition_stay,gpt4o,1,scissors,scissors,0,0
2,opponent_transition_stay,gpt4o,2,scissors,rock,-1,3
3,opponent_transition_stay,gpt4o,3,rock,scissors,3,-1
4,opponent_transition_stay,gpt4o,4,scissors,scissors,0,0
5,opponent_transition_stay,gpt4o,5,scissors,rock,-1,3
6,opponent_transition_stay,gpt4o,6,rock,scissors,3,-1
7,opponent_transition_stay,gpt4o,7,scissors,paper,3,-1
8,opponent_transition_stay,gpt4o,8,rock,rock,0,0
9,opponent_transition_stay,gpt4o,9,rock,rock,0,0
10,opponent_transition_stay,gpt4o,10,rock,paper,-1,3
11,opponent_transition_stay,gpt4o,11,paper,rock,3,-1
12,opponent_transition_stay,gpt4o,12,rock,paper,-1,3
13,opponent_transition_stay,gpt4o,13,paper,rock,3,-1
14,opponent_transition_stay,gpt4o,14,rock,rock,0,0
15,opponent_transition_stay,gpt4o,15,rock,paper,-1,3
16,opponent_transition_stay,gpt4o,16,paper,paper,0,0
17,opponent_transition_stay,gpt4o,17,paper,paper,0,0
18,opponent_transition_stay,gpt4o,18,paper,paper,0,0
19,opponent_transition_stay,gpt4o,19,paper,paper,0,0
20,opponent_transition_stay,gpt4o,20,paper,scissors,-1,3
21,opponent_transition_stay,gpt4o,21,scissors,scissors,0,0
22,opponent_transition_stay,gpt4o,22,scissors,scissors,0,0
23,opponent_transition_stay,gpt4o,23,scissors,rock,-1,3
24,opponent_transition_stay,gpt4o,24,rock,rock,0,0
25,opponent_transition_stay,gpt4o,25,rock,paper,-1,3
26,opponent_transition_stay,gpt4o,26,paper,paper,0,0
27,opponent_transition_stay,gpt4o,27,paper,scissors,-1,3
28,opponent_transition_stay,gpt4o,28,scissors,paper,3,-1
29,opponent_transition_stay,gpt4o,29,paper,paper,0,0
30,opponent_transition_stay,gpt4o,30,paper,scissors,-1,3
31,opponent_transition_stay,gpt4o,31,scissors,scissors,0,0
32,opponent_transition_stay,gpt4o,32,scissors,paper,3,-1
33,opponent_transition_stay,gpt4o,33,paper,rock,3,-1
34,opponent_transition_stay,gpt4o,34,rock,scissors,3,-1
35,opponent_transition_stay,gpt4o,35,rock,paper,-1,3
36,opponent_transition_stay,gpt4o,36,paper,rock,3,-1
37,opponent_transition_stay,gpt4o,37,rock,scissors,3,-1
38,opponent_transition_stay,gpt4o,38,rock,paper,-1,3
39,opponent_transition_stay,gpt4o,39,paper,paper,0,0
40,opponent_transition_stay,gpt4o,40,paper,scissors,-1,3
41,opponent_transition_stay,gpt4o,41,scissors,scissors,0,0
42,opponent_transition_stay,gpt4o,42,scissors,rock,-1,3
43,opponent_transition_stay,gpt4o,43,rock,rock,0,0
44,opponent_transition_stay,gpt4o,44,rock,paper,-1,3
45,opponent_transition_stay,gpt4o,45,paper,paper,0,0
46,opponent_transition_stay,gpt4o,46,scissors,scissors,0,0
47,opponent_transition_stay,gpt4o,47,scissors,rock,-1,3
48,opponent_transition_stay,gpt4o,48,rock,rock,0,0
49,opponent_transition_stay,gpt4o,49,rock,paper,-1,3
50,opponent_transition_stay,gpt4o,50,paper,paper,0,0
51,opponent_transition_stay,gpt4o,51,paper,scissors,-1,3
52,opponent_transition_stay,gpt4o,52,scissors,scissors,0,0
53,opponent_transition_stay,gpt4o,53,scissors,rock,-1,3
54,opponent_transition_stay,gpt4o,54,rock,scissors,3,-1
