,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_up,llama3,0,rock,scissors,3,-1
1,self_transition_up,llama3,1,paper,paper,0,0
2,self_transition_up,llama3,2,scissors,rock,-1,3
3,self_transition_up,llama3,3,rock,scissors,3,-1
4,self_transition_up,llama3,4,paper,paper,0,0
5,self_transition_up,llama3,5,scissors,paper,3,-1
6,self_transition_up,llama3,6,scissors,paper,3,-1
7,self_transition_up,llama3,7,scissors,rock,-1,3
8,self_transition_up,llama3,8,rock,rock,0,0
9,self_transition_up,llama3,9,paper,rock,3,-1
10,self_transition_up,llama3,10,scissors,rock,-1,3
11,self_transition_up,llama3,11,rock,rock,0,0
12,self_transition_up,llama3,12,paper,scissors,-1,3
13,self_transition_up,llama3,13,scissors,paper,3,-1
14,self_transition_up,llama3,14,rock,paper,-1,3
15,self_transition_up,llama3,15,paper,rock,3,-1
16,self_transition_up,llama3,16,scissors,rock,-1,3
17,self_transition_up,llama3,17,rock,scissors,3,-1
18,self_transition_up,llama3,18,paper,paper,0,0
19,self_transition_up,llama3,19,scissors,scissors,0,0
20,self_transition_up,llama3,20,rock,paper,-1,3
21,self_transition_up,llama3,21,paper,rock,3,-1
22,self_transition_up,llama3,22,scissors,rock,-1,3
23,self_transition_up,llama3,23,rock,rock,0,0
24,self_transition_up,llama3,24,paper,paper,0,0
25,self_transition_up,llama3,25,scissors,scissors,0,0
26,self_transition_up,llama3,26,rock,paper,-1,3
27,self_transition_up,llama3,27,paper,rock,3,-1
28,self_transition_up,llama3,28,scissors,scissors,0,0
29,self_transition_up,llama3,29,rock,paper,-1,3
30,self_transition_up,llama3,30,rock,paper,-1,3
31,self_transition_up,llama3,31,paper,paper,0,0
32,self_transition_up,llama3,32,scissors,paper,3,-1
33,self_transition_up,llama3,33,rock,rock,0,0
34,self_transition_up,llama3,34,paper,scissors,-1,3
35,self_transition_up,llama3,35,scissors,paper,3,-1
36,self_transition_up,llama3,36,rock,paper,-1,3
37,self_transition_up,llama3,37,paper,rock,3,-1
38,self_transition_up,llama3,38,scissors,scissors,0,0
39,self_transition_up,llama3,39,rock,scissors,3,-1
40,self_transition_up,llama3,40,paper,paper,0,0
41,self_transition_up,llama3,41,scissors,rock,-1,3
42,self_transition_up,llama3,42,rock,paper,-1,3
43,self_transition_up,llama3,43,scissors,rock,-1,3
44,self_transition_up,llama3,44,rock,scissors,3,-1
45,self_transition_up,llama3,45,paper,scissors,-1,3
46,self_transition_up,llama3,46,scissors,paper,3,-1
47,self_transition_up,llama3,47,rock,rock,0,0
48,self_transition_up,llama3,48,paper,paper,0,0
49,self_transition_up,llama3,49,scissors,rock,-1,3
50,self_transition_up,llama3,50,scissors,scissors,0,0
51,self_transition_up,llama3,51,rock,paper,-1,3
52,self_transition_up,llama3,52,paper,rock,3,-1
53,self_transition_up,llama3,53,scissors,scissors,0,0
54,self_transition_up,llama3,54,rock,rock,0,0
55,self_transition_up,llama3,55,paper,scissors,-1,3
56,self_transition_up,llama3,56,scissors,scissors,0,0
57,self_transition_up,llama3,57,rock,paper,-1,3
58,self_transition_up,llama3,58,paper,rock,3,-1
59,self_transition_up,llama3,59,scissors,rock,-1,3
60,self_transition_up,llama3,60,scissors,rock,-1,3
61,self_transition_up,llama3,61,rock,rock,0,0
62,self_transition_up,llama3,62,paper,scissors,-1,3
63,self_transition_up,llama3,63,scissors,rock,-1,3
64,self_transition_up,llama3,64,rock,paper,-1,3
65,self_transition_up,llama3,65,paper,scissors,-1,3
66,self_transition_up,llama3,66,scissors,rock,-1,3
67,self_transition_up,llama3,67,scissors,scissors,0,0
68,self_transition_up,llama3,68,rock,rock,0,0
69,self_transition_up,llama3,69,paper,scissors,-1,3
70,self_transition_up,llama3,70,scissors,scissors,0,0
71,self_transition_up,llama3,71,rock,rock,0,0
72,self_transition_up,llama3,72,paper,scissors,-1,3
73,self_transition_up,llama3,73,scissors,paper,3,-1
74,self_transition_up,llama3,74,rock,rock,0,0
75,self_transition_up,llama3,75,paper,paper,0,0
76,self_transition_up,llama3,76,scissors,rock,-1,3
77,self_transition_up,llama3,77,rock,scissors,3,-1
78,self_transition_up,llama3,78,paper,scissors,-1,3
79,self_transition_up,llama3,79,paper,rock,3,-1
80,self_transition_up,llama3,80,scissors,scissors,0,0
81,self_transition_up,llama3,81,rock,rock,0,0
82,self_transition_up,llama3,82,paper,paper,0,0
83,self_transition_up,llama3,83,scissors,scissors,0,0
84,self_transition_up,llama3,84,rock,paper,-1,3
85,self_transition_up,llama3,85,paper,rock,3,-1
86,self_transition_up,llama3,86,scissors,scissors,0,0
87,self_transition_up,llama3,87,rock,paper,-1,3
88,self_transition_up,llama3,88,paper,paper,0,0
89,self_transition_up,llama3,89,rock,rock,0,0
90,self_transition_up,llama3,90,paper,scissors,-1,3
91,self_transition_up,llama3,91,scissors,paper,3,-1
