,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_stay,gpt4o,0,rock,rock,0,0
1,opponent_transition_stay,gpt4o,1,scissors,paper,3,-1
2,opponent_transition_stay,gpt4o,2,paper,scissors,-1,3
3,opponent_transition_stay,gpt4o,3,scissors,paper,3,-1
4,opponent_transition_stay,gpt4o,4,paper,rock,3,-1
5,opponent_transition_stay,gpt4o,5,rock,rock,0,0
6,opponent_transition_stay,gpt4o,6,rock,scissors,3,-1
7,opponent_transition_stay,gpt4o,7,scissors,scissors,0,0
8,opponent_transition_stay,gpt4o,8,scissors,paper,3,-1
9,opponent_transition_stay,gpt4o,9,paper,rock,3,-1
10,opponent_transition_stay,gpt4o,10,rock,scissors,3,-1
11,opponent_transition_stay,gpt4o,11,scissors,rock,-1,3
12,opponent_transition_stay,gpt4o,12,rock,scissors,3,-1
13,opponent_transition_stay,gpt4o,13,scissors,paper,3,-1
14,opponent_transition_stay,gpt4o,14,paper,rock,3,-1
15,opponent_transition_stay,gpt4o,15,rock,rock,0,0
16,opponent_transition_stay,gpt4o,16,rock,rock,0,0
17,opponent_transition_stay,gpt4o,17,scissors,rock,-1,3
18,opponent_transition_stay,gpt4o,18,rock,paper,-1,3
19,opponent_transition_stay,gpt4o,19,rock,paper,-1,3
20,opponent_transition_stay,gpt4o,20,rock,rock,0,0
21,opponent_transition_stay,gpt4o,21,rock,paper,-1,3
22,opponent_transition_stay,gpt4o,22,paper,paper,0,0
23,opponent_transition_stay,gpt4o,23,paper,paper,0,0
24,opponent_transition_stay,gpt4o,24,paper,paper,0,0
25,opponent_transition_stay,gpt4o,25,paper,paper,0,0
26,opponent_transition_stay,gpt4o,26,paper,scissors,-1,3
27,opponent_transition_stay,gpt4o,27,scissors,scissors,0,0
28,opponent_transition_stay,gpt4o,28,scissors,rock,-1,3
29,opponent_transition_stay,gpt4o,29,rock,paper,-1,3
30,opponent_transition_stay,gpt4o,30,paper,paper,0,0
31,opponent_transition_stay,gpt4o,31,paper,scissors,-1,3
32,opponent_transition_stay,gpt4o,32,scissors,scissors,0,0
33,opponent_transition_stay,gpt4o,33,scissors,paper,3,-1
34,opponent_transition_stay,gpt4o,34,paper,scissors,-1,3
35,opponent_transition_stay,gpt4o,35,scissors,paper,3,-1
36,opponent_transition_stay,gpt4o,36,paper,rock,3,-1
37,opponent_transition_stay,gpt4o,37,rock,scissors,3,-1
38,opponent_transition_stay,gpt4o,38,scissors,paper,3,-1
39,opponent_transition_stay,gpt4o,39,paper,rock,3,-1
40,opponent_transition_stay,gpt4o,40,rock,scissors,3,-1
41,opponent_transition_stay,gpt4o,41,scissors,paper,3,-1
42,opponent_transition_stay,gpt4o,42,paper,rock,3,-1
43,opponent_transition_stay,gpt4o,43,rock,scissors,3,-1
44,opponent_transition_stay,gpt4o,44,scissors,paper,3,-1
45,opponent_transition_stay,gpt4o,45,paper,rock,3,-1
46,opponent_transition_stay,gpt4o,46,rock,scissors,3,-1
47,opponent_transition_stay,gpt4o,47,scissors,paper,3,-1
48,opponent_transition_stay,gpt4o,48,paper,rock,3,-1
49,opponent_transition_stay,gpt4o,49,rock,rock,0,0
50,opponent_transition_stay,gpt4o,50,rock,rock,0,0
51,opponent_transition_stay,gpt4o,51,rock,paper,-1,3
52,opponent_transition_stay,gpt4o,52,paper,rock,3,-1
53,opponent_transition_stay,gpt4o,53,paper,paper,0,0
54,opponent_transition_stay,gpt4o,54,paper,scissors,-1,3
55,opponent_transition_stay,gpt4o,55,scissors,paper,3,-1
56,opponent_transition_stay,gpt4o,56,paper,rock,3,-1
57,opponent_transition_stay,gpt4o,57,rock,scissors,3,-1
58,opponent_transition_stay,gpt4o,58,scissors,paper,3,-1
59,opponent_transition_stay,gpt4o,59,paper,rock,3,-1
60,opponent_transition_stay,gpt4o,60,rock,scissors,3,-1
61,opponent_transition_stay,gpt4o,61,scissors,scissors,0,0
62,opponent_transition_stay,gpt4o,62,scissors,paper,3,-1
63,opponent_transition_stay,gpt4o,63,rock,rock,0,0
64,opponent_transition_stay,gpt4o,64,rock,paper,-1,3
65,opponent_transition_stay,gpt4o,65,paper,rock,3,-1
66,opponent_transition_stay,gpt4o,66,rock,paper,-1,3
67,opponent_transition_stay,gpt4o,67,paper,rock,3,-1
68,opponent_transition_stay,gpt4o,68,rock,paper,-1,3
69,opponent_transition_stay,gpt4o,69,paper,scissors,-1,3
70,opponent_transition_stay,gpt4o,70,scissors,paper,3,-1
71,opponent_transition_stay,gpt4o,71,rock,paper,-1,3
72,opponent_transition_stay,gpt4o,72,paper,scissors,-1,3
73,opponent_transition_stay,gpt4o,73,scissors,paper,3,-1
74,opponent_transition_stay,gpt4o,74,paper,paper,0,0
75,opponent_transition_stay,gpt4o,75,paper,rock,3,-1
76,opponent_transition_stay,gpt4o,76,rock,scissors,3,-1
77,opponent_transition_stay,gpt4o,77,scissors,scissors,0,0
78,opponent_transition_stay,gpt4o,78,scissors,paper,3,-1
79,opponent_transition_stay,gpt4o,79,paper,rock,3,-1
80,opponent_transition_stay,gpt4o,80,rock,scissors,3,-1
81,opponent_transition_stay,gpt4o,81,scissors,paper,3,-1
82,opponent_transition_stay,gpt4o,82,paper,rock,3,-1
83,opponent_transition_stay,gpt4o,83,rock,paper,-1,3
84,opponent_transition_stay,gpt4o,84,paper,paper,0,0
85,opponent_transition_stay,gpt4o,85,paper,paper,0,0
86,opponent_transition_stay,gpt4o,86,paper,scissors,-1,3
87,opponent_transition_stay,gpt4o,87,scissors,paper,3,-1
88,opponent_transition_stay,gpt4o,88,paper,rock,3,-1
89,opponent_transition_stay,gpt4o,89,rock,scissors,3,-1
90,opponent_transition_stay,gpt4o,90,paper,scissors,-1,3
91,opponent_transition_stay,gpt4o,91,scissors,paper,3,-1
92,opponent_transition_stay,gpt4o,92,paper,rock,3,-1
93,opponent_transition_stay,gpt4o,93,rock,paper,-1,3
94,opponent_transition_stay,gpt4o,94,paper,scissors,-1,3
95,opponent_transition_stay,gpt4o,95,scissors,paper,3,-1
96,opponent_transition_stay,gpt4o,96,rock,paper,-1,3
97,opponent_transition_stay,gpt4o,97,paper,scissors,-1,3
98,opponent_transition_stay,gpt4o,98,scissors,paper,3,-1
99,opponent_transition_stay,gpt4o,99,paper,scissors,-1,3
100,opponent_transition_stay,gpt4o,100,scissors,paper,3,-1
101,opponent_transition_stay,gpt4o,101,paper,rock,3,-1
102,opponent_transition_stay,gpt4o,102,rock,paper,-1,3
103,opponent_transition_stay,gpt4o,103,paper,scissors,-1,3
104,opponent_transition_stay,gpt4o,104,rock,scissors,3,-1
105,opponent_transition_stay,gpt4o,105,scissors,scissors,0,0
106,opponent_transition_stay,gpt4o,106,scissors,paper,3,-1
107,opponent_transition_stay,gpt4o,107,paper,rock,3,-1
108,opponent_transition_stay,gpt4o,108,rock,paper,-1,3
109,opponent_transition_stay,gpt4o,109,rock,scissors,3,-1
110,opponent_transition_stay,gpt4o,110,scissors,paper,3,-1
111,opponent_transition_stay,gpt4o,111,paper,rock,3,-1
112,opponent_transition_stay,gpt4o,112,rock,paper,-1,3
113,opponent_transition_stay,gpt4o,113,paper,scissors,-1,3
114,opponent_transition_stay,gpt4o,114,scissors,paper,3,-1
115,opponent_transition_stay,gpt4o,115,paper,scissors,-1,3
116,opponent_transition_stay,gpt4o,116,scissors,scissors,0,0
117,opponent_transition_stay,gpt4o,117,scissors,paper,3,-1
118,opponent_transition_stay,gpt4o,118,paper,rock,3,-1
119,opponent_transition_stay,gpt4o,119,rock,scissors,3,-1
120,opponent_transition_stay,gpt4o,120,scissors,paper,3,-1
121,opponent_transition_stay,gpt4o,121,paper,rock,3,-1
122,opponent_transition_stay,gpt4o,122,rock,scissors,3,-1
123,opponent_transition_stay,gpt4o,123,rock,scissors,3,-1
124,opponent_transition_stay,gpt4o,124,scissors,paper,3,-1
125,opponent_transition_stay,gpt4o,125,scissors,rock,-1,3
126,opponent_transition_stay,gpt4o,126,rock,scissors,3,-1
127,opponent_transition_stay,gpt4o,127,scissors,rock,-1,3
128,opponent_transition_stay,gpt4o,128,rock,paper,-1,3
129,opponent_transition_stay,gpt4o,129,paper,rock,3,-1
130,opponent_transition_stay,gpt4o,130,rock,paper,-1,3
131,opponent_transition_stay,gpt4o,131,paper,rock,3,-1
132,opponent_transition_stay,gpt4o,132,rock,paper,-1,3
133,opponent_transition_stay,gpt4o,133,paper,paper,0,0
134,opponent_transition_stay,gpt4o,134,paper,paper,0,0
135,opponent_transition_stay,gpt4o,135,scissors,paper,3,-1
136,opponent_transition_stay,gpt4o,136,paper,rock,3,-1
137,opponent_transition_stay,gpt4o,137,rock,scissors,3,-1
138,opponent_transition_stay,gpt4o,138,scissors,paper,3,-1
139,opponent_transition_stay,gpt4o,139,scissors,rock,-1,3
140,opponent_transition_stay,gpt4o,140,rock,scissors,3,-1
141,opponent_transition_stay,gpt4o,141,scissors,paper,3,-1
142,opponent_transition_stay,gpt4o,142,paper,paper,0,0
143,opponent_transition_stay,gpt4o,143,paper,paper,0,0
144,opponent_transition_stay,gpt4o,144,paper,rock,3,-1
145,opponent_transition_stay,gpt4o,145,rock,scissors,3,-1
146,opponent_transition_stay,gpt4o,146,scissors,paper,3,-1
147,opponent_transition_stay,gpt4o,147,rock,rock,0,0
148,opponent_transition_stay,gpt4o,148,rock,paper,-1,3
149,opponent_transition_stay,gpt4o,149,paper,paper,0,0
150,opponent_transition_stay,gpt4o,150,scissors,paper,3,-1
151,opponent_transition_stay,gpt4o,151,paper,paper,0,0
152,opponent_transition_stay,gpt4o,152,paper,paper,0,0
153,opponent_transition_stay,gpt4o,153,paper,scissors,-1,3
154,opponent_transition_stay,gpt4o,154,scissors,paper,3,-1
