,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_up,gpt3.5,0,paper,rock,3,-1
1,self_transition_up,gpt3.5,1,scissors,scissors,0,0
2,self_transition_up,gpt3.5,2,rock,paper,-1,3
3,self_transition_up,gpt3.5,3,paper,rock,3,-1
4,self_transition_up,gpt3.5,4,scissors,scissors,0,0
5,self_transition_up,gpt3.5,5,rock,rock,0,0
6,self_transition_up,gpt3.5,6,paper,paper,0,0
7,self_transition_up,gpt3.5,7,scissors,scissors,0,0
8,self_transition_up,gpt3.5,8,scissors,paper,3,-1
9,self_transition_up,gpt3.5,9,rock,paper,-1,3
10,self_transition_up,gpt3.5,10,paper,rock,3,-1
11,self_transition_up,gpt3.5,11,scissors,paper,3,-1
12,self_transition_up,gpt3.5,12,rock,paper,-1,3
13,self_transition_up,gpt3.5,13,rock,rock,0,0
14,self_transition_up,gpt3.5,14,paper,paper,0,0
15,self_transition_up,gpt3.5,15,scissors,rock,-1,3
16,self_transition_up,gpt3.5,16,rock,scissors,3,-1
17,self_transition_up,gpt3.5,17,paper,paper,0,0
18,self_transition_up,gpt3.5,18,paper,rock,3,-1
19,self_transition_up,gpt3.5,19,scissors,rock,-1,3
20,self_transition_up,gpt3.5,20,paper,scissors,-1,3
21,self_transition_up,gpt3.5,21,scissors,rock,-1,3
22,self_transition_up,gpt3.5,22,rock,rock,0,0
23,self_transition_up,gpt3.5,23,paper,rock,3,-1
24,self_transition_up,gpt3.5,24,scissors,scissors,0,0
25,self_transition_up,gpt3.5,25,rock,paper,-1,3
26,self_transition_up,gpt3.5,26,paper,paper,0,0
27,self_transition_up,gpt3.5,27,scissors,scissors,0,0
28,self_transition_up,gpt3.5,28,rock,scissors,3,-1
29,self_transition_up,gpt3.5,29,paper,paper,0,0
30,self_transition_up,gpt3.5,30,scissors,rock,-1,3
31,self_transition_up,gpt3.5,31,rock,paper,-1,3
32,self_transition_up,gpt3.5,32,paper,rock,3,-1
33,self_transition_up,gpt3.5,33,scissors,scissors,0,0
34,self_transition_up,gpt3.5,34,rock,paper,-1,3
35,self_transition_up,gpt3.5,35,paper,paper,0,0
36,self_transition_up,gpt3.5,36,scissors,paper,3,-1
37,self_transition_up,gpt3.5,37,rock,paper,-1,3
38,self_transition_up,gpt3.5,38,paper,paper,0,0
39,self_transition_up,gpt3.5,39,scissors,scissors,0,0
40,self_transition_up,gpt3.5,40,rock,paper,-1,3
41,self_transition_up,gpt3.5,41,paper,rock,3,-1
42,self_transition_up,gpt3.5,42,scissors,paper,3,-1
43,self_transition_up,gpt3.5,43,rock,paper,-1,3
44,self_transition_up,gpt3.5,44,paper,rock,3,-1
45,self_transition_up,gpt3.5,45,scissors,rock,-1,3
46,self_transition_up,gpt3.5,46,rock,paper,-1,3
47,self_transition_up,gpt3.5,47,scissors,rock,-1,3
48,self_transition_up,gpt3.5,48,rock,paper,-1,3
49,self_transition_up,gpt3.5,49,paper,rock,3,-1
50,self_transition_up,gpt3.5,50,scissors,paper,3,-1
51,self_transition_up,gpt3.5,51,rock,paper,-1,3
52,self_transition_up,gpt3.5,52,paper,paper,0,0
53,self_transition_up,gpt3.5,53,scissors,paper,3,-1
54,self_transition_up,gpt3.5,54,rock,paper,-1,3
55,self_transition_up,gpt3.5,55,paper,rock,3,-1
56,self_transition_up,gpt3.5,56,scissors,paper,3,-1
57,self_transition_up,gpt3.5,57,rock,rock,0,0
58,self_transition_up,gpt3.5,58,paper,rock,3,-1
59,self_transition_up,gpt3.5,59,rock,paper,-1,3
60,self_transition_up,gpt3.5,60,paper,scissors,-1,3
61,self_transition_up,gpt3.5,61,paper,paper,0,0
62,self_transition_up,gpt3.5,62,scissors,scissors,0,0
63,self_transition_up,gpt3.5,63,rock,paper,-1,3
64,self_transition_up,gpt3.5,64,paper,rock,3,-1
65,self_transition_up,gpt3.5,65,scissors,scissors,0,0
66,self_transition_up,gpt3.5,66,rock,paper,-1,3
67,self_transition_up,gpt3.5,67,paper,rock,3,-1
68,self_transition_up,gpt3.5,68,scissors,paper,3,-1
69,self_transition_up,gpt3.5,69,rock,paper,-1,3
70,self_transition_up,gpt3.5,70,paper,rock,3,-1
71,self_transition_up,gpt3.5,71,scissors,paper,3,-1
72,self_transition_up,gpt3.5,72,rock,paper,-1,3
73,self_transition_up,gpt3.5,73,rock,scissors,3,-1
74,self_transition_up,gpt3.5,74,paper,paper,0,0
75,self_transition_up,gpt3.5,75,rock,paper,-1,3
76,self_transition_up,gpt3.5,76,paper,paper,0,0
77,self_transition_up,gpt3.5,77,scissors,paper,3,-1
78,self_transition_up,gpt3.5,78,rock,paper,-1,3
