,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward,timestamp,Unnamed: 0,win,loss,win_percentage,tie,loss_percentage,tie_percentage
0,W_stay_L_up_T_down,gpt4o,0,scissors,scissors,0,0,2024-08-21_14-26-31,,,,,,,
1,W_stay_L_up_T_down,gpt4o,1,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
2,W_stay_L_up_T_down,gpt4o,2,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
3,W_stay_L_up_T_down,gpt4o,3,scissors,scissors,0,0,2024-08-21_14-26-31,,,,,,,
4,W_stay_L_up_T_down,gpt4o,4,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
5,W_stay_L_up_T_down,gpt4o,5,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
6,W_stay_L_up_T_down,gpt4o,6,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
7,W_stay_L_up_T_down,gpt4o,7,scissors,scissors,0,0,2024-08-21_14-26-31,,,,,,,
8,W_stay_L_up_T_down,gpt4o,8,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
9,W_stay_L_up_T_down,gpt4o,9,scissors,scissors,0,0,2024-08-21_14-26-31,,,,,,,
10,W_stay_L_up_T_down,gpt4o,10,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
11,W_stay_L_up_T_down,gpt4o,11,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
12,W_stay_L_up_T_down,gpt4o,12,rock,scissors,3,-1,2024-08-21_14-26-31,,,,,,,
13,W_stay_L_up_T_down,gpt4o,13,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
14,W_stay_L_up_T_down,gpt4o,14,scissors,scissors,0,0,2024-08-21_14-26-31,,,,,,,
15,W_stay_L_up_T_down,gpt4o,15,scissors,scissors,0,0,2024-08-21_14-26-31,,,,,,,
16,W_stay_L_up_T_down,gpt4o,16,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
17,W_stay_L_up_T_down,gpt4o,17,paper,rock,3,-1,2024-08-21_14-26-31,,,,,,,
18,W_stay_L_up_T_down,gpt4o,18,paper,scissors,-1,3,2024-08-21_14-26-31,,,,,,,
19,W_stay_L_up_T_down,gpt4o,19,scissors,rock,-1,3,2024-08-21_14-26-31,,,,,,,
20,W_stay_L_up_T_down,gpt4o,20,rock,scissors,3,-1,2024-08-21_14-26-31,,,,,,,
21,W_stay_L_up_T_down,gpt4o,21,rock,paper,-1,3,2024-08-21_14-26-31,,,,,,,
22,W_stay_L_up_T_down,gpt4o,22,paper,paper,0,0,2024-08-21_14-26-31,,,,,,,
23,W_stay_L_up_T_down,gpt4o,23,rock,rock,0,0,2024-08-21_14-26-31,,,,,,,
24,W_stay_L_up_T_down,gpt4o,24,scissors,scissors,0,0,2024-08-21_14-26-31,,,,,,,
