,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_stay,base_llm_gpt4o,0,scissors,rock,-1,3
1,opponent_transition_stay,base_llm_gpt4o,1,rock,rock,0,0
2,opponent_transition_stay,base_llm_gpt4o,2,rock,rock,0,0
3,opponent_transition_stay,base_llm_gpt4o,3,rock,paper,-1,3
4,opponent_transition_stay,base_llm_gpt4o,4,paper,scissors,-1,3
5,opponent_transition_stay,base_llm_gpt4o,5,scissors,rock,-1,3
6,opponent_transition_stay,base_llm_gpt4o,6,rock,rock,0,0
7,opponent_transition_stay,base_llm_gpt4o,7,rock,paper,-1,3
8,opponent_transition_stay,base_llm_gpt4o,8,paper,scissors,-1,3
9,opponent_transition_stay,base_llm_gpt4o,9,scissors,rock,-1,3
10,opponent_transition_stay,base_llm_gpt4o,10,rock,rock,0,0
11,opponent_transition_stay,base_llm_gpt4o,11,rock,paper,-1,3
12,opponent_transition_stay,base_llm_gpt4o,12,paper,scissors,-1,3
13,opponent_transition_stay,base_llm_gpt4o,13,rock,rock,0,0
14,opponent_transition_stay,base_llm_gpt4o,14,rock,paper,-1,3
15,opponent_transition_stay,base_llm_gpt4o,15,paper,scissors,-1,3
16,opponent_transition_stay,base_llm_gpt4o,16,scissors,rock,-1,3
17,opponent_transition_stay,base_llm_gpt4o,17,rock,rock,0,0
18,opponent_transition_stay,base_llm_gpt4o,18,rock,paper,-1,3
19,opponent_transition_stay,base_llm_gpt4o,19,paper,scissors,-1,3
20,opponent_transition_stay,base_llm_gpt4o,20,scissors,rock,-1,3
21,opponent_transition_stay,base_llm_gpt4o,21,rock,rock,0,0
22,opponent_transition_stay,base_llm_gpt4o,22,rock,paper,-1,3
23,opponent_transition_stay,base_llm_gpt4o,23,paper,scissors,-1,3
24,opponent_transition_stay,base_llm_gpt4o,24,scissors,rock,-1,3
25,opponent_transition_stay,base_llm_gpt4o,25,rock,rock,0,0
26,opponent_transition_stay,base_llm_gpt4o,26,rock,paper,-1,3
27,opponent_transition_stay,base_llm_gpt4o,27,paper,scissors,-1,3
28,opponent_transition_stay,base_llm_gpt4o,28,scissors,rock,-1,3
29,opponent_transition_stay,base_llm_gpt4o,29,rock,rock,0,0
30,opponent_transition_stay,base_llm_gpt4o,30,rock,paper,-1,3
31,opponent_transition_stay,base_llm_gpt4o,31,scissors,scissors,0,0
32,opponent_transition_stay,base_llm_gpt4o,32,scissors,rock,-1,3
33,opponent_transition_stay,base_llm_gpt4o,33,rock,rock,0,0
34,opponent_transition_stay,base_llm_gpt4o,34,rock,paper,-1,3
35,opponent_transition_stay,base_llm_gpt4o,35,paper,scissors,-1,3
36,opponent_transition_stay,base_llm_gpt4o,36,scissors,rock,-1,3
37,opponent_transition_stay,base_llm_gpt4o,37,rock,rock,0,0
38,opponent_transition_stay,base_llm_gpt4o,38,rock,paper,-1,3
39,opponent_transition_stay,base_llm_gpt4o,39,scissors,scissors,0,0
40,opponent_transition_stay,base_llm_gpt4o,40,scissors,rock,-1,3
41,opponent_transition_stay,base_llm_gpt4o,41,rock,rock,0,0
42,opponent_transition_stay,base_llm_gpt4o,42,rock,paper,-1,3
43,opponent_transition_stay,base_llm_gpt4o,43,paper,scissors,-1,3
44,opponent_transition_stay,base_llm_gpt4o,44,scissors,rock,-1,3
45,opponent_transition_stay,base_llm_gpt4o,45,paper,rock,3,-1
46,opponent_transition_stay,base_llm_gpt4o,46,rock,scissors,3,-1
47,opponent_transition_stay,base_llm_gpt4o,47,scissors,paper,3,-1
48,opponent_transition_stay,base_llm_gpt4o,48,paper,rock,3,-1
49,opponent_transition_stay,base_llm_gpt4o,49,rock,scissors,3,-1
50,opponent_transition_stay,base_llm_gpt4o,50,scissors,paper,3,-1
51,opponent_transition_stay,base_llm_gpt4o,51,paper,rock,3,-1
52,opponent_transition_stay,base_llm_gpt4o,52,rock,scissors,3,-1
53,opponent_transition_stay,base_llm_gpt4o,53,scissors,paper,3,-1
54,opponent_transition_stay,base_llm_gpt4o,54,paper,rock,3,-1
55,opponent_transition_stay,base_llm_gpt4o,55,rock,scissors,3,-1
56,opponent_transition_stay,base_llm_gpt4o,56,scissors,paper,3,-1
57,opponent_transition_stay,base_llm_gpt4o,57,paper,rock,3,-1
58,opponent_transition_stay,base_llm_gpt4o,58,rock,scissors,3,-1
59,opponent_transition_stay,base_llm_gpt4o,59,scissors,paper,3,-1
60,opponent_transition_stay,base_llm_gpt4o,60,paper,rock,3,-1
61,opponent_transition_stay,base_llm_gpt4o,61,rock,scissors,3,-1
62,opponent_transition_stay,base_llm_gpt4o,62,scissors,paper,3,-1
63,opponent_transition_stay,base_llm_gpt4o,63,rock,rock,0,0
64,opponent_transition_stay,base_llm_gpt4o,64,rock,paper,-1,3
65,opponent_transition_stay,base_llm_gpt4o,65,paper,scissors,-1,3
66,opponent_transition_stay,base_llm_gpt4o,66,scissors,rock,-1,3
67,opponent_transition_stay,base_llm_gpt4o,67,paper,rock,3,-1
68,opponent_transition_stay,base_llm_gpt4o,68,rock,scissors,3,-1
69,opponent_transition_stay,base_llm_gpt4o,69,scissors,paper,3,-1
70,opponent_transition_stay,base_llm_gpt4o,70,paper,rock,3,-1
71,opponent_transition_stay,base_llm_gpt4o,71,rock,scissors,3,-1
72,opponent_transition_stay,base_llm_gpt4o,72,scissors,paper,3,-1
73,opponent_transition_stay,base_llm_gpt4o,73,paper,rock,3,-1
74,opponent_transition_stay,base_llm_gpt4o,74,rock,scissors,3,-1
75,opponent_transition_stay,base_llm_gpt4o,75,scissors,paper,3,-1
76,opponent_transition_stay,base_llm_gpt4o,76,paper,rock,3,-1
77,opponent_transition_stay,base_llm_gpt4o,77,rock,scissors,3,-1
78,opponent_transition_stay,base_llm_gpt4o,78,scissors,paper,3,-1
79,opponent_transition_stay,base_llm_gpt4o,79,paper,rock,3,-1
80,opponent_transition_stay,base_llm_gpt4o,80,rock,scissors,3,-1
81,opponent_transition_stay,base_llm_gpt4o,81,scissors,paper,3,-1
82,opponent_transition_stay,base_llm_gpt4o,82,paper,rock,3,-1
83,opponent_transition_stay,base_llm_gpt4o,83,rock,scissors,3,-1
84,opponent_transition_stay,base_llm_gpt4o,84,scissors,paper,3,-1
85,opponent_transition_stay,base_llm_gpt4o,85,paper,rock,3,-1
86,opponent_transition_stay,base_llm_gpt4o,86,scissors,scissors,0,0
87,opponent_transition_stay,base_llm_gpt4o,87,scissors,rock,-1,3
88,opponent_transition_stay,base_llm_gpt4o,88,rock,rock,0,0
89,opponent_transition_stay,base_llm_gpt4o,89,rock,paper,-1,3
90,opponent_transition_stay,base_llm_gpt4o,90,paper,scissors,-1,3
91,opponent_transition_stay,base_llm_gpt4o,91,scissors,rock,-1,3
92,opponent_transition_stay,base_llm_gpt4o,92,rock,rock,0,0
93,opponent_transition_stay,base_llm_gpt4o,93,rock,paper,-1,3
94,opponent_transition_stay,base_llm_gpt4o,94,paper,scissors,-1,3
95,opponent_transition_stay,base_llm_gpt4o,95,scissors,rock,-1,3
96,opponent_transition_stay,base_llm_gpt4o,96,rock,rock,0,0
97,opponent_transition_stay,base_llm_gpt4o,97,rock,paper,-1,3
