,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_stay,base_llm_gpt35,0.2,5,0,paper,rock,3,-1
1,opponent_transition_stay,base_llm_gpt35,0.2,5,1,rock,scissors,3,-1
2,opponent_transition_stay,base_llm_gpt35,0.2,5,2,scissors,rock,-1,3
3,opponent_transition_stay,base_llm_gpt35,0.2,5,3,rock,scissors,3,-1
4,opponent_transition_stay,base_llm_gpt35,0.2,5,4,rock,rock,0,0
5,opponent_transition_stay,base_llm_gpt35,0.2,5,5,rock,scissors,3,-1
6,opponent_transition_stay,base_llm_gpt35,0.2,5,6,scissors,rock,-1,3
7,opponent_transition_stay,base_llm_gpt35,0.2,5,7,rock,scissors,3,-1
8,opponent_transition_stay,base_llm_gpt35,0.2,5,8,scissors,rock,-1,3
9,opponent_transition_stay,base_llm_gpt35,0.2,5,9,rock,scissors,3,-1
10,opponent_transition_stay,base_llm_gpt35,0.2,5,10,scissors,rock,-1,3
11,opponent_transition_stay,base_llm_gpt35,0.2,5,11,rock,scissors,3,-1
12,opponent_transition_stay,base_llm_gpt35,0.2,5,12,scissors,rock,-1,3
13,opponent_transition_stay,base_llm_gpt35,0.2,5,13,rock,scissors,3,-1
14,opponent_transition_stay,base_llm_gpt35,0.2,5,14,scissors,rock,-1,3
15,opponent_transition_stay,base_llm_gpt35,0.2,5,15,rock,scissors,3,-1
16,opponent_transition_stay,base_llm_gpt35,0.2,5,16,scissors,rock,-1,3
17,opponent_transition_stay,base_llm_gpt35,0.2,5,17,rock,scissors,3,-1
18,opponent_transition_stay,base_llm_gpt35,0.2,5,18,scissors,rock,-1,3
19,opponent_transition_stay,base_llm_gpt35,0.2,5,19,rock,scissors,3,-1
20,opponent_transition_stay,base_llm_gpt35,0.2,5,20,scissors,rock,-1,3
21,opponent_transition_stay,base_llm_gpt35,0.2,5,21,rock,scissors,3,-1
22,opponent_transition_stay,base_llm_gpt35,0.2,5,22,scissors,rock,-1,3
23,opponent_transition_stay,base_llm_gpt35,0.2,5,23,rock,scissors,3,-1
24,opponent_transition_stay,base_llm_gpt35,0.2,5,24,scissors,rock,-1,3
25,opponent_transition_stay,base_llm_gpt35,0.2,5,25,rock,scissors,3,-1
26,opponent_transition_stay,base_llm_gpt35,0.2,5,26,scissors,rock,-1,3
27,opponent_transition_stay,base_llm_gpt35,0.2,5,27,rock,scissors,3,-1
28,opponent_transition_stay,base_llm_gpt35,0.2,5,28,rock,rock,0,0
29,opponent_transition_stay,base_llm_gpt35,0.2,5,29,rock,scissors,3,-1
30,opponent_transition_stay,base_llm_gpt35,0.2,5,30,scissors,rock,-1,3
31,opponent_transition_stay,base_llm_gpt35,0.2,5,31,rock,scissors,3,-1
32,opponent_transition_stay,base_llm_gpt35,0.2,5,32,scissors,rock,-1,3
33,opponent_transition_stay,base_llm_gpt35,0.2,5,33,rock,scissors,3,-1
34,opponent_transition_stay,base_llm_gpt35,0.2,5,34,scissors,rock,-1,3
35,opponent_transition_stay,base_llm_gpt35,0.2,5,35,rock,rock,0,0
36,opponent_transition_stay,base_llm_gpt35,0.2,5,36,rock,scissors,3,-1
37,opponent_transition_stay,base_llm_gpt35,0.2,5,37,rock,rock,0,0
38,opponent_transition_stay,base_llm_gpt35,0.2,5,38,rock,scissors,3,-1
39,opponent_transition_stay,base_llm_gpt35,0.2,5,39,scissors,rock,-1,3
40,opponent_transition_stay,base_llm_gpt35,0.2,5,40,rock,rock,0,0
41,opponent_transition_stay,base_llm_gpt35,0.2,5,41,rock,scissors,3,-1
42,opponent_transition_stay,base_llm_gpt35,0.2,5,42,scissors,rock,-1,3
43,opponent_transition_stay,base_llm_gpt35,0.2,5,43,rock,rock,0,0
44,opponent_transition_stay,base_llm_gpt35,0.2,5,44,rock,paper,-1,3
45,opponent_transition_stay,base_llm_gpt35,0.2,5,45,paper,scissors,-1,3
46,opponent_transition_stay,base_llm_gpt35,0.2,5,46,scissors,rock,-1,3
47,opponent_transition_stay,base_llm_gpt35,0.2,5,47,rock,rock,0,0
48,opponent_transition_stay,base_llm_gpt35,0.2,5,48,rock,scissors,3,-1
49,opponent_transition_stay,base_llm_gpt35,0.2,5,49,scissors,rock,-1,3
50,opponent_transition_stay,base_llm_gpt35,0.2,5,50,rock,rock,0,0
51,opponent_transition_stay,base_llm_gpt35,0.2,5,51,rock,scissors,3,-1
52,opponent_transition_stay,base_llm_gpt35,0.2,5,52,scissors,rock,-1,3
53,opponent_transition_stay,base_llm_gpt35,0.2,5,53,rock,rock,0,0
54,opponent_transition_stay,base_llm_gpt35,0.2,5,54,rock,scissors,3,-1
55,opponent_transition_stay,base_llm_gpt35,0.2,5,55,scissors,rock,-1,3
56,opponent_transition_stay,base_llm_gpt35,0.2,5,56,rock,scissors,3,-1
57,opponent_transition_stay,base_llm_gpt35,0.2,5,57,scissors,rock,-1,3
58,opponent_transition_stay,base_llm_gpt35,0.2,5,58,rock,rock,0,0
59,opponent_transition_stay,base_llm_gpt35,0.2,5,59,rock,scissors,3,-1
60,opponent_transition_stay,base_llm_gpt35,0.2,5,60,scissors,rock,-1,3
61,opponent_transition_stay,base_llm_gpt35,0.2,5,61,rock,scissors,3,-1
62,opponent_transition_stay,base_llm_gpt35,0.2,5,62,scissors,rock,-1,3
63,opponent_transition_stay,base_llm_gpt35,0.2,5,63,rock,rock,0,0
64,opponent_transition_stay,base_llm_gpt35,0.2,5,64,rock,scissors,3,-1
65,opponent_transition_stay,base_llm_gpt35,0.2,5,65,scissors,rock,-1,3
66,opponent_transition_stay,base_llm_gpt35,0.2,5,66,rock,rock,0,0
67,opponent_transition_stay,base_llm_gpt35,0.2,5,67,rock,scissors,3,-1
68,opponent_transition_stay,base_llm_gpt35,0.2,5,68,rock,rock,0,0
69,opponent_transition_stay,base_llm_gpt35,0.2,5,69,rock,scissors,3,-1
70,opponent_transition_stay,base_llm_gpt35,0.2,5,70,rock,rock,0,0
71,opponent_transition_stay,base_llm_gpt35,0.2,5,71,rock,scissors,3,-1
72,opponent_transition_stay,base_llm_gpt35,0.2,5,72,scissors,rock,-1,3
73,opponent_transition_stay,base_llm_gpt35,0.2,5,73,rock,scissors,3,-1
74,opponent_transition_stay,base_llm_gpt35,0.2,5,74,scissors,rock,-1,3
75,opponent_transition_stay,base_llm_gpt35,0.2,5,75,rock,rock,0,0
76,opponent_transition_stay,base_llm_gpt35,0.2,5,76,rock,scissors,3,-1
77,opponent_transition_stay,base_llm_gpt35,0.2,5,77,scissors,rock,-1,3
78,opponent_transition_stay,base_llm_gpt35,0.2,5,78,rock,rock,0,0
79,opponent_transition_stay,base_llm_gpt35,0.2,5,79,rock,scissors,3,-1
80,opponent_transition_stay,base_llm_gpt35,0.2,5,80,scissors,rock,-1,3
81,opponent_transition_stay,base_llm_gpt35,0.2,5,81,rock,rock,0,0
82,opponent_transition_stay,base_llm_gpt35,0.2,5,82,rock,scissors,3,-1
