,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,0,scissors,paper,3,-1
1,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,1,rock,paper,-1,3
2,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,2,scissors,scissors,0,0
3,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,3,scissors,rock,-1,3
4,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,4,paper,paper,0,0
5,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,5,paper,scissors,-1,3
6,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,6,rock,paper,-1,3
7,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,7,scissors,rock,-1,3
8,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,8,paper,scissors,-1,3
9,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,9,rock,paper,-1,3
10,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,10,scissors,rock,-1,3
11,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,11,paper,scissors,-1,3
12,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,12,rock,paper,-1,3
13,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,13,scissors,rock,-1,3
14,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,14,scissors,scissors,0,0
15,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,15,scissors,rock,-1,3
16,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,16,paper,scissors,-1,3
17,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,17,rock,paper,-1,3
18,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,18,scissors,rock,-1,3
19,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,19,paper,scissors,-1,3
20,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,20,rock,paper,-1,3
21,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,21,scissors,rock,-1,3
22,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,22,paper,scissors,-1,3
23,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,23,rock,paper,-1,3
24,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,24,scissors,rock,-1,3
25,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,25,paper,scissors,-1,3
26,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,26,rock,paper,-1,3
27,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,27,scissors,rock,-1,3
28,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,28,paper,scissors,-1,3
29,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,29,rock,paper,-1,3
30,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,30,scissors,rock,-1,3
31,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,31,paper,scissors,-1,3
32,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,32,rock,paper,-1,3
33,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,33,scissors,rock,-1,3
34,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,34,paper,scissors,-1,3
35,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,35,paper,paper,0,0
36,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,36,paper,scissors,-1,3
37,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,37,rock,paper,-1,3
38,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,38,scissors,rock,-1,3
39,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,39,paper,scissors,-1,3
40,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,40,scissors,paper,3,-1
41,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,41,rock,scissors,3,-1
42,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,42,paper,scissors,-1,3
43,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,43,rock,paper,-1,3
44,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,44,scissors,scissors,0,0
45,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,45,scissors,rock,-1,3
46,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,46,paper,scissors,-1,3
47,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,47,rock,paper,-1,3
48,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,48,scissors,rock,-1,3
49,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,49,scissors,scissors,0,0
50,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,50,scissors,rock,-1,3
51,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,51,paper,paper,0,0
52,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,52,scissors,scissors,0,0
53,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,53,scissors,paper,3,-1
54,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,54,rock,paper,-1,3
55,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,55,scissors,rock,-1,3
56,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,56,paper,scissors,-1,3
57,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,57,rock,paper,-1,3
58,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,58,scissors,rock,-1,3
59,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,59,paper,scissors,-1,3
60,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,60,rock,paper,-1,3
61,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,61,scissors,rock,-1,3
62,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,62,paper,scissors,-1,3
63,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,63,rock,paper,-1,3
64,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,64,scissors,rock,-1,3
65,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,65,paper,scissors,-1,3
66,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,66,scissors,paper,3,-1
67,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,67,rock,scissors,3,-1
68,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,68,paper,paper,0,0
69,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,69,paper,scissors,-1,3
70,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,70,rock,paper,-1,3
71,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,71,rock,rock,0,0
72,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,72,rock,paper,-1,3
73,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,73,scissors,rock,-1,3
74,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,74,paper,scissors,-1,3
75,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,75,rock,paper,-1,3
76,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,76,scissors,rock,-1,3
77,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,77,paper,scissors,-1,3
78,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,78,paper,paper,0,0
79,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,79,paper,scissors,-1,3
80,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,80,rock,paper,-1,3
81,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,81,scissors,rock,-1,3
82,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,82,paper,scissors,-1,3
83,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,83,paper,paper,0,0
84,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,84,paper,scissors,-1,3
85,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,85,rock,paper,-1,3
86,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,86,scissors,rock,-1,3
87,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,87,rock,scissors,3,-1
88,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,88,paper,scissors,-1,3
89,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,89,rock,paper,-1,3
90,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,90,scissors,rock,-1,3
91,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,91,paper,scissors,-1,3
92,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,92,rock,paper,-1,3
93,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,93,scissors,rock,-1,3
94,W_up_L_down_T_stay,choose_hyp_gpt4o,0.2,5,94,paper,paper,0,0
