,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_down,choose_hyp_gpt4o,0.2,5,0,scissors,rock,-1,3
1,self_transition_down,choose_hyp_gpt4o,0.2,5,1,rock,paper,-1,3
2,self_transition_down,choose_hyp_gpt4o,0.2,5,2,scissors,scissors,0,0
3,self_transition_down,choose_hyp_gpt4o,0.2,5,3,paper,rock,3,-1
4,self_transition_down,choose_hyp_gpt4o,0.2,5,4,rock,scissors,3,-1
5,self_transition_down,choose_hyp_gpt4o,0.2,5,5,scissors,rock,-1,3
6,self_transition_down,choose_hyp_gpt4o,0.2,5,6,paper,paper,0,0
7,self_transition_down,choose_hyp_gpt4o,0.2,5,7,rock,paper,-1,3
8,self_transition_down,choose_hyp_gpt4o,0.2,5,8,scissors,rock,-1,3
9,self_transition_down,choose_hyp_gpt4o,0.2,5,9,paper,scissors,-1,3
10,self_transition_down,choose_hyp_gpt4o,0.2,5,10,rock,paper,-1,3
11,self_transition_down,choose_hyp_gpt4o,0.2,5,11,scissors,rock,-1,3
12,self_transition_down,choose_hyp_gpt4o,0.2,5,12,paper,scissors,-1,3
13,self_transition_down,choose_hyp_gpt4o,0.2,5,13,rock,paper,-1,3
14,self_transition_down,choose_hyp_gpt4o,0.2,5,14,scissors,rock,-1,3
15,self_transition_down,choose_hyp_gpt4o,0.2,5,15,paper,scissors,-1,3
16,self_transition_down,choose_hyp_gpt4o,0.2,5,16,rock,paper,-1,3
17,self_transition_down,choose_hyp_gpt4o,0.2,5,17,scissors,rock,-1,3
18,self_transition_down,choose_hyp_gpt4o,0.2,5,18,paper,scissors,-1,3
19,self_transition_down,choose_hyp_gpt4o,0.2,5,19,rock,paper,-1,3
20,self_transition_down,choose_hyp_gpt4o,0.2,5,20,scissors,rock,-1,3
21,self_transition_down,choose_hyp_gpt4o,0.2,5,21,paper,scissors,-1,3
22,self_transition_down,choose_hyp_gpt4o,0.2,5,22,rock,paper,-1,3
23,self_transition_down,choose_hyp_gpt4o,0.2,5,23,scissors,rock,-1,3
24,self_transition_down,choose_hyp_gpt4o,0.2,5,24,paper,scissors,-1,3
25,self_transition_down,choose_hyp_gpt4o,0.2,5,25,rock,paper,-1,3
26,self_transition_down,choose_hyp_gpt4o,0.2,5,26,rock,rock,0,0
27,self_transition_down,choose_hyp_gpt4o,0.2,5,27,scissors,rock,-1,3
28,self_transition_down,choose_hyp_gpt4o,0.2,5,28,paper,scissors,-1,3
29,self_transition_down,choose_hyp_gpt4o,0.2,5,29,rock,paper,-1,3
30,self_transition_down,choose_hyp_gpt4o,0.2,5,30,scissors,rock,-1,3
31,self_transition_down,choose_hyp_gpt4o,0.2,5,31,scissors,scissors,0,0
32,self_transition_down,choose_hyp_gpt4o,0.2,5,32,paper,scissors,-1,3
33,self_transition_down,choose_hyp_gpt4o,0.2,5,33,rock,paper,-1,3
34,self_transition_down,choose_hyp_gpt4o,0.2,5,34,scissors,rock,-1,3
35,self_transition_down,choose_hyp_gpt4o,0.2,5,35,paper,scissors,-1,3
36,self_transition_down,choose_hyp_gpt4o,0.2,5,36,rock,paper,-1,3
37,self_transition_down,choose_hyp_gpt4o,0.2,5,37,rock,rock,0,0
38,self_transition_down,choose_hyp_gpt4o,0.2,5,38,scissors,rock,-1,3
39,self_transition_down,choose_hyp_gpt4o,0.2,5,39,scissors,scissors,0,0
40,self_transition_down,choose_hyp_gpt4o,0.2,5,40,paper,scissors,-1,3
41,self_transition_down,choose_hyp_gpt4o,0.2,5,41,rock,paper,-1,3
