,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_stay,choose_hypothesis_gpt4o,0,scissors,rock,-1,3
1,opponent_transition_stay,choose_hypothesis_gpt4o,1,rock,paper,-1,3
2,opponent_transition_stay,choose_hypothesis_gpt4o,2,paper,scissors,-1,3
3,opponent_transition_stay,choose_hypothesis_gpt4o,3,scissors,rock,-1,3
4,opponent_transition_stay,choose_hypothesis_gpt4o,4,rock,paper,-1,3
5,opponent_transition_stay,choose_hypothesis_gpt4o,5,paper,rock,3,-1
6,opponent_transition_stay,choose_hypothesis_gpt4o,6,rock,scissors,3,-1
7,opponent_transition_stay,choose_hypothesis_gpt4o,7,scissors,paper,3,-1
8,opponent_transition_stay,choose_hypothesis_gpt4o,8,paper,paper,0,0
9,opponent_transition_stay,choose_hypothesis_gpt4o,9,paper,scissors,-1,3
10,opponent_transition_stay,choose_hypothesis_gpt4o,10,scissors,rock,-1,3
11,opponent_transition_stay,choose_hypothesis_gpt4o,11,rock,paper,-1,3
12,opponent_transition_stay,choose_hypothesis_gpt4o,12,paper,rock,3,-1
13,opponent_transition_stay,choose_hypothesis_gpt4o,13,rock,scissors,3,-1
14,opponent_transition_stay,choose_hypothesis_gpt4o,14,scissors,scissors,0,0
15,opponent_transition_stay,choose_hypothesis_gpt4o,15,scissors,rock,-1,3
16,opponent_transition_stay,choose_hypothesis_gpt4o,16,rock,paper,-1,3
17,opponent_transition_stay,choose_hypothesis_gpt4o,17,paper,scissors,-1,3
18,opponent_transition_stay,choose_hypothesis_gpt4o,18,scissors,paper,3,-1
19,opponent_transition_stay,choose_hypothesis_gpt4o,19,paper,paper,0,0
20,opponent_transition_stay,choose_hypothesis_gpt4o,20,scissors,scissors,0,0
21,opponent_transition_stay,choose_hypothesis_gpt4o,21,scissors,rock,-1,3
22,opponent_transition_stay,choose_hypothesis_gpt4o,22,rock,paper,-1,3
23,opponent_transition_stay,choose_hypothesis_gpt4o,23,paper,scissors,-1,3
24,opponent_transition_stay,choose_hypothesis_gpt4o,24,scissors,rock,-1,3
25,opponent_transition_stay,choose_hypothesis_gpt4o,25,rock,paper,-1,3
26,opponent_transition_stay,choose_hypothesis_gpt4o,26,rock,rock,0,0
27,opponent_transition_stay,choose_hypothesis_gpt4o,27,rock,scissors,3,-1
28,opponent_transition_stay,choose_hypothesis_gpt4o,28,scissors,scissors,0,0
29,opponent_transition_stay,choose_hypothesis_gpt4o,29,paper,rock,3,-1
30,opponent_transition_stay,choose_hypothesis_gpt4o,30,rock,rock,0,0
31,opponent_transition_stay,choose_hypothesis_gpt4o,31,scissors,rock,-1,3
32,opponent_transition_stay,choose_hypothesis_gpt4o,32,rock,rock,0,0
33,opponent_transition_stay,choose_hypothesis_gpt4o,33,rock,rock,0,0
34,opponent_transition_stay,choose_hypothesis_gpt4o,34,rock,paper,-1,3
35,opponent_transition_stay,choose_hypothesis_gpt4o,35,paper,rock,3,-1
36,opponent_transition_stay,choose_hypothesis_gpt4o,36,rock,rock,0,0
37,opponent_transition_stay,choose_hypothesis_gpt4o,37,rock,rock,0,0
38,opponent_transition_stay,choose_hypothesis_gpt4o,38,rock,rock,0,0
39,opponent_transition_stay,choose_hypothesis_gpt4o,39,scissors,paper,3,-1
40,opponent_transition_stay,choose_hypothesis_gpt4o,40,paper,rock,3,-1
41,opponent_transition_stay,choose_hypothesis_gpt4o,41,rock,scissors,3,-1
42,opponent_transition_stay,choose_hypothesis_gpt4o,42,scissors,paper,3,-1
43,opponent_transition_stay,choose_hypothesis_gpt4o,43,paper,rock,3,-1
44,opponent_transition_stay,choose_hypothesis_gpt4o,44,rock,rock,0,0
45,opponent_transition_stay,choose_hypothesis_gpt4o,45,paper,scissors,-1,3
