,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,0,rock,paper,-1,3
1,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,1,paper,scissors,-1,3
2,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,2,scissors,rock,-1,3
3,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,3,rock,paper,-1,3
4,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,4,scissors,paper,3,-1
5,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,5,paper,paper,0,0
6,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,6,paper,rock,3,-1
7,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,7,rock,rock,0,0
8,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,8,rock,scissors,3,-1
9,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,9,rock,scissors,3,-1
10,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,10,scissors,rock,-1,3
11,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,11,rock,paper,-1,3
12,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,12,paper,scissors,-1,3
13,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,13,scissors,rock,-1,3
14,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,14,rock,paper,-1,3
15,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,15,paper,scissors,-1,3
16,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,16,scissors,rock,-1,3
17,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,17,rock,paper,-1,3
18,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,18,paper,scissors,-1,3
19,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,19,scissors,rock,-1,3
20,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,20,rock,paper,-1,3
21,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,21,paper,scissors,-1,3
22,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,22,scissors,rock,-1,3
23,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,23,rock,paper,-1,3
24,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,24,rock,scissors,3,-1
25,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,25,scissors,paper,3,-1
26,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,26,paper,rock,3,-1
27,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,27,scissors,paper,3,-1
28,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,28,paper,rock,3,-1
29,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,29,rock,scissors,3,-1
30,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,30,paper,scissors,-1,3
31,opponent_transition_stay,choose_hypothesis_gpt4o,0.2,5,31,scissors,paper,3,-1
