,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_up,choose_hypothesis_gpt4o,0,paper,rock,3,-1
1,opponent_transition_up,choose_hypothesis_gpt4o,1,paper,scissors,-1,3
2,opponent_transition_up,choose_hypothesis_gpt4o,2,rock,rock,0,0
3,opponent_transition_up,choose_hypothesis_gpt4o,3,paper,rock,3,-1
4,opponent_transition_up,choose_hypothesis_gpt4o,4,paper,scissors,-1,3
5,opponent_transition_up,choose_hypothesis_gpt4o,5,rock,paper,-1,3
6,opponent_transition_up,choose_hypothesis_gpt4o,6,scissors,rock,-1,3
7,opponent_transition_up,choose_hypothesis_gpt4o,7,paper,paper,0,0
8,opponent_transition_up,choose_hypothesis_gpt4o,8,scissors,paper,3,-1
9,opponent_transition_up,choose_hypothesis_gpt4o,9,scissors,rock,-1,3
10,opponent_transition_up,choose_hypothesis_gpt4o,10,paper,paper,0,0
11,opponent_transition_up,choose_hypothesis_gpt4o,11,scissors,paper,3,-1
12,opponent_transition_up,choose_hypothesis_gpt4o,12,scissors,rock,-1,3
13,opponent_transition_up,choose_hypothesis_gpt4o,13,paper,paper,0,0
14,opponent_transition_up,choose_hypothesis_gpt4o,14,scissors,scissors,0,0
15,opponent_transition_up,choose_hypothesis_gpt4o,15,rock,scissors,3,-1
16,opponent_transition_up,choose_hypothesis_gpt4o,16,rock,scissors,3,-1
17,opponent_transition_up,choose_hypothesis_gpt4o,17,rock,paper,-1,3
18,opponent_transition_up,choose_hypothesis_gpt4o,18,paper,scissors,-1,3
19,opponent_transition_up,choose_hypothesis_gpt4o,19,rock,paper,-1,3
20,opponent_transition_up,choose_hypothesis_gpt4o,20,paper,scissors,-1,3
21,opponent_transition_up,choose_hypothesis_gpt4o,21,rock,paper,-1,3
22,opponent_transition_up,choose_hypothesis_gpt4o,22,paper,scissors,-1,3
23,opponent_transition_up,choose_hypothesis_gpt4o,23,rock,rock,0,0
24,opponent_transition_up,choose_hypothesis_gpt4o,24,paper,rock,3,-1
25,opponent_transition_up,choose_hypothesis_gpt4o,25,paper,scissors,-1,3
26,opponent_transition_up,choose_hypothesis_gpt4o,26,rock,rock,0,0
27,opponent_transition_up,choose_hypothesis_gpt4o,27,paper,rock,3,-1
28,opponent_transition_up,choose_hypothesis_gpt4o,28,paper,scissors,-1,3
29,opponent_transition_up,choose_hypothesis_gpt4o,29,rock,rock,0,0
30,opponent_transition_up,choose_hypothesis_gpt4o,30,paper,rock,3,-1
31,opponent_transition_up,choose_hypothesis_gpt4o,31,paper,scissors,-1,3
32,opponent_transition_up,choose_hypothesis_gpt4o,32,rock,rock,0,0
33,opponent_transition_up,choose_hypothesis_gpt4o,33,paper,rock,3,-1
34,opponent_transition_up,choose_hypothesis_gpt4o,34,paper,rock,3,-1
35,opponent_transition_up,choose_hypothesis_gpt4o,35,paper,scissors,-1,3
36,opponent_transition_up,choose_hypothesis_gpt4o,36,rock,paper,-1,3
37,opponent_transition_up,choose_hypothesis_gpt4o,37,scissors,scissors,0,0
38,opponent_transition_up,choose_hypothesis_gpt4o,38,rock,paper,-1,3
39,opponent_transition_up,choose_hypothesis_gpt4o,39,scissors,paper,3,-1
40,opponent_transition_up,choose_hypothesis_gpt4o,40,scissors,rock,-1,3
41,opponent_transition_up,choose_hypothesis_gpt4o,41,paper,paper,0,0
42,opponent_transition_up,choose_hypothesis_gpt4o,42,scissors,paper,3,-1
43,opponent_transition_up,choose_hypothesis_gpt4o,43,scissors,paper,3,-1
44,opponent_transition_up,choose_hypothesis_gpt4o,44,scissors,paper,3,-1
45,opponent_transition_up,choose_hypothesis_gpt4o,45,scissors,rock,-1,3
46,opponent_transition_up,choose_hypothesis_gpt4o,46,paper,paper,0,0
47,opponent_transition_up,choose_hypothesis_gpt4o,47,scissors,paper,3,-1
48,opponent_transition_up,choose_hypothesis_gpt4o,48,scissors,rock,-1,3
49,opponent_transition_up,choose_hypothesis_gpt4o,49,paper,paper,0,0
50,opponent_transition_up,choose_hypothesis_gpt4o,50,paper,paper,0,0
51,opponent_transition_up,choose_hypothesis_gpt4o,51,scissors,scissors,0,0
52,opponent_transition_up,choose_hypothesis_gpt4o,52,rock,paper,-1,3
53,opponent_transition_up,choose_hypothesis_gpt4o,53,scissors,scissors,0,0
54,opponent_transition_up,choose_hypothesis_gpt4o,54,rock,paper,-1,3
