,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,0,paper,paper,0,0
1,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,1,scissors,scissors,0,0
2,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,2,rock,paper,-1,3
3,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,3,scissors,scissors,0,0
4,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,4,rock,rock,0,0
5,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,5,scissors,paper,3,-1
6,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,6,rock,paper,-1,3
7,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,7,scissors,rock,-1,3
8,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,8,paper,scissors,-1,3
9,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,9,rock,rock,0,0
10,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,10,paper,scissors,-1,3
11,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,11,rock,paper,-1,3
12,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,12,scissors,rock,-1,3
13,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,13,paper,paper,0,0
14,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,14,scissors,rock,-1,3
15,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,15,rock,paper,-1,3
16,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,16,scissors,scissors,0,0
17,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,17,rock,paper,-1,3
18,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,18,scissors,rock,-1,3
19,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,19,paper,scissors,-1,3
20,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,20,paper,paper,0,0
21,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,21,scissors,scissors,0,0
22,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,22,rock,rock,0,0
23,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,23,paper,paper,0,0
24,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,24,paper,rock,3,-1
25,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,25,paper,scissors,-1,3
26,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,26,rock,rock,0,0
27,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,27,paper,scissors,-1,3
28,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,28,rock,paper,-1,3
29,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,29,scissors,scissors,0,0
30,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,30,paper,rock,3,-1
31,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,31,paper,scissors,-1,3
32,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,32,rock,paper,-1,3
33,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,33,scissors,scissors,0,0
34,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,34,rock,rock,0,0
35,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,35,paper,scissors,-1,3
36,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,36,rock,rock,0,0
37,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,37,paper,scissors,-1,3
38,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,38,rock,paper,-1,3
39,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,39,scissors,rock,-1,3
40,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,40,paper,scissors,-1,3
41,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,41,rock,paper,-1,3
42,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,42,scissors,rock,-1,3
43,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,43,paper,paper,0,0
44,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,44,scissors,paper,3,-1
45,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,45,scissors,paper,3,-1
46,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,46,scissors,paper,3,-1
47,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,47,scissors,scissors,0,0
48,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,48,rock,scissors,3,-1
49,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,49,rock,paper,-1,3
50,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,50,scissors,scissors,0,0
51,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,51,rock,paper,-1,3
52,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,52,scissors,scissors,0,0
53,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,53,rock,scissors,3,-1
54,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,54,rock,paper,-1,3
55,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,55,scissors,rock,-1,3
56,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,56,paper,paper,0,0
57,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,57,scissors,rock,-1,3
58,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,58,paper,scissors,-1,3
59,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,59,paper,paper,0,0
60,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,60,scissors,scissors,0,0
61,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,61,rock,scissors,3,-1
62,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,62,rock,scissors,3,-1
63,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,63,rock,paper,-1,3
64,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,64,scissors,paper,3,-1
65,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,65,scissors,paper,3,-1
66,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,66,paper,rock,3,-1
67,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,67,paper,rock,3,-1
68,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,68,paper,scissors,-1,3
69,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,69,rock,rock,0,0
70,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,70,paper,rock,3,-1
71,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,71,paper,scissors,-1,3
72,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,72,rock,rock,0,0
73,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,73,paper,rock,3,-1
74,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,74,paper,scissors,-1,3
75,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,75,rock,rock,0,0
76,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,76,paper,scissors,-1,3
77,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,77,rock,paper,-1,3
78,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,78,scissors,rock,-1,3
79,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,79,rock,scissors,3,-1
80,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,80,rock,paper,-1,3
81,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,81,scissors,scissors,0,0
82,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,82,rock,scissors,3,-1
83,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,83,rock,paper,-1,3
84,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,84,scissors,rock,-1,3
85,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,85,paper,scissors,-1,3
86,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,86,rock,paper,-1,3
87,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,87,scissors,rock,-1,3
88,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,88,paper,scissors,-1,3
89,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,89,rock,paper,-1,3
90,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,90,scissors,rock,-1,3
91,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,91,paper,scissors,-1,3
92,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,92,rock,paper,-1,3
93,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,93,scissors,rock,-1,3
94,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,94,paper,scissors,-1,3
95,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,95,rock,paper,-1,3
96,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,96,scissors,rock,-1,3
97,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,97,paper,scissors,-1,3
98,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,98,rock,paper,-1,3
99,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,99,scissors,rock,-1,3
100,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,100,paper,scissors,-1,3
101,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,101,rock,paper,-1,3
102,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,102,scissors,rock,-1,3
103,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,103,scissors,scissors,0,0
104,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,104,rock,paper,-1,3
105,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,105,paper,scissors,-1,3
106,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,106,rock,rock,0,0
107,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,107,paper,scissors,-1,3
108,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,108,rock,rock,0,0
109,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,109,paper,rock,3,-1
110,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,110,paper,scissors,-1,3
111,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,111,rock,paper,-1,3
112,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,112,scissors,rock,-1,3
113,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,113,paper,scissors,-1,3
114,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,114,rock,paper,-1,3
115,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,115,scissors,rock,-1,3
116,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,116,paper,scissors,-1,3
117,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,117,rock,paper,-1,3
118,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,118,scissors,rock,-1,3
119,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,119,paper,scissors,-1,3
120,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,120,rock,paper,-1,3
121,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,121,scissors,rock,-1,3
122,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,122,scissors,scissors,0,0
123,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,123,scissors,paper,3,-1
124,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,124,rock,paper,-1,3
125,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,125,rock,scissors,3,-1
126,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,126,rock,scissors,3,-1
127,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,127,rock,paper,-1,3
128,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,128,scissors,scissors,0,0
129,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,129,rock,scissors,3,-1
130,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,130,rock,scissors,3,-1
131,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,131,rock,paper,-1,3
132,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,132,scissors,rock,-1,3
133,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,133,paper,scissors,-1,3
134,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,134,rock,paper,-1,3
135,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,135,rock,rock,0,0
136,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,136,paper,paper,0,0
137,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,137,scissors,paper,3,-1
138,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,138,scissors,paper,3,-1
139,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,139,scissors,rock,-1,3
140,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,140,paper,scissors,-1,3
141,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,141,rock,paper,-1,3
142,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,142,scissors,rock,-1,3
143,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,143,paper,scissors,-1,3
144,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,144,rock,paper,-1,3
145,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,145,scissors,rock,-1,3
146,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,146,paper,scissors,-1,3
147,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,147,rock,paper,-1,3
148,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,148,scissors,rock,-1,3
149,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,149,paper,scissors,-1,3
150,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,150,rock,paper,-1,3
151,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,151,scissors,rock,-1,3
152,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,152,paper,scissors,-1,3
153,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,153,rock,paper,-1,3
154,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,154,scissors,rock,-1,3
155,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,155,paper,scissors,-1,3
156,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,156,rock,paper,-1,3
157,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,157,scissors,rock,-1,3
158,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,158,paper,scissors,-1,3
159,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,159,rock,paper,-1,3
160,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,160,scissors,rock,-1,3
161,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,161,paper,scissors,-1,3
162,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,162,rock,paper,-1,3
163,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,163,scissors,rock,-1,3
164,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,164,paper,scissors,-1,3
165,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,165,scissors,paper,3,-1
166,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,166,scissors,rock,-1,3
167,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,167,paper,paper,0,0
168,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,168,paper,rock,3,-1
169,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,169,paper,scissors,-1,3
170,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,170,rock,scissors,3,-1
171,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,171,rock,scissors,3,-1
172,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,172,rock,paper,-1,3
173,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,173,scissors,rock,-1,3
174,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,174,paper,scissors,-1,3
175,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,175,rock,paper,-1,3
176,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,176,scissors,rock,-1,3
177,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,177,paper,scissors,-1,3
178,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,178,rock,paper,-1,3
179,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,179,scissors,rock,-1,3
180,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,180,paper,scissors,-1,3
181,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,181,rock,paper,-1,3
182,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,182,scissors,rock,-1,3
183,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,183,paper,scissors,-1,3
184,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,184,rock,paper,-1,3
185,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,185,scissors,rock,-1,3
186,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,186,paper,scissors,-1,3
187,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,187,paper,paper,0,0
188,opponent_transition_up,choose_hypothesis_gpt4o,0.2,5,188,scissors,paper,3,-1
