,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_stay,give_hypothesis_gpt4o,0,rock,rock,0,0
1,opponent_transition_stay,give_hypothesis_gpt4o,1,rock,paper,-1,3
2,opponent_transition_stay,give_hypothesis_gpt4o,2,paper,scissors,-1,3
3,opponent_transition_stay,give_hypothesis_gpt4o,3,scissors,rock,-1,3
4,opponent_transition_stay,give_hypothesis_gpt4o,4,rock,paper,-1,3
5,opponent_transition_stay,give_hypothesis_gpt4o,5,paper,scissors,-1,3
6,opponent_transition_stay,give_hypothesis_gpt4o,6,scissors,rock,-1,3
7,opponent_transition_stay,give_hypothesis_gpt4o,7,rock,paper,-1,3
8,opponent_transition_stay,give_hypothesis_gpt4o,8,paper,scissors,-1,3
9,opponent_transition_stay,give_hypothesis_gpt4o,9,scissors,rock,-1,3
10,opponent_transition_stay,give_hypothesis_gpt4o,10,rock,paper,-1,3
11,opponent_transition_stay,give_hypothesis_gpt4o,11,paper,scissors,-1,3
12,opponent_transition_stay,give_hypothesis_gpt4o,12,scissors,rock,-1,3
13,opponent_transition_stay,give_hypothesis_gpt4o,13,rock,paper,-1,3
14,opponent_transition_stay,give_hypothesis_gpt4o,14,paper,scissors,-1,3
15,opponent_transition_stay,give_hypothesis_gpt4o,15,scissors,rock,-1,3
16,opponent_transition_stay,give_hypothesis_gpt4o,16,rock,paper,-1,3
17,opponent_transition_stay,give_hypothesis_gpt4o,17,paper,scissors,-1,3
18,opponent_transition_stay,give_hypothesis_gpt4o,18,paper,rock,3,-1
19,opponent_transition_stay,give_hypothesis_gpt4o,19,rock,paper,-1,3
20,opponent_transition_stay,give_hypothesis_gpt4o,20,paper,scissors,-1,3
21,opponent_transition_stay,give_hypothesis_gpt4o,21,scissors,rock,-1,3
22,opponent_transition_stay,give_hypothesis_gpt4o,22,rock,paper,-1,3
23,opponent_transition_stay,give_hypothesis_gpt4o,23,paper,scissors,-1,3
24,opponent_transition_stay,give_hypothesis_gpt4o,24,scissors,rock,-1,3
25,opponent_transition_stay,give_hypothesis_gpt4o,25,rock,paper,-1,3
26,opponent_transition_stay,give_hypothesis_gpt4o,26,paper,scissors,-1,3
27,opponent_transition_stay,give_hypothesis_gpt4o,27,scissors,rock,-1,3
28,opponent_transition_stay,give_hypothesis_gpt4o,28,rock,paper,-1,3
29,opponent_transition_stay,give_hypothesis_gpt4o,29,paper,scissors,-1,3
30,opponent_transition_stay,give_hypothesis_gpt4o,30,scissors,rock,-1,3
31,opponent_transition_stay,give_hypothesis_gpt4o,31,rock,paper,-1,3
32,opponent_transition_stay,give_hypothesis_gpt4o,32,paper,scissors,-1,3
33,opponent_transition_stay,give_hypothesis_gpt4o,33,scissors,rock,-1,3
34,opponent_transition_stay,give_hypothesis_gpt4o,34,rock,paper,-1,3
35,opponent_transition_stay,give_hypothesis_gpt4o,35,paper,scissors,-1,3
36,opponent_transition_stay,give_hypothesis_gpt4o,36,scissors,rock,-1,3
37,opponent_transition_stay,give_hypothesis_gpt4o,37,rock,paper,-1,3
38,opponent_transition_stay,give_hypothesis_gpt4o,38,paper,scissors,-1,3
39,opponent_transition_stay,give_hypothesis_gpt4o,39,scissors,rock,-1,3
40,opponent_transition_stay,give_hypothesis_gpt4o,40,rock,paper,-1,3
41,opponent_transition_stay,give_hypothesis_gpt4o,41,paper,scissors,-1,3
42,opponent_transition_stay,give_hypothesis_gpt4o,42,scissors,rock,-1,3
43,opponent_transition_stay,give_hypothesis_gpt4o,43,rock,paper,-1,3
44,opponent_transition_stay,give_hypothesis_gpt4o,44,paper,scissors,-1,3
45,opponent_transition_stay,give_hypothesis_gpt4o,45,scissors,rock,-1,3
46,opponent_transition_stay,give_hypothesis_gpt4o,46,rock,paper,-1,3
47,opponent_transition_stay,give_hypothesis_gpt4o,47,paper,scissors,-1,3
48,opponent_transition_stay,give_hypothesis_gpt4o,48,scissors,rock,-1,3
49,opponent_transition_stay,give_hypothesis_gpt4o,49,rock,paper,-1,3
50,opponent_transition_stay,give_hypothesis_gpt4o,50,paper,scissors,-1,3
51,opponent_transition_stay,give_hypothesis_gpt4o,51,scissors,rock,-1,3
52,opponent_transition_stay,give_hypothesis_gpt4o,52,rock,paper,-1,3
53,opponent_transition_stay,give_hypothesis_gpt4o,53,paper,scissors,-1,3
54,opponent_transition_stay,give_hypothesis_gpt4o,54,rock,rock,0,0
55,opponent_transition_stay,give_hypothesis_gpt4o,55,rock,paper,-1,3
56,opponent_transition_stay,give_hypothesis_gpt4o,56,paper,scissors,-1,3
57,opponent_transition_stay,give_hypothesis_gpt4o,57,scissors,rock,-1,3
58,opponent_transition_stay,give_hypothesis_gpt4o,58,scissors,paper,3,-1
59,opponent_transition_stay,give_hypothesis_gpt4o,59,paper,scissors,-1,3
60,opponent_transition_stay,give_hypothesis_gpt4o,60,scissors,rock,-1,3
61,opponent_transition_stay,give_hypothesis_gpt4o,61,rock,paper,-1,3
62,opponent_transition_stay,give_hypothesis_gpt4o,62,paper,scissors,-1,3
63,opponent_transition_stay,give_hypothesis_gpt4o,63,scissors,rock,-1,3
64,opponent_transition_stay,give_hypothesis_gpt4o,64,rock,paper,-1,3
65,opponent_transition_stay,give_hypothesis_gpt4o,65,paper,scissors,-1,3
66,opponent_transition_stay,give_hypothesis_gpt4o,66,rock,rock,0,0
