,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_up,give_hypothesis_gpt4o,0,scissors,paper,3,-1
1,opponent_transition_up,give_hypothesis_gpt4o,1,scissors,rock,-1,3
2,opponent_transition_up,give_hypothesis_gpt4o,2,paper,scissors,-1,3
3,opponent_transition_up,give_hypothesis_gpt4o,3,rock,paper,-1,3
4,opponent_transition_up,give_hypothesis_gpt4o,4,scissors,rock,-1,3
5,opponent_transition_up,give_hypothesis_gpt4o,5,paper,scissors,-1,3
6,opponent_transition_up,give_hypothesis_gpt4o,6,rock,paper,-1,3
7,opponent_transition_up,give_hypothesis_gpt4o,7,scissors,rock,-1,3
8,opponent_transition_up,give_hypothesis_gpt4o,8,paper,scissors,-1,3
9,opponent_transition_up,give_hypothesis_gpt4o,9,rock,paper,-1,3
10,opponent_transition_up,give_hypothesis_gpt4o,10,scissors,rock,-1,3
11,opponent_transition_up,give_hypothesis_gpt4o,11,scissors,scissors,0,0
12,opponent_transition_up,give_hypothesis_gpt4o,12,rock,paper,-1,3
13,opponent_transition_up,give_hypothesis_gpt4o,13,scissors,rock,-1,3
14,opponent_transition_up,give_hypothesis_gpt4o,14,paper,scissors,-1,3
15,opponent_transition_up,give_hypothesis_gpt4o,15,rock,paper,-1,3
16,opponent_transition_up,give_hypothesis_gpt4o,16,scissors,rock,-1,3
17,opponent_transition_up,give_hypothesis_gpt4o,17,paper,scissors,-1,3
18,opponent_transition_up,give_hypothesis_gpt4o,18,rock,paper,-1,3
19,opponent_transition_up,give_hypothesis_gpt4o,19,paper,rock,3,-1
20,opponent_transition_up,give_hypothesis_gpt4o,20,paper,scissors,-1,3
21,opponent_transition_up,give_hypothesis_gpt4o,21,rock,paper,-1,3
22,opponent_transition_up,give_hypothesis_gpt4o,22,scissors,rock,-1,3
23,opponent_transition_up,give_hypothesis_gpt4o,23,paper,scissors,-1,3
24,opponent_transition_up,give_hypothesis_gpt4o,24,rock,paper,-1,3
25,opponent_transition_up,give_hypothesis_gpt4o,25,scissors,rock,-1,3
26,opponent_transition_up,give_hypothesis_gpt4o,26,paper,scissors,-1,3
27,opponent_transition_up,give_hypothesis_gpt4o,27,rock,paper,-1,3
