,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_up_L_down_T_stay,hm_llama3,0,paper,paper,0,0
1,W_up_L_down_T_stay,hm_llama3,1,paper,rock,3,-1
2,W_up_L_down_T_stay,hm_llama3,2,scissors,scissors,0,0
3,W_up_L_down_T_stay,hm_llama3,3,scissors,paper,3,-1
4,W_up_L_down_T_stay,hm_llama3,4,rock,scissors,3,-1
5,W_up_L_down_T_stay,hm_llama3,5,paper,scissors,-1,3
6,W_up_L_down_T_stay,hm_llama3,6,rock,rock,0,0
7,W_up_L_down_T_stay,hm_llama3,7,rock,scissors,3,-1
8,W_up_L_down_T_stay,hm_llama3,8,paper,paper,0,0
9,W_up_L_down_T_stay,hm_llama3,9,paper,rock,3,-1
10,W_up_L_down_T_stay,hm_llama3,10,scissors,scissors,0,0
11,W_up_L_down_T_stay,hm_llama3,11,scissors,paper,3,-1
12,W_up_L_down_T_stay,hm_llama3,12,rock,paper,-1,3
13,W_up_L_down_T_stay,hm_llama3,13,scissors,scissors,0,0
14,W_up_L_down_T_stay,hm_llama3,14,rock,paper,-1,3
15,W_up_L_down_T_stay,hm_llama3,15,paper,paper,0,0
16,W_up_L_down_T_stay,hm_llama3,16,paper,rock,3,-1
17,W_up_L_down_T_stay,hm_llama3,17,scissors,rock,-1,3
18,W_up_L_down_T_stay,hm_llama3,18,paper,rock,3,-1
19,W_up_L_down_T_stay,hm_llama3,19,scissors,scissors,0,0
20,W_up_L_down_T_stay,hm_llama3,20,scissors,paper,3,-1
21,W_up_L_down_T_stay,hm_llama3,21,rock,paper,-1,3
22,W_up_L_down_T_stay,hm_llama3,22,scissors,rock,-1,3
23,W_up_L_down_T_stay,hm_llama3,23,paper,paper,0,0
24,W_up_L_down_T_stay,hm_llama3,24,paper,scissors,-1,3
25,W_up_L_down_T_stay,hm_llama3,25,rock,rock,0,0
26,W_up_L_down_T_stay,hm_llama3,26,rock,paper,-1,3
27,W_up_L_down_T_stay,hm_llama3,27,scissors,rock,-1,3
28,W_up_L_down_T_stay,hm_llama3,28,paper,scissors,-1,3
29,W_up_L_down_T_stay,hm_llama3,29,rock,paper,-1,3
30,W_up_L_down_T_stay,hm_llama3,30,rock,rock,0,0
31,W_up_L_down_T_stay,hm_llama3,31,rock,paper,-1,3
32,W_up_L_down_T_stay,hm_llama3,32,scissors,paper,3,-1
33,W_up_L_down_T_stay,hm_llama3,33,rock,paper,-1,3
34,W_up_L_down_T_stay,hm_llama3,34,scissors,rock,-1,3
35,W_up_L_down_T_stay,hm_llama3,35,paper,paper,0,0
36,W_up_L_down_T_stay,hm_llama3,36,paper,paper,0,0
37,W_up_L_down_T_stay,hm_llama3,37,paper,scissors,-1,3
38,W_up_L_down_T_stay,hm_llama3,38,rock,scissors,3,-1
39,W_up_L_down_T_stay,hm_llama3,39,paper,scissors,-1,3
40,W_up_L_down_T_stay,hm_llama3,40,rock,paper,-1,3
41,W_up_L_down_T_stay,hm_llama3,41,scissors,rock,-1,3
42,W_up_L_down_T_stay,hm_llama3,42,scissors,scissors,0,0
43,W_up_L_down_T_stay,hm_llama3,43,scissors,rock,-1,3
44,W_up_L_down_T_stay,hm_llama3,44,paper,scissors,-1,3
45,W_up_L_down_T_stay,hm_llama3,45,rock,paper,-1,3
46,W_up_L_down_T_stay,hm_llama3,46,scissors,paper,3,-1
47,W_up_L_down_T_stay,hm_llama3,47,rock,rock,0,0
48,W_up_L_down_T_stay,hm_llama3,48,rock,paper,-1,3
49,W_up_L_down_T_stay,hm_llama3,49,scissors,paper,3,-1
50,W_up_L_down_T_stay,hm_llama3,50,rock,rock,0,0
51,W_up_L_down_T_stay,hm_llama3,51,rock,paper,-1,3
52,W_up_L_down_T_stay,hm_llama3,52,scissors,rock,-1,3
53,W_up_L_down_T_stay,hm_llama3,53,paper,paper,0,0
54,W_up_L_down_T_stay,hm_llama3,54,paper,scissors,-1,3
55,W_up_L_down_T_stay,hm_llama3,55,scissors,scissors,0,0
56,W_up_L_down_T_stay,hm_llama3,56,scissors,rock,-1,3
57,W_up_L_down_T_stay,hm_llama3,57,paper,rock,3,-1
58,W_up_L_down_T_stay,hm_llama3,58,scissors,scissors,0,0
59,W_up_L_down_T_stay,hm_llama3,59,scissors,rock,-1,3
60,W_up_L_down_T_stay,hm_llama3,60,paper,rock,3,-1
61,W_up_L_down_T_stay,hm_llama3,61,scissors,scissors,0,0
62,W_up_L_down_T_stay,hm_llama3,62,rock,rock,0,0
63,W_up_L_down_T_stay,hm_llama3,63,rock,paper,-1,3
64,W_up_L_down_T_stay,hm_llama3,64,scissors,scissors,0,0
65,W_up_L_down_T_stay,hm_llama3,65,scissors,rock,-1,3
66,W_up_L_down_T_stay,hm_llama3,66,scissors,scissors,0,0
67,W_up_L_down_T_stay,hm_llama3,67,scissors,rock,-1,3
68,W_up_L_down_T_stay,hm_llama3,68,paper,rock,3,-1
69,W_up_L_down_T_stay,hm_llama3,69,scissors,rock,-1,3
70,W_up_L_down_T_stay,hm_llama3,70,paper,rock,3,-1
71,W_up_L_down_T_stay,hm_llama3,71,scissors,scissors,0,0
72,W_up_L_down_T_stay,hm_llama3,72,scissors,rock,-1,3
73,W_up_L_down_T_stay,hm_llama3,73,paper,rock,3,-1
74,W_up_L_down_T_stay,hm_llama3,74,scissors,rock,-1,3
75,W_up_L_down_T_stay,hm_llama3,75,paper,rock,3,-1
76,W_up_L_down_T_stay,hm_llama3,76,scissors,scissors,0,0
77,W_up_L_down_T_stay,hm_llama3,77,scissors,rock,-1,3
78,W_up_L_down_T_stay,hm_llama3,78,paper,rock,3,-1
79,W_up_L_down_T_stay,hm_llama3,79,scissors,scissors,0,0
80,W_up_L_down_T_stay,hm_llama3,80,scissors,rock,-1,3
81,W_up_L_down_T_stay,hm_llama3,81,paper,rock,3,-1
82,W_up_L_down_T_stay,hm_llama3,82,scissors,rock,-1,3
83,W_up_L_down_T_stay,hm_llama3,83,paper,rock,3,-1
84,W_up_L_down_T_stay,hm_llama3,84,scissors,scissors,0,0
85,W_up_L_down_T_stay,hm_llama3,85,scissors,rock,-1,3
86,W_up_L_down_T_stay,hm_llama3,86,paper,rock,3,-1
87,W_up_L_down_T_stay,hm_llama3,87,scissors,scissors,0,0
88,W_up_L_down_T_stay,hm_llama3,88,scissors,paper,3,-1
89,W_up_L_down_T_stay,hm_llama3,89,scissors,paper,3,-1
90,W_up_L_down_T_stay,hm_llama3,90,rock,rock,0,0
91,W_up_L_down_T_stay,hm_llama3,91,paper,rock,3,-1
92,W_up_L_down_T_stay,hm_llama3,92,scissors,rock,-1,3
93,W_up_L_down_T_stay,hm_llama3,93,paper,rock,3,-1
94,W_up_L_down_T_stay,hm_llama3,94,scissors,scissors,0,0
95,W_up_L_down_T_stay,hm_llama3,95,scissors,rock,-1,3
96,W_up_L_down_T_stay,hm_llama3,96,paper,rock,3,-1
97,W_up_L_down_T_stay,hm_llama3,97,scissors,scissors,0,0
98,W_up_L_down_T_stay,hm_llama3,98,scissors,rock,-1,3
99,W_up_L_down_T_stay,hm_llama3,99,paper,rock,3,-1
