,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_up_L_down_T_stay,hm_llama3,0.2,5,0,scissors,scissors,0,0
1,W_up_L_down_T_stay,hm_llama3,0.2,5,1,scissors,paper,3,-1
2,W_up_L_down_T_stay,hm_llama3,0.2,5,2,rock,paper,-1,3
3,W_up_L_down_T_stay,hm_llama3,0.2,5,3,scissors,rock,-1,3
4,W_up_L_down_T_stay,hm_llama3,0.2,5,4,paper,paper,0,0
5,W_up_L_down_T_stay,hm_llama3,0.2,5,5,paper,rock,3,-1
6,W_up_L_down_T_stay,hm_llama3,0.2,5,6,scissors,scissors,0,0
7,W_up_L_down_T_stay,hm_llama3,0.2,5,7,scissors,paper,3,-1
8,W_up_L_down_T_stay,hm_llama3,0.2,5,8,rock,rock,0,0
9,W_up_L_down_T_stay,hm_llama3,0.2,5,9,rock,rock,0,0
10,W_up_L_down_T_stay,hm_llama3,0.2,5,10,rock,rock,0,0
11,W_up_L_down_T_stay,hm_llama3,0.2,5,11,rock,paper,-1,3
12,W_up_L_down_T_stay,hm_llama3,0.2,5,12,scissors,scissors,0,0
13,W_up_L_down_T_stay,hm_llama3,0.2,5,13,scissors,paper,3,-1
14,W_up_L_down_T_stay,hm_llama3,0.2,5,14,rock,rock,0,0
15,W_up_L_down_T_stay,hm_llama3,0.2,5,15,rock,rock,0,0
16,W_up_L_down_T_stay,hm_llama3,0.2,5,16,rock,paper,-1,3
17,W_up_L_down_T_stay,hm_llama3,0.2,5,17,scissors,rock,-1,3
18,W_up_L_down_T_stay,hm_llama3,0.2,5,18,paper,rock,3,-1
19,W_up_L_down_T_stay,hm_llama3,0.2,5,19,scissors,rock,-1,3
20,W_up_L_down_T_stay,hm_llama3,0.2,5,20,paper,rock,3,-1
21,W_up_L_down_T_stay,hm_llama3,0.2,5,21,scissors,rock,-1,3
22,W_up_L_down_T_stay,hm_llama3,0.2,5,22,paper,scissors,-1,3
23,W_up_L_down_T_stay,hm_llama3,0.2,5,23,rock,paper,-1,3
24,W_up_L_down_T_stay,hm_llama3,0.2,5,24,scissors,rock,-1,3
25,W_up_L_down_T_stay,hm_llama3,0.2,5,25,paper,scissors,-1,3
26,W_up_L_down_T_stay,hm_llama3,0.2,5,26,rock,paper,-1,3
27,W_up_L_down_T_stay,hm_llama3,0.2,5,27,scissors,rock,-1,3
28,W_up_L_down_T_stay,hm_llama3,0.2,5,28,paper,scissors,-1,3
29,W_up_L_down_T_stay,hm_llama3,0.2,5,29,rock,paper,-1,3
30,W_up_L_down_T_stay,hm_llama3,0.2,5,30,scissors,rock,-1,3
31,W_up_L_down_T_stay,hm_llama3,0.2,5,31,paper,scissors,-1,3
32,W_up_L_down_T_stay,hm_llama3,0.2,5,32,rock,paper,-1,3
33,W_up_L_down_T_stay,hm_llama3,0.2,5,33,scissors,rock,-1,3
34,W_up_L_down_T_stay,hm_llama3,0.2,5,34,scissors,rock,-1,3
35,W_up_L_down_T_stay,hm_llama3,0.2,5,35,paper,scissors,-1,3
36,W_up_L_down_T_stay,hm_llama3,0.2,5,36,rock,paper,-1,3
37,W_up_L_down_T_stay,hm_llama3,0.2,5,37,scissors,rock,-1,3
38,W_up_L_down_T_stay,hm_llama3,0.2,5,38,paper,rock,3,-1
39,W_up_L_down_T_stay,hm_llama3,0.2,5,39,scissors,paper,3,-1
40,W_up_L_down_T_stay,hm_llama3,0.2,5,40,scissors,paper,3,-1
41,W_up_L_down_T_stay,hm_llama3,0.2,5,41,rock,paper,-1,3
42,W_up_L_down_T_stay,hm_llama3,0.2,5,42,scissors,rock,-1,3
43,W_up_L_down_T_stay,hm_llama3,0.2,5,43,paper,rock,3,-1
44,W_up_L_down_T_stay,hm_llama3,0.2,5,44,scissors,rock,-1,3
45,W_up_L_down_T_stay,hm_llama3,0.2,5,45,paper,rock,3,-1
46,W_up_L_down_T_stay,hm_llama3,0.2,5,46,scissors,rock,-1,3
47,W_up_L_down_T_stay,hm_llama3,0.2,5,47,paper,rock,3,-1
48,W_up_L_down_T_stay,hm_llama3,0.2,5,48,scissors,scissors,0,0
49,W_up_L_down_T_stay,hm_llama3,0.2,5,49,scissors,rock,-1,3
50,W_up_L_down_T_stay,hm_llama3,0.2,5,50,paper,scissors,-1,3
51,W_up_L_down_T_stay,hm_llama3,0.2,5,51,rock,rock,0,0
52,W_up_L_down_T_stay,hm_llama3,0.2,5,52,rock,paper,-1,3
53,W_up_L_down_T_stay,hm_llama3,0.2,5,53,scissors,rock,-1,3
54,W_up_L_down_T_stay,hm_llama3,0.2,5,54,paper,rock,3,-1
55,W_up_L_down_T_stay,hm_llama3,0.2,5,55,scissors,scissors,0,0
56,W_up_L_down_T_stay,hm_llama3,0.2,5,56,scissors,rock,-1,3
57,W_up_L_down_T_stay,hm_llama3,0.2,5,57,paper,rock,3,-1
58,W_up_L_down_T_stay,hm_llama3,0.2,5,58,scissors,rock,-1,3
59,W_up_L_down_T_stay,hm_llama3,0.2,5,59,paper,rock,3,-1
60,W_up_L_down_T_stay,hm_llama3,0.2,5,60,scissors,scissors,0,0
61,W_up_L_down_T_stay,hm_llama3,0.2,5,61,scissors,rock,-1,3
62,W_up_L_down_T_stay,hm_llama3,0.2,5,62,paper,rock,3,-1
63,W_up_L_down_T_stay,hm_llama3,0.2,5,63,scissors,rock,-1,3
64,W_up_L_down_T_stay,hm_llama3,0.2,5,64,paper,rock,3,-1
65,W_up_L_down_T_stay,hm_llama3,0.2,5,65,scissors,scissors,0,0
66,W_up_L_down_T_stay,hm_llama3,0.2,5,66,scissors,rock,-1,3
67,W_up_L_down_T_stay,hm_llama3,0.2,5,67,paper,rock,3,-1
68,W_up_L_down_T_stay,hm_llama3,0.2,5,68,scissors,rock,-1,3
69,W_up_L_down_T_stay,hm_llama3,0.2,5,69,paper,rock,3,-1
70,W_up_L_down_T_stay,hm_llama3,0.2,5,70,scissors,scissors,0,0
71,W_up_L_down_T_stay,hm_llama3,0.2,5,71,scissors,rock,-1,3
72,W_up_L_down_T_stay,hm_llama3,0.2,5,72,paper,rock,3,-1
73,W_up_L_down_T_stay,hm_llama3,0.2,5,73,rock,scissors,3,-1
74,W_up_L_down_T_stay,hm_llama3,0.2,5,74,paper,scissors,-1,3
75,W_up_L_down_T_stay,hm_llama3,0.2,5,75,rock,scissors,3,-1
76,W_up_L_down_T_stay,hm_llama3,0.2,5,76,paper,scissors,-1,3
77,W_up_L_down_T_stay,hm_llama3,0.2,5,77,rock,paper,-1,3
78,W_up_L_down_T_stay,hm_llama3,0.2,5,78,scissors,rock,-1,3
79,W_up_L_down_T_stay,hm_llama3,0.2,5,79,paper,rock,3,-1
80,W_up_L_down_T_stay,hm_llama3,0.2,5,80,scissors,scissors,0,0
81,W_up_L_down_T_stay,hm_llama3,0.2,5,81,scissors,rock,-1,3
82,W_up_L_down_T_stay,hm_llama3,0.2,5,82,paper,rock,3,-1
83,W_up_L_down_T_stay,hm_llama3,0.2,5,83,scissors,scissors,0,0
84,W_up_L_down_T_stay,hm_llama3,0.2,5,84,scissors,rock,-1,3
85,W_up_L_down_T_stay,hm_llama3,0.2,5,85,paper,rock,3,-1
86,W_up_L_down_T_stay,hm_llama3,0.2,5,86,scissors,rock,-1,3
87,W_up_L_down_T_stay,hm_llama3,0.2,5,87,paper,rock,3,-1
88,W_up_L_down_T_stay,hm_llama3,0.2,5,88,scissors,scissors,0,0
89,W_up_L_down_T_stay,hm_llama3,0.2,5,89,scissors,rock,-1,3
90,W_up_L_down_T_stay,hm_llama3,0.2,5,90,scissors,rock,-1,3
91,W_up_L_down_T_stay,hm_llama3,0.2,5,91,paper,rock,3,-1
92,W_up_L_down_T_stay,hm_llama3,0.2,5,92,scissors,rock,-1,3
93,W_up_L_down_T_stay,hm_llama3,0.2,5,93,paper,rock,3,-1
94,W_up_L_down_T_stay,hm_llama3,0.2,5,94,scissors,rock,-1,3
95,W_up_L_down_T_stay,hm_llama3,0.2,5,95,paper,rock,3,-1
96,W_up_L_down_T_stay,hm_llama3,0.2,5,96,scissors,scissors,0,0
97,W_up_L_down_T_stay,hm_llama3,0.2,5,97,scissors,paper,3,-1
98,W_up_L_down_T_stay,hm_llama3,0.2,5,98,rock,rock,0,0
99,W_up_L_down_T_stay,hm_llama3,0.2,5,99,rock,rock,0,0
100,W_up_L_down_T_stay,hm_llama3,0.2,5,100,rock,paper,-1,3
101,W_up_L_down_T_stay,hm_llama3,0.2,5,101,scissors,rock,-1,3
102,W_up_L_down_T_stay,hm_llama3,0.2,5,102,paper,rock,3,-1
103,W_up_L_down_T_stay,hm_llama3,0.2,5,103,scissors,rock,-1,3
104,W_up_L_down_T_stay,hm_llama3,0.2,5,104,paper,rock,3,-1
105,W_up_L_down_T_stay,hm_llama3,0.2,5,105,scissors,rock,-1,3
106,W_up_L_down_T_stay,hm_llama3,0.2,5,106,paper,scissors,-1,3
107,W_up_L_down_T_stay,hm_llama3,0.2,5,107,rock,rock,0,0
108,W_up_L_down_T_stay,hm_llama3,0.2,5,108,rock,rock,0,0
109,W_up_L_down_T_stay,hm_llama3,0.2,5,109,paper,paper,0,0
110,W_up_L_down_T_stay,hm_llama3,0.2,5,110,scissors,scissors,0,0
111,W_up_L_down_T_stay,hm_llama3,0.2,5,111,scissors,scissors,0,0
112,W_up_L_down_T_stay,hm_llama3,0.2,5,112,rock,paper,-1,3
113,W_up_L_down_T_stay,hm_llama3,0.2,5,113,scissors,rock,-1,3
114,W_up_L_down_T_stay,hm_llama3,0.2,5,114,paper,scissors,-1,3
115,W_up_L_down_T_stay,hm_llama3,0.2,5,115,rock,paper,-1,3
116,W_up_L_down_T_stay,hm_llama3,0.2,5,116,scissors,rock,-1,3
117,W_up_L_down_T_stay,hm_llama3,0.2,5,117,paper,scissors,-1,3
118,W_up_L_down_T_stay,hm_llama3,0.2,5,118,rock,rock,0,0
119,W_up_L_down_T_stay,hm_llama3,0.2,5,119,rock,scissors,3,-1
120,W_up_L_down_T_stay,hm_llama3,0.2,5,120,paper,scissors,-1,3
121,W_up_L_down_T_stay,hm_llama3,0.2,5,121,rock,paper,-1,3
122,W_up_L_down_T_stay,hm_llama3,0.2,5,122,scissors,rock,-1,3
123,W_up_L_down_T_stay,hm_llama3,0.2,5,123,paper,scissors,-1,3
124,W_up_L_down_T_stay,hm_llama3,0.2,5,124,rock,paper,-1,3
125,W_up_L_down_T_stay,hm_llama3,0.2,5,125,paper,rock,3,-1
126,W_up_L_down_T_stay,hm_llama3,0.2,5,126,scissors,rock,-1,3
127,W_up_L_down_T_stay,hm_llama3,0.2,5,127,paper,scissors,-1,3
128,W_up_L_down_T_stay,hm_llama3,0.2,5,128,rock,paper,-1,3
129,W_up_L_down_T_stay,hm_llama3,0.2,5,129,scissors,rock,-1,3
130,W_up_L_down_T_stay,hm_llama3,0.2,5,130,paper,scissors,-1,3
131,W_up_L_down_T_stay,hm_llama3,0.2,5,131,rock,paper,-1,3
132,W_up_L_down_T_stay,hm_llama3,0.2,5,132,rock,rock,0,0
133,W_up_L_down_T_stay,hm_llama3,0.2,5,133,rock,scissors,3,-1
134,W_up_L_down_T_stay,hm_llama3,0.2,5,134,paper,scissors,-1,3
135,W_up_L_down_T_stay,hm_llama3,0.2,5,135,rock,paper,-1,3
136,W_up_L_down_T_stay,hm_llama3,0.2,5,136,scissors,rock,-1,3
137,W_up_L_down_T_stay,hm_llama3,0.2,5,137,paper,scissors,-1,3
138,W_up_L_down_T_stay,hm_llama3,0.2,5,138,rock,paper,-1,3
139,W_up_L_down_T_stay,hm_llama3,0.2,5,139,scissors,rock,-1,3
140,W_up_L_down_T_stay,hm_llama3,0.2,5,140,paper,scissors,-1,3
141,W_up_L_down_T_stay,hm_llama3,0.2,5,141,rock,paper,-1,3
142,W_up_L_down_T_stay,hm_llama3,0.2,5,142,paper,rock,3,-1
143,W_up_L_down_T_stay,hm_llama3,0.2,5,143,scissors,rock,-1,3
144,W_up_L_down_T_stay,hm_llama3,0.2,5,144,paper,scissors,-1,3
145,W_up_L_down_T_stay,hm_llama3,0.2,5,145,rock,paper,-1,3
146,W_up_L_down_T_stay,hm_llama3,0.2,5,146,scissors,rock,-1,3
147,W_up_L_down_T_stay,hm_llama3,0.2,5,147,rock,scissors,3,-1
148,W_up_L_down_T_stay,hm_llama3,0.2,5,148,rock,paper,-1,3
149,W_up_L_down_T_stay,hm_llama3,0.2,5,149,scissors,rock,-1,3
150,W_up_L_down_T_stay,hm_llama3,0.2,5,150,paper,scissors,-1,3
151,W_up_L_down_T_stay,hm_llama3,0.2,5,151,paper,paper,0,0
152,W_up_L_down_T_stay,hm_llama3,0.2,5,152,paper,rock,3,-1
153,W_up_L_down_T_stay,hm_llama3,0.2,5,153,paper,rock,3,-1
154,W_up_L_down_T_stay,hm_llama3,0.2,5,154,scissors,scissors,0,0
155,W_up_L_down_T_stay,hm_llama3,0.2,5,155,rock,paper,-1,3
156,W_up_L_down_T_stay,hm_llama3,0.2,5,156,scissors,rock,-1,3
157,W_up_L_down_T_stay,hm_llama3,0.2,5,157,rock,rock,0,0
158,W_up_L_down_T_stay,hm_llama3,0.2,5,158,rock,rock,0,0
159,W_up_L_down_T_stay,hm_llama3,0.2,5,159,rock,scissors,3,-1
160,W_up_L_down_T_stay,hm_llama3,0.2,5,160,paper,paper,0,0
