,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_up,gpt35,0,scissors,rock,-1,3
1,self_transition_up,gpt35,1,rock,rock,0,0
2,self_transition_up,gpt35,2,paper,scissors,-1,3
3,self_transition_up,gpt35,3,scissors,paper,3,-1
4,self_transition_up,gpt35,4,rock,paper,-1,3
5,self_transition_up,gpt35,5,paper,paper,0,0
6,self_transition_up,gpt35,6,scissors,scissors,0,0
7,self_transition_up,gpt35,7,rock,rock,0,0
8,self_transition_up,gpt35,8,paper,paper,0,0
9,self_transition_up,gpt35,9,scissors,scissors,0,0
10,self_transition_up,gpt35,10,rock,rock,0,0
11,self_transition_up,gpt35,11,paper,paper,0,0
12,self_transition_up,gpt35,12,scissors,scissors,0,0
13,self_transition_up,gpt35,13,rock,paper,-1,3
14,self_transition_up,gpt35,14,paper,rock,3,-1
15,self_transition_up,gpt35,15,scissors,scissors,0,0
16,self_transition_up,gpt35,16,rock,rock,0,0
17,self_transition_up,gpt35,17,paper,paper,0,0
18,self_transition_up,gpt35,18,scissors,scissors,0,0
19,self_transition_up,gpt35,19,rock,rock,0,0
20,self_transition_up,gpt35,20,rock,paper,-1,3
21,self_transition_up,gpt35,21,paper,paper,0,0
22,self_transition_up,gpt35,22,rock,scissors,3,-1
23,self_transition_up,gpt35,23,paper,paper,0,0
24,self_transition_up,gpt35,24,scissors,scissors,0,0
25,self_transition_up,gpt35,25,rock,rock,0,0
26,self_transition_up,gpt35,26,paper,paper,0,0
27,self_transition_up,gpt35,27,scissors,scissors,0,0
28,self_transition_up,gpt35,28,rock,rock,0,0
29,self_transition_up,gpt35,29,paper,paper,0,0
30,self_transition_up,gpt35,30,paper,paper,0,0
31,self_transition_up,gpt35,31,scissors,scissors,0,0
32,self_transition_up,gpt35,32,scissors,rock,-1,3
33,self_transition_up,gpt35,33,rock,rock,0,0
34,self_transition_up,gpt35,34,paper,paper,0,0
35,self_transition_up,gpt35,35,scissors,scissors,0,0
36,self_transition_up,gpt35,36,rock,rock,0,0
37,self_transition_up,gpt35,37,paper,paper,0,0
38,self_transition_up,gpt35,38,scissors,scissors,0,0
39,self_transition_up,gpt35,39,rock,rock,0,0
40,self_transition_up,gpt35,40,paper,paper,0,0
41,self_transition_up,gpt35,41,scissors,rock,-1,3
42,self_transition_up,gpt35,42,scissors,rock,-1,3
43,self_transition_up,gpt35,43,rock,rock,0,0
44,self_transition_up,gpt35,44,paper,paper,0,0
45,self_transition_up,gpt35,45,scissors,scissors,0,0
46,self_transition_up,gpt35,46,paper,paper,0,0
47,self_transition_up,gpt35,47,scissors,scissors,0,0
48,self_transition_up,gpt35,48,rock,rock,0,0
49,self_transition_up,gpt35,49,rock,paper,-1,3
50,self_transition_up,gpt35,50,paper,paper,0,0
51,self_transition_up,gpt35,51,scissors,scissors,0,0
52,self_transition_up,gpt35,52,rock,paper,-1,3
53,self_transition_up,gpt35,53,paper,paper,0,0
54,self_transition_up,gpt35,54,scissors,scissors,0,0
55,self_transition_up,gpt35,55,rock,rock,0,0
56,self_transition_up,gpt35,56,scissors,paper,3,-1
57,self_transition_up,gpt35,57,rock,rock,0,0
58,self_transition_up,gpt35,58,paper,paper,0,0
59,self_transition_up,gpt35,59,scissors,rock,-1,3
60,self_transition_up,gpt35,60,rock,scissors,3,-1
61,self_transition_up,gpt35,61,paper,paper,0,0
62,self_transition_up,gpt35,62,scissors,scissors,0,0
63,self_transition_up,gpt35,63,rock,rock,0,0
64,self_transition_up,gpt35,64,paper,paper,0,0
65,self_transition_up,gpt35,65,paper,scissors,-1,3
66,self_transition_up,gpt35,66,scissors,scissors,0,0
67,self_transition_up,gpt35,67,rock,paper,-1,3
68,self_transition_up,gpt35,68,paper,rock,3,-1
69,self_transition_up,gpt35,69,scissors,scissors,0,0
70,self_transition_up,gpt35,70,rock,paper,-1,3
71,self_transition_up,gpt35,71,paper,paper,0,0
72,self_transition_up,gpt35,72,scissors,scissors,0,0
73,self_transition_up,gpt35,73,rock,paper,-1,3
74,self_transition_up,gpt35,74,paper,paper,0,0
75,self_transition_up,gpt35,75,scissors,rock,-1,3
76,self_transition_up,gpt35,76,rock,paper,-1,3
77,self_transition_up,gpt35,77,paper,rock,3,-1
78,self_transition_up,gpt35,78,scissors,scissors,0,0
79,self_transition_up,gpt35,79,rock,paper,-1,3
80,self_transition_up,gpt35,80,paper,rock,3,-1
81,self_transition_up,gpt35,81,scissors,rock,-1,3
82,self_transition_up,gpt35,82,rock,scissors,3,-1
83,self_transition_up,gpt35,83,paper,scissors,-1,3
84,self_transition_up,gpt35,84,scissors,rock,-1,3
85,self_transition_up,gpt35,85,rock,paper,-1,3
86,self_transition_up,gpt35,86,paper,rock,3,-1
87,self_transition_up,gpt35,87,scissors,scissors,0,0
88,self_transition_up,gpt35,88,rock,paper,-1,3
89,self_transition_up,gpt35,89,paper,paper,0,0
90,self_transition_up,gpt35,90,scissors,scissors,0,0
91,self_transition_up,gpt35,91,rock,paper,-1,3
92,self_transition_up,gpt35,92,paper,paper,0,0
93,self_transition_up,gpt35,93,scissors,rock,-1,3
94,self_transition_up,gpt35,94,rock,scissors,3,-1
95,self_transition_up,gpt35,95,paper,paper,0,0
96,self_transition_up,gpt35,96,scissors,scissors,0,0
97,self_transition_up,gpt35,97,rock,rock,0,0
98,self_transition_up,gpt35,98,rock,paper,-1,3
99,self_transition_up,gpt35,99,paper,paper,0,0
100,self_transition_up,gpt35,100,scissors,scissors,0,0
101,self_transition_up,gpt35,101,rock,paper,-1,3
102,self_transition_up,gpt35,102,paper,paper,0,0
103,self_transition_up,gpt35,103,scissors,scissors,0,0
104,self_transition_up,gpt35,104,rock,paper,-1,3
105,self_transition_up,gpt35,105,paper,paper,0,0
106,self_transition_up,gpt35,106,scissors,paper,3,-1
107,self_transition_up,gpt35,107,rock,rock,0,0
108,self_transition_up,gpt35,108,paper,paper,0,0
109,self_transition_up,gpt35,109,scissors,scissors,0,0
110,self_transition_up,gpt35,110,paper,rock,3,-1
111,self_transition_up,gpt35,111,scissors,scissors,0,0
112,self_transition_up,gpt35,112,rock,rock,0,0
113,self_transition_up,gpt35,113,paper,paper,0,0
114,self_transition_up,gpt35,114,scissors,scissors,0,0
115,self_transition_up,gpt35,115,rock,scissors,3,-1
116,self_transition_up,gpt35,116,paper,paper,0,0
117,self_transition_up,gpt35,117,scissors,scissors,0,0
118,self_transition_up,gpt35,118,rock,paper,-1,3
119,self_transition_up,gpt35,119,paper,rock,3,-1
120,self_transition_up,gpt35,120,scissors,scissors,0,0
