,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_down,gpt3.5,0,paper,rock,3,-1
1,self_transition_down,gpt3.5,1,rock,scissors,3,-1
2,self_transition_down,gpt3.5,2,scissors,paper,3,-1
3,self_transition_down,gpt3.5,3,paper,scissors,-1,3
4,self_transition_down,gpt3.5,4,rock,scissors,3,-1
5,self_transition_down,gpt3.5,5,scissors,scissors,0,0
6,self_transition_down,gpt3.5,6,paper,rock,3,-1
7,self_transition_down,gpt3.5,7,rock,rock,0,0
8,self_transition_down,gpt3.5,8,rock,paper,-1,3
9,self_transition_down,gpt3.5,9,scissors,paper,3,-1
10,self_transition_down,gpt3.5,10,paper,rock,3,-1
11,self_transition_down,gpt3.5,11,rock,scissors,3,-1
12,self_transition_down,gpt3.5,12,scissors,rock,-1,3
13,self_transition_down,gpt3.5,13,paper,rock,3,-1
14,self_transition_down,gpt3.5,14,scissors,scissors,0,0
15,self_transition_down,gpt3.5,15,paper,rock,3,-1
16,self_transition_down,gpt3.5,16,rock,rock,0,0
17,self_transition_down,gpt3.5,17,scissors,paper,3,-1
18,self_transition_down,gpt3.5,18,paper,scissors,-1,3
19,self_transition_down,gpt3.5,19,paper,paper,0,0
20,self_transition_down,gpt3.5,20,rock,rock,0,0
21,self_transition_down,gpt3.5,21,scissors,paper,3,-1
22,self_transition_down,gpt3.5,22,rock,rock,0,0
23,self_transition_down,gpt3.5,23,scissors,paper,3,-1
24,self_transition_down,gpt3.5,24,paper,rock,3,-1
25,self_transition_down,gpt3.5,25,rock,scissors,3,-1
26,self_transition_down,gpt3.5,26,scissors,paper,3,-1
27,self_transition_down,gpt3.5,27,paper,rock,3,-1
28,self_transition_down,gpt3.5,28,rock,scissors,3,-1
29,self_transition_down,gpt3.5,29,scissors,scissors,0,0
30,self_transition_down,gpt3.5,30,paper,rock,3,-1
31,self_transition_down,gpt3.5,31,rock,scissors,3,-1
32,self_transition_down,gpt3.5,32,scissors,paper,3,-1
33,self_transition_down,gpt3.5,33,rock,scissors,3,-1
34,self_transition_down,gpt3.5,34,scissors,paper,3,-1
35,self_transition_down,gpt3.5,35,scissors,rock,-1,3
36,self_transition_down,gpt3.5,36,paper,paper,0,0
37,self_transition_down,gpt3.5,37,rock,rock,0,0
38,self_transition_down,gpt3.5,38,scissors,paper,3,-1
39,self_transition_down,gpt3.5,39,paper,rock,3,-1
40,self_transition_down,gpt3.5,40,rock,scissors,3,-1
41,self_transition_down,gpt3.5,41,scissors,paper,3,-1
42,self_transition_down,gpt3.5,42,paper,scissors,-1,3
43,self_transition_down,gpt3.5,43,rock,rock,0,0
44,self_transition_down,gpt3.5,44,scissors,paper,3,-1
45,self_transition_down,gpt3.5,45,paper,paper,0,0
46,self_transition_down,gpt3.5,46,rock,scissors,3,-1
47,self_transition_down,gpt3.5,47,scissors,scissors,0,0
48,self_transition_down,gpt3.5,48,paper,rock,3,-1
49,self_transition_down,gpt3.5,49,rock,scissors,3,-1
50,self_transition_down,gpt3.5,50,scissors,rock,-1,3
51,self_transition_down,gpt3.5,51,paper,scissors,-1,3
52,self_transition_down,gpt3.5,52,rock,paper,-1,3
53,self_transition_down,gpt3.5,53,scissors,rock,-1,3
54,self_transition_down,gpt3.5,54,paper,scissors,-1,3
55,self_transition_down,gpt3.5,55,rock,paper,-1,3
56,self_transition_down,gpt3.5,56,scissors,rock,-1,3
