,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_stay,gpt4o,0,rock,rock,0,0
1,opponent_transition_stay,gpt4o,1,rock,paper,-1,3
2,opponent_transition_stay,gpt4o,2,paper,paper,0,0
3,opponent_transition_stay,gpt4o,3,rock,rock,0,0
4,opponent_transition_stay,gpt4o,4,rock,scissors,3,-1
5,opponent_transition_stay,gpt4o,5,scissors,paper,3,-1
6,opponent_transition_stay,gpt4o,6,paper,paper,0,0
7,opponent_transition_stay,gpt4o,7,paper,paper,0,0
8,opponent_transition_stay,gpt4o,8,paper,paper,0,0
9,opponent_transition_stay,gpt4o,9,paper,scissors,-1,3
10,opponent_transition_stay,gpt4o,10,scissors,scissors,0,0
11,opponent_transition_stay,gpt4o,11,scissors,scissors,0,0
12,opponent_transition_stay,gpt4o,12,scissors,scissors,0,0
13,opponent_transition_stay,gpt4o,13,scissors,rock,-1,3
14,opponent_transition_stay,gpt4o,14,rock,rock,0,0
15,opponent_transition_stay,gpt4o,15,rock,paper,-1,3
16,opponent_transition_stay,gpt4o,16,paper,paper,0,0
17,opponent_transition_stay,gpt4o,17,paper,scissors,-1,3
18,opponent_transition_stay,gpt4o,18,scissors,rock,-1,3
19,opponent_transition_stay,gpt4o,19,rock,paper,-1,3
20,opponent_transition_stay,gpt4o,20,paper,paper,0,0
21,opponent_transition_stay,gpt4o,21,paper,paper,0,0
22,opponent_transition_stay,gpt4o,22,paper,scissors,-1,3
23,opponent_transition_stay,gpt4o,23,scissors,rock,-1,3
24,opponent_transition_stay,gpt4o,24,paper,paper,0,0
25,opponent_transition_stay,gpt4o,25,paper,paper,0,0
26,opponent_transition_stay,gpt4o,26,paper,scissors,-1,3
27,opponent_transition_stay,gpt4o,27,scissors,scissors,0,0
28,opponent_transition_stay,gpt4o,28,scissors,rock,-1,3
29,opponent_transition_stay,gpt4o,29,rock,rock,0,0
30,opponent_transition_stay,gpt4o,30,rock,paper,-1,3
31,opponent_transition_stay,gpt4o,31,paper,scissors,-1,3
