,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_down,llama3,0,paper,paper,0,0
1,self_transition_down,llama3,1,rock,scissors,3,-1
2,self_transition_down,llama3,2,scissors,paper,3,-1
3,self_transition_down,llama3,3,paper,paper,0,0
4,self_transition_down,llama3,4,rock,scissors,3,-1
5,self_transition_down,llama3,5,scissors,rock,-1,3
6,self_transition_down,llama3,6,paper,rock,3,-1
7,self_transition_down,llama3,7,rock,rock,0,0
8,self_transition_down,llama3,8,scissors,paper,3,-1
9,self_transition_down,llama3,9,paper,paper,0,0
10,self_transition_down,llama3,10,rock,rock,0,0
11,self_transition_down,llama3,11,scissors,scissors,0,0
12,self_transition_down,llama3,12,paper,scissors,-1,3
13,self_transition_down,llama3,13,rock,paper,-1,3
14,self_transition_down,llama3,14,scissors,rock,-1,3
15,self_transition_down,llama3,15,paper,scissors,-1,3
16,self_transition_down,llama3,16,rock,paper,-1,3
17,self_transition_down,llama3,17,scissors,rock,-1,3
18,self_transition_down,llama3,18,paper,scissors,-1,3
19,self_transition_down,llama3,19,rock,paper,-1,3
20,self_transition_down,llama3,20,scissors,rock,-1,3
21,self_transition_down,llama3,21,paper,scissors,-1,3
22,self_transition_down,llama3,22,rock,paper,-1,3
23,self_transition_down,llama3,23,scissors,rock,-1,3
24,self_transition_down,llama3,24,paper,scissors,-1,3
25,self_transition_down,llama3,25,rock,paper,-1,3
26,self_transition_down,llama3,26,scissors,rock,-1,3
27,self_transition_down,llama3,27,paper,scissors,-1,3
28,self_transition_down,llama3,28,scissors,paper,3,-1
29,self_transition_down,llama3,29,paper,paper,0,0
30,self_transition_down,llama3,30,paper,paper,0,0
31,self_transition_down,llama3,31,paper,rock,3,-1
32,self_transition_down,llama3,32,rock,scissors,3,-1
33,self_transition_down,llama3,33,scissors,scissors,0,0
34,self_transition_down,llama3,34,paper,paper,0,0
35,self_transition_down,llama3,35,rock,paper,-1,3
36,self_transition_down,llama3,36,scissors,scissors,0,0
37,self_transition_down,llama3,37,paper,paper,0,0
38,self_transition_down,llama3,38,rock,paper,-1,3
39,self_transition_down,llama3,39,scissors,scissors,0,0
40,self_transition_down,llama3,40,paper,paper,0,0
41,self_transition_down,llama3,41,scissors,scissors,0,0
42,self_transition_down,llama3,42,paper,paper,0,0
43,self_transition_down,llama3,43,rock,scissors,3,-1
44,self_transition_down,llama3,44,scissors,rock,-1,3
45,self_transition_down,llama3,45,paper,rock,3,-1
46,self_transition_down,llama3,46,rock,scissors,3,-1
47,self_transition_down,llama3,47,scissors,paper,3,-1
48,self_transition_down,llama3,48,paper,rock,3,-1
49,self_transition_down,llama3,49,rock,rock,0,0
50,self_transition_down,llama3,50,scissors,scissors,0,0
51,self_transition_down,llama3,51,scissors,rock,-1,3
52,self_transition_down,llama3,52,paper,rock,3,-1
53,self_transition_down,llama3,53,rock,rock,0,0
54,self_transition_down,llama3,54,scissors,paper,3,-1
55,self_transition_down,llama3,55,paper,rock,3,-1
56,self_transition_down,llama3,56,rock,rock,0,0
57,self_transition_down,llama3,57,scissors,paper,3,-1
58,self_transition_down,llama3,58,paper,rock,3,-1
59,self_transition_down,llama3,59,rock,rock,0,0
60,self_transition_down,llama3,60,scissors,paper,3,-1
61,self_transition_down,llama3,61,paper,scissors,-1,3
62,self_transition_down,llama3,62,rock,paper,-1,3
63,self_transition_down,llama3,63,scissors,paper,3,-1
64,self_transition_down,llama3,64,paper,scissors,-1,3
65,self_transition_down,llama3,65,rock,paper,-1,3
66,self_transition_down,llama3,66,scissors,paper,3,-1
67,self_transition_down,llama3,67,paper,scissors,-1,3
68,self_transition_down,llama3,68,rock,rock,0,0
69,self_transition_down,llama3,69,scissors,paper,3,-1
70,self_transition_down,llama3,70,paper,rock,3,-1
71,self_transition_down,llama3,71,rock,scissors,3,-1
72,self_transition_down,llama3,72,scissors,scissors,0,0
73,self_transition_down,llama3,73,paper,rock,3,-1
74,self_transition_down,llama3,74,rock,scissors,3,-1
75,self_transition_down,llama3,75,scissors,scissors,0,0
76,self_transition_down,llama3,76,paper,rock,3,-1
77,self_transition_down,llama3,77,rock,scissors,3,-1
78,self_transition_down,llama3,78,scissors,paper,3,-1
79,self_transition_down,llama3,79,paper,rock,3,-1
80,self_transition_down,llama3,80,rock,scissors,3,-1
81,self_transition_down,llama3,81,scissors,paper,3,-1
82,self_transition_down,llama3,82,rock,rock,0,0
83,self_transition_down,llama3,83,scissors,paper,3,-1
84,self_transition_down,llama3,84,paper,paper,0,0
85,self_transition_down,llama3,85,rock,paper,-1,3
86,self_transition_down,llama3,86,scissors,rock,-1,3
87,self_transition_down,llama3,87,scissors,scissors,0,0
88,self_transition_down,llama3,88,paper,scissors,-1,3
89,self_transition_down,llama3,89,rock,paper,-1,3
90,self_transition_down,llama3,90,scissors,rock,-1,3
91,self_transition_down,llama3,91,paper,rock,3,-1
92,self_transition_down,llama3,92,paper,rock,3,-1
93,self_transition_down,llama3,93,rock,scissors,3,-1
94,self_transition_down,llama3,94,scissors,scissors,0,0
95,self_transition_down,llama3,95,paper,paper,0,0
96,self_transition_down,llama3,96,rock,rock,0,0
97,self_transition_down,llama3,97,scissors,paper,3,-1
98,self_transition_down,llama3,98,paper,paper,0,0
99,self_transition_down,llama3,99,rock,scissors,3,-1
100,self_transition_down,llama3,100,scissors,paper,3,-1
101,self_transition_down,llama3,101,paper,rock,3,-1
102,self_transition_down,llama3,102,rock,scissors,3,-1
103,self_transition_down,llama3,103,scissors,scissors,0,0
104,self_transition_down,llama3,104,paper,rock,3,-1
105,self_transition_down,llama3,105,rock,rock,0,0
106,self_transition_down,llama3,106,paper,scissors,-1,3
107,self_transition_down,llama3,107,paper,paper,0,0
108,self_transition_down,llama3,108,rock,scissors,3,-1
109,self_transition_down,llama3,109,scissors,paper,3,-1
110,self_transition_down,llama3,110,paper,scissors,-1,3
111,self_transition_down,llama3,111,rock,scissors,3,-1
112,self_transition_down,llama3,112,scissors,rock,-1,3
113,self_transition_down,llama3,113,paper,rock,3,-1
114,self_transition_down,llama3,114,rock,scissors,3,-1
115,self_transition_down,llama3,115,rock,scissors,3,-1
116,self_transition_down,llama3,116,scissors,paper,3,-1
117,self_transition_down,llama3,117,paper,rock,3,-1
118,self_transition_down,llama3,118,rock,scissors,3,-1
119,self_transition_down,llama3,119,scissors,scissors,0,0
120,self_transition_down,llama3,120,paper,rock,3,-1
121,self_transition_down,llama3,121,rock,scissors,3,-1
122,self_transition_down,llama3,122,scissors,paper,3,-1
123,self_transition_down,llama3,123,paper,rock,3,-1
124,self_transition_down,llama3,124,rock,rock,0,0
125,self_transition_down,llama3,125,scissors,scissors,0,0
126,self_transition_down,llama3,126,paper,scissors,-1,3
127,self_transition_down,llama3,127,scissors,rock,-1,3
128,self_transition_down,llama3,128,paper,scissors,-1,3
129,self_transition_down,llama3,129,rock,scissors,3,-1
130,self_transition_down,llama3,130,scissors,rock,-1,3
131,self_transition_down,llama3,131,paper,rock,3,-1
132,self_transition_down,llama3,132,rock,rock,0,0
133,self_transition_down,llama3,133,scissors,scissors,0,0
134,self_transition_down,llama3,134,paper,paper,0,0
135,self_transition_down,llama3,135,rock,rock,0,0
136,self_transition_down,llama3,136,scissors,paper,3,-1
137,self_transition_down,llama3,137,paper,rock,3,-1
138,self_transition_down,llama3,138,rock,rock,0,0
139,self_transition_down,llama3,139,scissors,paper,3,-1
140,self_transition_down,llama3,140,paper,paper,0,0
141,self_transition_down,llama3,141,rock,rock,0,0
142,self_transition_down,llama3,142,scissors,paper,3,-1
143,self_transition_down,llama3,143,paper,rock,3,-1
144,self_transition_down,llama3,144,rock,scissors,3,-1
145,self_transition_down,llama3,145,scissors,scissors,0,0
146,self_transition_down,llama3,146,paper,paper,0,0
147,self_transition_down,llama3,147,rock,rock,0,0
148,self_transition_down,llama3,148,scissors,paper,3,-1
149,self_transition_down,llama3,149,paper,paper,0,0
150,self_transition_down,llama3,150,rock,scissors,3,-1
151,self_transition_down,llama3,151,paper,scissors,-1,3
152,self_transition_down,llama3,152,rock,paper,-1,3
153,self_transition_down,llama3,153,scissors,scissors,0,0
154,self_transition_down,llama3,154,paper,scissors,-1,3
155,self_transition_down,llama3,155,rock,paper,-1,3
156,self_transition_down,llama3,156,scissors,scissors,0,0
157,self_transition_down,llama3,157,paper,rock,3,-1
158,self_transition_down,llama3,158,rock,rock,0,0
159,self_transition_down,llama3,159,scissors,scissors,0,0
160,self_transition_down,llama3,160,paper,rock,3,-1
161,self_transition_down,llama3,161,rock,rock,0,0
162,self_transition_down,llama3,162,scissors,scissors,0,0
163,self_transition_down,llama3,163,paper,rock,3,-1
164,self_transition_down,llama3,164,rock,scissors,3,-1
165,self_transition_down,llama3,165,scissors,paper,3,-1
166,self_transition_down,llama3,166,paper,paper,0,0
167,self_transition_down,llama3,167,rock,paper,-1,3
168,self_transition_down,llama3,168,scissors,rock,-1,3
169,self_transition_down,llama3,169,paper,scissors,-1,3
170,self_transition_down,llama3,170,rock,rock,0,0
