,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_stay,hm_gpt4o,0,scissors,paper,3,-1
1,opponent_transition_stay,hm_gpt4o,1,paper,rock,3,-1
2,opponent_transition_stay,hm_gpt4o,2,paper,paper,0,0
3,opponent_transition_stay,hm_gpt4o,3,paper,scissors,-1,3
4,opponent_transition_stay,hm_gpt4o,4,scissors,scissors,0,0
5,opponent_transition_stay,hm_gpt4o,5,scissors,scissors,0,0
6,opponent_transition_stay,hm_gpt4o,6,scissors,rock,-1,3
7,opponent_transition_stay,hm_gpt4o,7,rock,scissors,3,-1
8,opponent_transition_stay,hm_gpt4o,8,scissors,scissors,0,0
9,opponent_transition_stay,hm_gpt4o,9,scissors,rock,-1,3
10,opponent_transition_stay,hm_gpt4o,10,rock,rock,0,0
11,opponent_transition_stay,hm_gpt4o,11,rock,rock,0,0
12,opponent_transition_stay,hm_gpt4o,12,rock,paper,-1,3
13,opponent_transition_stay,hm_gpt4o,13,paper,rock,3,-1
14,opponent_transition_stay,hm_gpt4o,14,rock,paper,-1,3
15,opponent_transition_stay,hm_gpt4o,15,paper,rock,3,-1
16,opponent_transition_stay,hm_gpt4o,16,rock,scissors,3,-1
17,opponent_transition_stay,hm_gpt4o,17,scissors,scissors,0,0
18,opponent_transition_stay,hm_gpt4o,18,scissors,paper,3,-1
19,opponent_transition_stay,hm_gpt4o,19,paper,rock,3,-1
20,opponent_transition_stay,hm_gpt4o,20,rock,scissors,3,-1
21,opponent_transition_stay,hm_gpt4o,21,scissors,paper,3,-1
22,opponent_transition_stay,hm_gpt4o,22,paper,paper,0,0
23,opponent_transition_stay,hm_gpt4o,23,paper,rock,3,-1
24,opponent_transition_stay,hm_gpt4o,24,rock,rock,0,0
25,opponent_transition_stay,hm_gpt4o,25,rock,scissors,3,-1
26,opponent_transition_stay,hm_gpt4o,26,scissors,paper,3,-1
27,opponent_transition_stay,hm_gpt4o,27,paper,rock,3,-1
28,opponent_transition_stay,hm_gpt4o,28,rock,scissors,3,-1
29,opponent_transition_stay,hm_gpt4o,29,paper,paper,0,0
30,opponent_transition_stay,hm_gpt4o,30,paper,paper,0,0
31,opponent_transition_stay,hm_gpt4o,31,paper,paper,0,0
32,opponent_transition_stay,hm_gpt4o,32,paper,scissors,-1,3
33,opponent_transition_stay,hm_gpt4o,33,scissors,scissors,0,0
34,opponent_transition_stay,hm_gpt4o,34,scissors,paper,3,-1
35,opponent_transition_stay,hm_gpt4o,35,rock,rock,0,0
36,opponent_transition_stay,hm_gpt4o,36,rock,rock,0,0
37,opponent_transition_stay,hm_gpt4o,37,scissors,scissors,0,0
38,opponent_transition_stay,hm_gpt4o,38,scissors,paper,3,-1
39,opponent_transition_stay,hm_gpt4o,39,paper,scissors,-1,3
40,opponent_transition_stay,hm_gpt4o,40,scissors,scissors,0,0
41,opponent_transition_stay,hm_gpt4o,41,scissors,rock,-1,3
42,opponent_transition_stay,hm_gpt4o,42,rock,scissors,3,-1
43,opponent_transition_stay,hm_gpt4o,43,scissors,rock,-1,3
44,opponent_transition_stay,hm_gpt4o,44,scissors,rock,-1,3
45,opponent_transition_stay,hm_gpt4o,45,rock,rock,0,0
46,opponent_transition_stay,hm_gpt4o,46,rock,rock,0,0
47,opponent_transition_stay,hm_gpt4o,47,rock,rock,0,0
48,opponent_transition_stay,hm_gpt4o,48,rock,paper,-1,3
49,opponent_transition_stay,hm_gpt4o,49,paper,paper,0,0
50,opponent_transition_stay,hm_gpt4o,50,paper,scissors,-1,3
51,opponent_transition_stay,hm_gpt4o,51,scissors,paper,3,-1
52,opponent_transition_stay,hm_gpt4o,52,paper,rock,3,-1
53,opponent_transition_stay,hm_gpt4o,53,rock,scissors,3,-1
54,opponent_transition_stay,hm_gpt4o,54,scissors,paper,3,-1
55,opponent_transition_stay,hm_gpt4o,55,paper,rock,3,-1
56,opponent_transition_stay,hm_gpt4o,56,rock,paper,-1,3
57,opponent_transition_stay,hm_gpt4o,57,paper,paper,0,0
58,opponent_transition_stay,hm_gpt4o,58,paper,scissors,-1,3
59,opponent_transition_stay,hm_gpt4o,59,scissors,paper,3,-1
60,opponent_transition_stay,hm_gpt4o,60,scissors,paper,3,-1
61,opponent_transition_stay,hm_gpt4o,61,paper,scissors,-1,3
62,opponent_transition_stay,hm_gpt4o,62,rock,paper,-1,3
63,opponent_transition_stay,hm_gpt4o,63,rock,scissors,3,-1
64,opponent_transition_stay,hm_gpt4o,64,scissors,paper,3,-1
65,opponent_transition_stay,hm_gpt4o,65,paper,rock,3,-1
66,opponent_transition_stay,hm_gpt4o,66,rock,scissors,3,-1
67,opponent_transition_stay,hm_gpt4o,67,scissors,paper,3,-1
68,opponent_transition_stay,hm_gpt4o,68,paper,rock,3,-1
69,opponent_transition_stay,hm_gpt4o,69,rock,scissors,3,-1
70,opponent_transition_stay,hm_gpt4o,70,scissors,paper,3,-1
71,opponent_transition_stay,hm_gpt4o,71,paper,rock,3,-1
72,opponent_transition_stay,hm_gpt4o,72,rock,scissors,3,-1
73,opponent_transition_stay,hm_gpt4o,73,scissors,rock,-1,3
74,opponent_transition_stay,hm_gpt4o,74,rock,scissors,3,-1
75,opponent_transition_stay,hm_gpt4o,75,paper,paper,0,0
76,opponent_transition_stay,hm_gpt4o,76,paper,rock,3,-1
77,opponent_transition_stay,hm_gpt4o,77,rock,paper,-1,3
78,opponent_transition_stay,hm_gpt4o,78,paper,scissors,-1,3
