,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_stay,hm_gpt4o,0.2,3,0,scissors,rock,-1,3
1,opponent_transition_stay,hm_gpt4o,0.2,3,1,rock,paper,-1,3
2,opponent_transition_stay,hm_gpt4o,0.2,3,2,paper,scissors,-1,3
3,opponent_transition_stay,hm_gpt4o,0.2,3,3,scissors,rock,-1,3
4,opponent_transition_stay,hm_gpt4o,0.2,3,4,rock,paper,-1,3
5,opponent_transition_stay,hm_gpt4o,0.2,3,5,paper,scissors,-1,3
6,opponent_transition_stay,hm_gpt4o,0.2,3,6,scissors,rock,-1,3
7,opponent_transition_stay,hm_gpt4o,0.2,3,7,rock,paper,-1,3
8,opponent_transition_stay,hm_gpt4o,0.2,3,8,paper,paper,0,0
9,opponent_transition_stay,hm_gpt4o,0.2,3,9,paper,rock,3,-1
10,opponent_transition_stay,hm_gpt4o,0.2,3,10,rock,rock,0,0
11,opponent_transition_stay,hm_gpt4o,0.2,3,11,rock,rock,0,0
12,opponent_transition_stay,hm_gpt4o,0.2,3,12,rock,paper,-1,3
13,opponent_transition_stay,hm_gpt4o,0.2,3,13,rock,paper,-1,3
14,opponent_transition_stay,hm_gpt4o,0.2,3,14,paper,paper,0,0
15,opponent_transition_stay,hm_gpt4o,0.2,3,15,paper,scissors,-1,3
16,opponent_transition_stay,hm_gpt4o,0.2,3,16,scissors,paper,3,-1
17,opponent_transition_stay,hm_gpt4o,0.2,3,17,paper,paper,0,0
18,opponent_transition_stay,hm_gpt4o,0.2,3,18,paper,rock,3,-1
19,opponent_transition_stay,hm_gpt4o,0.2,3,19,rock,scissors,3,-1
20,opponent_transition_stay,hm_gpt4o,0.2,3,20,scissors,paper,3,-1
21,opponent_transition_stay,hm_gpt4o,0.2,3,21,paper,rock,3,-1
22,opponent_transition_stay,hm_gpt4o,0.2,3,22,rock,scissors,3,-1
23,opponent_transition_stay,hm_gpt4o,0.2,3,23,scissors,paper,3,-1
24,opponent_transition_stay,hm_gpt4o,0.2,3,24,paper,paper,0,0
25,opponent_transition_stay,hm_gpt4o,0.2,3,25,paper,rock,3,-1
26,opponent_transition_stay,hm_gpt4o,0.2,3,26,rock,scissors,3,-1
27,opponent_transition_stay,hm_gpt4o,0.2,3,27,scissors,paper,3,-1
28,opponent_transition_stay,hm_gpt4o,0.2,3,28,paper,rock,3,-1
29,opponent_transition_stay,hm_gpt4o,0.2,3,29,rock,scissors,3,-1
30,opponent_transition_stay,hm_gpt4o,0.2,3,30,scissors,paper,3,-1
31,opponent_transition_stay,hm_gpt4o,0.2,3,31,scissors,paper,3,-1
32,opponent_transition_stay,hm_gpt4o,0.2,3,32,paper,rock,3,-1
33,opponent_transition_stay,hm_gpt4o,0.2,3,33,rock,scissors,3,-1
34,opponent_transition_stay,hm_gpt4o,0.2,3,34,scissors,paper,3,-1
35,opponent_transition_stay,hm_gpt4o,0.2,3,35,paper,rock,3,-1
36,opponent_transition_stay,hm_gpt4o,0.2,3,36,rock,paper,-1,3
37,opponent_transition_stay,hm_gpt4o,0.2,3,37,rock,rock,0,0
