,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,prev_outcome_prev_transition,hm_llama3,0,rock,paper,-1,3
1,prev_outcome_prev_transition,hm_llama3,1,scissors,paper,3,-1
2,prev_outcome_prev_transition,hm_llama3,2,paper,scissors,-1,3
3,prev_outcome_prev_transition,hm_llama3,3,scissors,rock,-1,3
4,prev_outcome_prev_transition,hm_llama3,4,scissors,paper,3,-1
5,prev_outcome_prev_transition,hm_llama3,5,scissors,rock,-1,3
6,prev_outcome_prev_transition,hm_llama3,6,paper,rock,3,-1
7,prev_outcome_prev_transition,hm_llama3,7,rock,scissors,3,-1
8,prev_outcome_prev_transition,hm_llama3,8,scissors,scissors,0,0
9,prev_outcome_prev_transition,hm_llama3,9,rock,rock,0,0
