,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_down,hm_llama3,0,paper,paper,0,0
1,self_transition_down,hm_llama3,1,rock,scissors,3,-1
2,self_transition_down,hm_llama3,2,scissors,scissors,0,0
3,self_transition_down,hm_llama3,3,paper,paper,0,0
4,self_transition_down,hm_llama3,4,rock,paper,-1,3
5,self_transition_down,hm_llama3,5,scissors,scissors,0,0
6,self_transition_down,hm_llama3,6,scissors,paper,3,-1
7,self_transition_down,hm_llama3,7,scissors,paper,3,-1
8,self_transition_down,hm_llama3,8,rock,paper,-1,3
9,self_transition_down,hm_llama3,9,scissors,rock,-1,3
10,self_transition_down,hm_llama3,10,paper,paper,0,0
11,self_transition_down,hm_llama3,11,rock,paper,-1,3
12,self_transition_down,hm_llama3,12,scissors,rock,-1,3
13,self_transition_down,hm_llama3,13,paper,paper,0,0
14,self_transition_down,hm_llama3,14,scissors,paper,3,-1
15,self_transition_down,hm_llama3,15,paper,paper,0,0
16,self_transition_down,hm_llama3,16,rock,scissors,3,-1
17,self_transition_down,hm_llama3,17,scissors,rock,-1,3
18,self_transition_down,hm_llama3,18,paper,paper,0,0
19,self_transition_down,hm_llama3,19,rock,rock,0,0
20,self_transition_down,hm_llama3,20,scissors,scissors,0,0
21,self_transition_down,hm_llama3,21,paper,paper,0,0
22,self_transition_down,hm_llama3,22,rock,scissors,3,-1
23,self_transition_down,hm_llama3,23,scissors,rock,-1,3
24,self_transition_down,hm_llama3,24,paper,paper,0,0
25,self_transition_down,hm_llama3,25,rock,paper,-1,3
26,self_transition_down,hm_llama3,26,scissors,rock,-1,3
27,self_transition_down,hm_llama3,27,paper,paper,0,0
28,self_transition_down,hm_llama3,28,rock,scissors,3,-1
29,self_transition_down,hm_llama3,29,scissors,scissors,0,0
30,self_transition_down,hm_llama3,30,paper,paper,0,0
31,self_transition_down,hm_llama3,31,rock,scissors,3,-1
32,self_transition_down,hm_llama3,32,scissors,rock,-1,3
33,self_transition_down,hm_llama3,33,paper,paper,0,0
34,self_transition_down,hm_llama3,34,rock,paper,-1,3
35,self_transition_down,hm_llama3,35,scissors,rock,-1,3
36,self_transition_down,hm_llama3,36,paper,paper,0,0
37,self_transition_down,hm_llama3,37,rock,paper,-1,3
38,self_transition_down,hm_llama3,38,scissors,rock,-1,3
39,self_transition_down,hm_llama3,39,scissors,rock,-1,3
40,self_transition_down,hm_llama3,40,paper,paper,0,0
41,self_transition_down,hm_llama3,41,rock,scissors,3,-1
42,self_transition_down,hm_llama3,42,scissors,paper,3,-1
43,self_transition_down,hm_llama3,43,paper,paper,0,0
44,self_transition_down,hm_llama3,44,rock,scissors,3,-1
45,self_transition_down,hm_llama3,45,scissors,paper,3,-1
46,self_transition_down,hm_llama3,46,paper,paper,0,0
47,self_transition_down,hm_llama3,47,rock,scissors,3,-1
48,self_transition_down,hm_llama3,48,scissors,rock,-1,3
49,self_transition_down,hm_llama3,49,paper,rock,3,-1
50,self_transition_down,hm_llama3,50,paper,rock,3,-1
51,self_transition_down,hm_llama3,51,rock,paper,-1,3
52,self_transition_down,hm_llama3,52,scissors,rock,-1,3
53,self_transition_down,hm_llama3,53,paper,paper,0,0
54,self_transition_down,hm_llama3,54,rock,paper,-1,3
55,self_transition_down,hm_llama3,55,scissors,paper,3,-1
56,self_transition_down,hm_llama3,56,paper,paper,0,0
57,self_transition_down,hm_llama3,57,rock,scissors,3,-1
58,self_transition_down,hm_llama3,58,scissors,scissors,0,0
59,self_transition_down,hm_llama3,59,paper,paper,0,0
60,self_transition_down,hm_llama3,60,rock,paper,-1,3
61,self_transition_down,hm_llama3,61,scissors,paper,3,-1
62,self_transition_down,hm_llama3,62,paper,paper,0,0
63,self_transition_down,hm_llama3,63,rock,paper,-1,3
64,self_transition_down,hm_llama3,64,scissors,rock,-1,3
65,self_transition_down,hm_llama3,65,paper,paper,0,0
66,self_transition_down,hm_llama3,66,rock,paper,-1,3
67,self_transition_down,hm_llama3,67,scissors,rock,-1,3
68,self_transition_down,hm_llama3,68,paper,scissors,-1,3
69,self_transition_down,hm_llama3,69,rock,rock,0,0
70,self_transition_down,hm_llama3,70,scissors,scissors,0,0
71,self_transition_down,hm_llama3,71,paper,paper,0,0
72,self_transition_down,hm_llama3,72,rock,paper,-1,3
73,self_transition_down,hm_llama3,73,scissors,scissors,0,0
74,self_transition_down,hm_llama3,74,paper,rock,3,-1
75,self_transition_down,hm_llama3,75,rock,rock,0,0
76,self_transition_down,hm_llama3,76,scissors,paper,3,-1
77,self_transition_down,hm_llama3,77,paper,rock,3,-1
78,self_transition_down,hm_llama3,78,rock,scissors,3,-1
79,self_transition_down,hm_llama3,79,scissors,paper,3,-1
80,self_transition_down,hm_llama3,80,paper,rock,3,-1
81,self_transition_down,hm_llama3,81,rock,scissors,3,-1
82,self_transition_down,hm_llama3,82,scissors,paper,3,-1
83,self_transition_down,hm_llama3,83,paper,rock,3,-1
84,self_transition_down,hm_llama3,84,rock,rock,0,0
85,self_transition_down,hm_llama3,85,scissors,rock,-1,3
86,self_transition_down,hm_llama3,86,paper,paper,0,0
87,self_transition_down,hm_llama3,87,rock,scissors,3,-1
88,self_transition_down,hm_llama3,88,scissors,paper,3,-1
89,self_transition_down,hm_llama3,89,paper,rock,3,-1
90,self_transition_down,hm_llama3,90,rock,scissors,3,-1
91,self_transition_down,hm_llama3,91,rock,rock,0,0
92,self_transition_down,hm_llama3,92,scissors,paper,3,-1
93,self_transition_down,hm_llama3,93,paper,paper,0,0
94,self_transition_down,hm_llama3,94,rock,scissors,3,-1
95,self_transition_down,hm_llama3,95,scissors,paper,3,-1
96,self_transition_down,hm_llama3,96,paper,rock,3,-1
97,self_transition_down,hm_llama3,97,rock,rock,0,0
98,self_transition_down,hm_llama3,98,scissors,paper,3,-1
99,self_transition_down,hm_llama3,99,paper,paper,0,0
100,self_transition_down,hm_llama3,100,rock,scissors,3,-1
101,self_transition_down,hm_llama3,101,scissors,rock,-1,3
102,self_transition_down,hm_llama3,102,paper,paper,0,0
103,self_transition_down,hm_llama3,103,rock,rock,0,0
104,self_transition_down,hm_llama3,104,scissors,scissors,0,0
105,self_transition_down,hm_llama3,105,paper,paper,0,0
106,self_transition_down,hm_llama3,106,rock,scissors,3,-1
107,self_transition_down,hm_llama3,107,scissors,scissors,0,0
108,self_transition_down,hm_llama3,108,paper,paper,0,0
109,self_transition_down,hm_llama3,109,rock,scissors,3,-1
110,self_transition_down,hm_llama3,110,scissors,scissors,0,0
111,self_transition_down,hm_llama3,111,paper,paper,0,0
112,self_transition_down,hm_llama3,112,rock,scissors,3,-1
113,self_transition_down,hm_llama3,113,scissors,scissors,0,0
114,self_transition_down,hm_llama3,114,paper,paper,0,0
115,self_transition_down,hm_llama3,115,rock,scissors,3,-1
116,self_transition_down,hm_llama3,116,scissors,rock,-1,3
117,self_transition_down,hm_llama3,117,paper,paper,0,0
118,self_transition_down,hm_llama3,118,rock,rock,0,0
119,self_transition_down,hm_llama3,119,scissors,rock,-1,3
120,self_transition_down,hm_llama3,120,paper,rock,3,-1
121,self_transition_down,hm_llama3,121,rock,scissors,3,-1
122,self_transition_down,hm_llama3,122,scissors,paper,3,-1
123,self_transition_down,hm_llama3,123,paper,paper,0,0
124,self_transition_down,hm_llama3,124,paper,rock,3,-1
125,self_transition_down,hm_llama3,125,rock,rock,0,0
