,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_up,hm_llama3,0,rock,paper,-1,3
1,self_transition_up,hm_llama3,1,paper,paper,0,0
2,self_transition_up,hm_llama3,2,scissors,scissors,0,0
3,self_transition_up,hm_llama3,3,rock,paper,-1,3
4,self_transition_up,hm_llama3,4,paper,rock,3,-1
5,self_transition_up,hm_llama3,5,paper,rock,3,-1
6,self_transition_up,hm_llama3,6,scissors,scissors,0,0
7,self_transition_up,hm_llama3,7,rock,paper,-1,3
8,self_transition_up,hm_llama3,8,paper,rock,3,-1
9,self_transition_up,hm_llama3,9,scissors,rock,-1,3
10,self_transition_up,hm_llama3,10,rock,paper,-1,3
11,self_transition_up,hm_llama3,11,paper,scissors,-1,3
12,self_transition_up,hm_llama3,12,scissors,rock,-1,3
13,self_transition_up,hm_llama3,13,rock,paper,-1,3
14,self_transition_up,hm_llama3,14,paper,rock,3,-1
15,self_transition_up,hm_llama3,15,scissors,scissors,0,0
16,self_transition_up,hm_llama3,16,rock,paper,-1,3
17,self_transition_up,hm_llama3,17,paper,rock,3,-1
18,self_transition_up,hm_llama3,18,scissors,rock,-1,3
19,self_transition_up,hm_llama3,19,rock,paper,-1,3
20,self_transition_up,hm_llama3,20,paper,scissors,-1,3
21,self_transition_up,hm_llama3,21,rock,paper,-1,3
22,self_transition_up,hm_llama3,22,paper,scissors,-1,3
23,self_transition_up,hm_llama3,23,scissors,paper,3,-1
24,self_transition_up,hm_llama3,24,rock,paper,-1,3
25,self_transition_up,hm_llama3,25,paper,rock,3,-1
26,self_transition_up,hm_llama3,26,scissors,rock,-1,3
27,self_transition_up,hm_llama3,27,rock,paper,-1,3
28,self_transition_up,hm_llama3,28,paper,rock,3,-1
29,self_transition_up,hm_llama3,29,scissors,paper,3,-1
30,self_transition_up,hm_llama3,30,rock,paper,-1,3
31,self_transition_up,hm_llama3,31,paper,rock,3,-1
32,self_transition_up,hm_llama3,32,scissors,rock,-1,3
33,self_transition_up,hm_llama3,33,rock,paper,-1,3
34,self_transition_up,hm_llama3,34,paper,scissors,-1,3
35,self_transition_up,hm_llama3,35,scissors,paper,3,-1
36,self_transition_up,hm_llama3,36,rock,paper,-1,3
37,self_transition_up,hm_llama3,37,scissors,scissors,0,0
38,self_transition_up,hm_llama3,38,rock,paper,-1,3
39,self_transition_up,hm_llama3,39,paper,paper,0,0
40,self_transition_up,hm_llama3,40,scissors,paper,3,-1
41,self_transition_up,hm_llama3,41,rock,paper,-1,3
42,self_transition_up,hm_llama3,42,paper,paper,0,0
43,self_transition_up,hm_llama3,43,scissors,scissors,0,0
44,self_transition_up,hm_llama3,44,rock,paper,-1,3
45,self_transition_up,hm_llama3,45,scissors,scissors,0,0
46,self_transition_up,hm_llama3,46,rock,paper,-1,3
47,self_transition_up,hm_llama3,47,paper,rock,3,-1
48,self_transition_up,hm_llama3,48,scissors,rock,-1,3
49,self_transition_up,hm_llama3,49,rock,paper,-1,3
50,self_transition_up,hm_llama3,50,paper,scissors,-1,3
51,self_transition_up,hm_llama3,51,scissors,rock,-1,3
52,self_transition_up,hm_llama3,52,rock,paper,-1,3
53,self_transition_up,hm_llama3,53,paper,scissors,-1,3
54,self_transition_up,hm_llama3,54,scissors,paper,3,-1
55,self_transition_up,hm_llama3,55,rock,paper,-1,3
56,self_transition_up,hm_llama3,56,paper,rock,3,-1
57,self_transition_up,hm_llama3,57,scissors,rock,-1,3
58,self_transition_up,hm_llama3,58,rock,scissors,3,-1
59,self_transition_up,hm_llama3,59,paper,scissors,-1,3
60,self_transition_up,hm_llama3,60,scissors,paper,3,-1
61,self_transition_up,hm_llama3,61,rock,paper,-1,3
62,self_transition_up,hm_llama3,62,paper,paper,0,0
63,self_transition_up,hm_llama3,63,scissors,scissors,0,0
64,self_transition_up,hm_llama3,64,rock,paper,-1,3
65,self_transition_up,hm_llama3,65,paper,rock,3,-1
66,self_transition_up,hm_llama3,66,scissors,rock,-1,3
