,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_up,hm_gpt4o,0.2,0,0,paper,rock,3,-1
1,self_transition_up,hm_gpt4o,0.2,0,1,scissors,scissors,0,0
2,self_transition_up,hm_gpt4o,0.2,0,2,rock,scissors,3,-1
3,self_transition_up,hm_gpt4o,0.2,0,3,paper,scissors,-1,3
4,self_transition_up,hm_gpt4o,0.2,0,4,scissors,paper,3,-1
5,self_transition_up,hm_gpt4o,0.2,0,5,rock,rock,0,0
6,self_transition_up,hm_gpt4o,0.2,0,6,paper,scissors,-1,3
7,self_transition_up,hm_gpt4o,0.2,0,7,scissors,paper,3,-1
8,self_transition_up,hm_gpt4o,0.2,0,8,rock,rock,0,0
9,self_transition_up,hm_gpt4o,0.2,0,9,paper,rock,3,-1
10,self_transition_up,hm_gpt4o,0.2,0,10,scissors,scissors,0,0
11,self_transition_up,hm_gpt4o,0.2,0,11,rock,paper,-1,3
12,self_transition_up,hm_gpt4o,0.2,0,12,paper,scissors,-1,3
13,self_transition_up,hm_gpt4o,0.2,0,13,paper,rock,3,-1
14,self_transition_up,hm_gpt4o,0.2,0,14,paper,rock,3,-1
15,self_transition_up,hm_gpt4o,0.2,0,15,rock,scissors,3,-1
16,self_transition_up,hm_gpt4o,0.2,0,16,paper,scissors,-1,3
17,self_transition_up,hm_gpt4o,0.2,0,17,scissors,scissors,0,0
18,self_transition_up,hm_gpt4o,0.2,0,18,rock,scissors,3,-1
19,self_transition_up,hm_gpt4o,0.2,0,19,scissors,scissors,0,0
20,self_transition_up,hm_gpt4o,0.2,0,20,rock,rock,0,0
21,self_transition_up,hm_gpt4o,0.2,0,21,paper,paper,0,0
22,self_transition_up,hm_gpt4o,0.2,0,22,scissors,paper,3,-1
23,self_transition_up,hm_gpt4o,0.2,0,23,rock,rock,0,0
24,self_transition_up,hm_gpt4o,0.2,0,24,paper,rock,3,-1
