,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_stay,hm_mod_memory_gpt4o,0,rock,paper,-1,3
1,opponent_transition_stay,hm_mod_memory_gpt4o,1,paper,paper,0,0
2,opponent_transition_stay,hm_mod_memory_gpt4o,2,paper,scissors,-1,3
3,opponent_transition_stay,hm_mod_memory_gpt4o,3,scissors,scissors,0,0
4,opponent_transition_stay,hm_mod_memory_gpt4o,4,scissors,paper,3,-1
5,opponent_transition_stay,hm_mod_memory_gpt4o,5,paper,rock,3,-1
6,opponent_transition_stay,hm_mod_memory_gpt4o,6,rock,paper,-1,3
7,opponent_transition_stay,hm_mod_memory_gpt4o,7,paper,scissors,-1,3
8,opponent_transition_stay,hm_mod_memory_gpt4o,8,scissors,rock,-1,3
9,opponent_transition_stay,hm_mod_memory_gpt4o,9,rock,paper,-1,3
10,opponent_transition_stay,hm_mod_memory_gpt4o,10,paper,scissors,-1,3
11,opponent_transition_stay,hm_mod_memory_gpt4o,11,scissors,rock,-1,3
12,opponent_transition_stay,hm_mod_memory_gpt4o,12,rock,paper,-1,3
13,opponent_transition_stay,hm_mod_memory_gpt4o,13,scissors,scissors,0,0
14,opponent_transition_stay,hm_mod_memory_gpt4o,14,scissors,paper,3,-1
15,opponent_transition_stay,hm_mod_memory_gpt4o,15,paper,paper,0,0
16,opponent_transition_stay,hm_mod_memory_gpt4o,16,paper,rock,3,-1
17,opponent_transition_stay,hm_mod_memory_gpt4o,17,rock,paper,-1,3
18,opponent_transition_stay,hm_mod_memory_gpt4o,18,paper,scissors,-1,3
19,opponent_transition_stay,hm_mod_memory_gpt4o,19,scissors,rock,-1,3
20,opponent_transition_stay,hm_mod_memory_gpt4o,20,rock,paper,-1,3
21,opponent_transition_stay,hm_mod_memory_gpt4o,21,paper,scissors,-1,3
22,opponent_transition_stay,hm_mod_memory_gpt4o,22,scissors,rock,-1,3
23,opponent_transition_stay,hm_mod_memory_gpt4o,23,scissors,paper,3,-1
24,opponent_transition_stay,hm_mod_memory_gpt4o,24,paper,paper,0,0
25,opponent_transition_stay,hm_mod_memory_gpt4o,25,paper,rock,3,-1
26,opponent_transition_stay,hm_mod_memory_gpt4o,26,rock,rock,0,0
27,opponent_transition_stay,hm_mod_memory_gpt4o,27,rock,paper,-1,3
