,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,0,paper,paper,0,0
1,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,1,rock,scissors,3,-1
2,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,2,rock,scissors,3,-1
3,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,3,rock,paper,-1,3
4,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,4,paper,paper,0,0
5,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,5,rock,paper,-1,3
6,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,6,paper,paper,0,0
7,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,7,rock,paper,-1,3
8,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,8,paper,scissors,-1,3
9,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,9,scissors,paper,3,-1
10,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,10,scissors,paper,3,-1
11,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,11,scissors,paper,3,-1
12,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,12,scissors,rock,-1,3
13,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,13,rock,rock,0,0
14,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,14,scissors,paper,3,-1
15,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,15,scissors,rock,-1,3
16,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,16,rock,rock,0,0
17,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,17,scissors,scissors,0,0
18,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,18,paper,paper,0,0
19,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,19,rock,paper,-1,3
20,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,20,paper,scissors,-1,3
21,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,21,scissors,paper,3,-1
22,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,22,scissors,rock,-1,3
23,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,23,rock,rock,0,0
24,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,24,scissors,paper,3,-1
25,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,25,scissors,paper,3,-1
26,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,26,scissors,rock,-1,3
27,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,27,rock,rock,0,0
28,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,28,scissors,rock,-1,3
29,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,29,rock,paper,-1,3
30,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,30,paper,rock,3,-1
31,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,31,paper,rock,3,-1
32,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,32,paper,scissors,-1,3
33,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,33,scissors,rock,-1,3
34,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,34,rock,paper,-1,3
35,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,35,paper,scissors,-1,3
36,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,36,scissors,rock,-1,3
37,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,37,rock,paper,-1,3
38,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,38,paper,scissors,-1,3
39,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,39,paper,rock,3,-1
40,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,40,scissors,rock,-1,3
41,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,41,rock,paper,-1,3
42,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,42,paper,scissors,-1,3
43,W_stay_L_up_T_down,hm_pattern_recog_gpt4o,0.2,5,43,scissors,rock,-1,3
