,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,0,rock,rock,0,0
1,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,1,rock,paper,-1,3
2,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,2,paper,paper,0,0
3,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,3,paper,scissors,-1,3
4,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,4,scissors,paper,3,-1
5,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,5,paper,rock,3,-1
6,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,6,rock,paper,-1,3
7,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,7,scissors,scissors,0,0
8,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,8,scissors,scissors,0,0
9,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,9,scissors,scissors,0,0
10,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,10,scissors,rock,-1,3
11,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,11,rock,rock,0,0
12,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,12,paper,paper,0,0
13,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,13,paper,paper,0,0
14,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,14,paper,scissors,-1,3
15,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,15,rock,scissors,3,-1
16,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,16,scissors,scissors,0,0
17,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,17,scissors,rock,-1,3
18,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,18,rock,rock,0,0
19,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,19,scissors,scissors,0,0
20,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,20,scissors,rock,-1,3
21,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,21,rock,rock,0,0
22,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,22,rock,rock,0,0
23,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,23,rock,paper,-1,3
24,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,24,paper,paper,0,0
25,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,25,paper,scissors,-1,3
26,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,26,scissors,scissors,0,0
27,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,27,scissors,rock,-1,3
28,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,28,rock,rock,0,0
29,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,29,rock,scissors,3,-1
30,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,30,scissors,scissors,0,0
31,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,31,scissors,rock,-1,3
32,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,32,rock,rock,0,0
33,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,33,rock,paper,-1,3
34,opponent_transition_stay,hm_pattern_recog_gpt4o,0.2,5,34,paper,paper,0,0
