,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,0,scissors,paper,3,-1
1,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,1,scissors,rock,-1,3
2,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,2,paper,rock,3,-1
3,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,3,rock,rock,0,0
4,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,4,rock,rock,0,0
5,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,5,paper,rock,3,-1
6,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,6,scissors,rock,-1,3
7,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,7,scissors,rock,-1,3
8,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,8,paper,scissors,-1,3
9,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,9,scissors,paper,3,-1
10,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,10,rock,paper,-1,3
11,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,11,rock,paper,-1,3
12,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,12,scissors,scissors,0,0
13,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,13,scissors,scissors,0,0
14,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,14,rock,scissors,3,-1
15,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,15,paper,paper,0,0
16,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,16,rock,rock,0,0
17,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,17,rock,rock,0,0
18,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,18,paper,scissors,-1,3
19,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,19,paper,rock,3,-1
20,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,20,paper,rock,3,-1
21,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,21,paper,scissors,-1,3
22,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,22,rock,scissors,3,-1
23,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,23,scissors,paper,3,-1
24,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,24,paper,scissors,-1,3
25,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,25,scissors,paper,3,-1
26,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,26,rock,scissors,3,-1
27,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,27,paper,scissors,-1,3
28,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,28,paper,rock,3,-1
29,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,29,paper,scissors,-1,3
30,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,30,rock,scissors,3,-1
31,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,31,scissors,scissors,0,0
32,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,32,scissors,paper,3,-1
33,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,33,scissors,scissors,0,0
34,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,34,rock,paper,-1,3
35,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,35,rock,paper,-1,3
36,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,36,scissors,scissors,0,0
37,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,37,paper,paper,0,0
38,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,38,scissors,rock,-1,3
39,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,39,scissors,rock,-1,3
40,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,40,paper,paper,0,0
41,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,41,paper,paper,0,0
42,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,42,scissors,scissors,0,0
43,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,43,paper,rock,3,-1
44,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,44,rock,paper,-1,3
45,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,45,rock,scissors,3,-1
46,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,46,rock,paper,-1,3
47,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,47,scissors,scissors,0,0
48,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,48,scissors,rock,-1,3
49,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,49,paper,scissors,-1,3
50,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,50,scissors,scissors,0,0
51,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,51,paper,rock,3,-1
52,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,52,rock,rock,0,0
53,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,53,rock,paper,-1,3
54,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,54,scissors,paper,3,-1
55,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,55,paper,rock,3,-1
56,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,56,rock,rock,0,0
57,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,57,rock,scissors,3,-1
58,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,58,rock,paper,-1,3
59,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,59,scissors,scissors,0,0
60,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,60,scissors,paper,3,-1
61,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,61,rock,rock,0,0
62,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,62,scissors,paper,3,-1
63,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,63,paper,scissors,-1,3
64,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,64,scissors,rock,-1,3
65,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,65,scissors,scissors,0,0
66,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,66,rock,rock,0,0
67,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,67,paper,rock,3,-1
68,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,68,scissors,paper,3,-1
69,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,69,rock,rock,0,0
70,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,70,scissors,scissors,0,0
71,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,71,scissors,paper,3,-1
72,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,72,scissors,rock,-1,3
73,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,73,paper,rock,3,-1
74,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,74,rock,rock,0,0
75,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,75,rock,rock,0,0
76,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,76,paper,rock,3,-1
77,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,77,scissors,paper,3,-1
78,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,78,rock,rock,0,0
79,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,79,scissors,scissors,0,0
80,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,80,scissors,rock,-1,3
81,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,81,paper,rock,3,-1
82,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,82,paper,paper,0,0
83,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,83,paper,paper,0,0
84,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,84,scissors,paper,3,-1
85,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,85,rock,paper,-1,3
86,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,86,rock,paper,-1,3
87,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,87,scissors,paper,3,-1
88,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,88,paper,paper,0,0
89,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,89,paper,paper,0,0
90,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,90,scissors,paper,3,-1
91,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,91,rock,paper,-1,3
92,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,92,rock,rock,0,0
93,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,93,paper,rock,3,-1
94,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,94,scissors,scissors,0,0
95,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,95,paper,paper,0,0
96,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,96,paper,rock,3,-1
97,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,97,paper,rock,3,-1
98,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,98,paper,scissors,-1,3
99,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,99,rock,paper,-1,3
100,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,100,paper,rock,3,-1
101,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,101,scissors,scissors,0,0
102,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,102,paper,scissors,-1,3
103,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,103,scissors,paper,3,-1
104,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,104,rock,paper,-1,3
105,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,105,rock,rock,0,0
106,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,106,scissors,paper,3,-1
107,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,107,paper,scissors,-1,3
108,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,108,scissors,paper,3,-1
109,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,109,rock,scissors,3,-1
110,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,110,paper,rock,3,-1
111,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,111,scissors,rock,-1,3
112,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,112,scissors,paper,3,-1
113,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,113,scissors,scissors,0,0
114,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,114,rock,rock,0,0
115,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,115,scissors,rock,-1,3
116,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,116,rock,scissors,3,-1
117,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,117,paper,scissors,-1,3
118,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,118,paper,paper,0,0
119,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,119,scissors,paper,3,-1
120,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,120,rock,scissors,3,-1
121,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,121,paper,rock,3,-1
122,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,122,scissors,rock,-1,3
123,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,123,scissors,scissors,0,0
124,prev_outcome_prev_transition,hm_pattern_recog_gpt4o,0.2,5,124,rock,paper,-1,3
