,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,0,rock,paper,-1,3
1,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,1,paper,paper,0,0
2,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,2,rock,rock,0,0
3,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,3,scissors,scissors,0,0
4,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,4,paper,paper,0,0
5,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,5,rock,paper,-1,3
6,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,6,paper,rock,3,-1
7,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,7,paper,paper,0,0
8,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,8,rock,rock,0,0
9,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,9,scissors,scissors,0,0
10,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,10,paper,paper,0,0
11,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,11,rock,paper,-1,3
12,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,12,paper,scissors,-1,3
13,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,13,scissors,paper,3,-1
14,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,14,scissors,paper,3,-1
15,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,15,rock,rock,0,0
16,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,16,scissors,paper,3,-1
17,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,17,scissors,paper,3,-1
18,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,18,scissors,paper,3,-1
19,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,19,scissors,paper,3,-1
20,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,20,scissors,rock,-1,3
21,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,21,scissors,scissors,0,0
22,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,22,paper,rock,3,-1
23,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,23,paper,scissors,-1,3
24,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,24,scissors,scissors,0,0
25,W_stay_L_up_T_down,hm_scaffold_gpt4o,0.2,5,25,paper,scissors,-1,3
