,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,0,rock,rock,0,0
1,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,1,rock,paper,-1,3
2,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,2,scissors,paper,3,-1
3,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,3,rock,paper,-1,3
4,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,4,scissors,scissors,0,0
5,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,5,paper,rock,3,-1
6,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,6,scissors,rock,-1,3
7,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,7,paper,paper,0,0
8,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,8,paper,scissors,-1,3
9,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,9,rock,rock,0,0
10,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,10,rock,paper,-1,3
11,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,11,scissors,scissors,0,0
12,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,12,scissors,rock,-1,3
13,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,13,paper,paper,0,0
14,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,14,paper,paper,0,0
15,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,15,paper,scissors,-1,3
16,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,16,rock,rock,0,0
17,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,17,rock,paper,-1,3
18,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,18,scissors,scissors,0,0
19,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,19,scissors,rock,-1,3
20,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,20,paper,paper,0,0
21,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,21,paper,scissors,-1,3
22,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,22,rock,rock,0,0
23,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,23,rock,paper,-1,3
24,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,24,scissors,rock,-1,3
25,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,25,paper,paper,0,0
26,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,26,paper,rock,3,-1
27,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,27,rock,rock,0,0
28,W_up_L_down_T_stay,hm_scaffold_gpt4o,0.2,5,28,rock,scissors,3,-1
