,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,0,rock,rock,0,0
1,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,1,rock,paper,-1,3
2,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,2,paper,paper,0,0
3,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,3,paper,scissors,-1,3
4,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,4,scissors,paper,3,-1
5,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,5,paper,paper,0,0
6,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,6,paper,scissors,-1,3
7,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,7,scissors,paper,3,-1
8,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,8,paper,paper,0,0
9,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,9,paper,scissors,-1,3
10,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,10,scissors,paper,3,-1
11,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,11,paper,paper,0,0
12,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,12,paper,scissors,-1,3
13,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,13,scissors,rock,-1,3
14,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,14,rock,paper,-1,3
15,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,15,paper,scissors,-1,3
16,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,16,scissors,rock,-1,3
17,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,17,rock,paper,-1,3
18,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,18,paper,scissors,-1,3
19,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,19,scissors,paper,3,-1
20,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,20,paper,rock,3,-1
21,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,21,rock,scissors,3,-1
22,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,22,paper,rock,3,-1
23,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,23,rock,scissors,3,-1
24,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,24,scissors,paper,3,-1
25,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,25,paper,scissors,-1,3
26,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,26,scissors,rock,-1,3
27,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,27,rock,paper,-1,3
28,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,28,paper,paper,0,0
29,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,29,paper,scissors,-1,3
30,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,30,scissors,scissors,0,0
31,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,31,scissors,paper,3,-1
32,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,32,paper,rock,3,-1
33,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,33,rock,scissors,3,-1
34,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,34,scissors,scissors,0,0
35,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,35,scissors,paper,3,-1
36,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,36,paper,rock,3,-1
37,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,37,rock,scissors,3,-1
38,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,38,scissors,paper,3,-1
39,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,39,scissors,paper,3,-1
40,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,40,paper,rock,3,-1
41,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,41,rock,scissors,3,-1
42,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,42,scissors,scissors,0,0
43,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,43,scissors,rock,-1,3
44,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,44,rock,scissors,3,-1
45,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,45,scissors,scissors,0,0
46,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,46,scissors,paper,3,-1
47,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,47,paper,paper,0,0
48,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,48,scissors,scissors,0,0
49,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,49,scissors,paper,3,-1
50,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,50,paper,paper,0,0
51,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,51,paper,scissors,-1,3
52,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,52,scissors,paper,3,-1
53,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,53,paper,rock,3,-1
54,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,54,rock,scissors,3,-1
55,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,55,scissors,paper,3,-1
56,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,56,paper,rock,3,-1
57,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,57,scissors,rock,-1,3
58,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,58,scissors,scissors,0,0
59,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,59,scissors,rock,-1,3
60,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,60,rock,paper,-1,3
61,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,61,paper,rock,3,-1
62,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,62,rock,rock,0,0
63,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,63,rock,scissors,3,-1
64,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,64,scissors,scissors,0,0
65,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,65,scissors,rock,-1,3
66,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,66,rock,scissors,3,-1
67,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,67,scissors,scissors,0,0
68,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,68,scissors,rock,-1,3
69,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,69,rock,scissors,3,-1
70,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,70,scissors,scissors,0,0
71,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,71,scissors,rock,-1,3
72,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,72,rock,paper,-1,3
73,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,73,paper,scissors,-1,3
74,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,74,scissors,paper,3,-1
75,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,75,paper,paper,0,0
76,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,76,rock,scissors,3,-1
77,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,77,scissors,scissors,0,0
78,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,78,scissors,rock,-1,3
79,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,79,rock,scissors,3,-1
80,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,80,rock,paper,-1,3
81,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,81,paper,scissors,-1,3
82,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,82,scissors,paper,3,-1
83,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,83,paper,rock,3,-1
84,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,84,rock,rock,0,0
85,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,85,rock,rock,0,0
86,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,86,rock,paper,-1,3
87,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,87,scissors,rock,-1,3
88,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,88,rock,paper,-1,3
89,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,89,paper,rock,3,-1
90,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,90,rock,scissors,3,-1
91,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,91,scissors,paper,3,-1
92,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,92,paper,paper,0,0
93,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,93,paper,rock,3,-1
94,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,94,rock,rock,0,0
95,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,95,rock,scissors,3,-1
96,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,96,scissors,rock,-1,3
97,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,97,rock,rock,0,0
98,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,98,rock,paper,-1,3
99,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,99,paper,rock,3,-1
100,opponent_transition_stay,hm_scaffold_gpt4o,0.2,5,100,rock,scissors,3,-1
