,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,0,scissors,rock,-1,3
1,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,1,rock,rock,0,0
2,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,2,rock,scissors,3,-1
3,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,3,scissors,paper,3,-1
4,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,4,paper,scissors,-1,3
5,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,5,scissors,paper,3,-1
6,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,6,paper,rock,3,-1
7,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,7,rock,scissors,3,-1
8,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,8,scissors,paper,3,-1
9,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,9,paper,rock,3,-1
10,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,10,rock,scissors,3,-1
11,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,11,scissors,rock,-1,3
12,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,12,rock,paper,-1,3
13,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,13,rock,rock,0,0
14,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,14,rock,rock,0,0
15,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,15,rock,rock,0,0
16,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,16,rock,paper,-1,3
17,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,17,paper,paper,0,0
18,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,18,paper,paper,0,0
19,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,19,paper,scissors,-1,3
20,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,20,scissors,paper,3,-1
21,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,21,paper,rock,3,-1
22,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,22,rock,rock,0,0
23,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,23,rock,paper,-1,3
24,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,24,paper,paper,0,0
25,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,25,paper,paper,0,0
26,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,26,rock,paper,-1,3
27,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,27,paper,paper,0,0
28,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,28,paper,rock,3,-1
29,opponent_transition_stay,hm_scaffold_1shot_gpt4o,0.2,5,29,rock,scissors,3,-1
