,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,0,scissors,rock,-1,3
1,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,1,rock,rock,0,0
2,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,2,paper,paper,0,0
3,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,3,scissors,rock,-1,3
4,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,4,paper,rock,3,-1
5,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,5,paper,rock,3,-1
6,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,6,paper,rock,3,-1
7,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,7,paper,scissors,-1,3
8,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,8,rock,paper,-1,3
9,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,9,scissors,scissors,0,0
10,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,10,rock,scissors,3,-1
11,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,11,rock,paper,-1,3
12,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,12,scissors,rock,-1,3
13,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,13,rock,scissors,3,-1
14,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,14,rock,paper,-1,3
15,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,15,scissors,rock,-1,3
16,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,16,paper,scissors,-1,3
17,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,17,rock,paper,-1,3
18,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,18,scissors,rock,-1,3
19,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,19,paper,scissors,-1,3
20,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,20,scissors,paper,3,-1
21,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,21,scissors,rock,-1,3
22,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,22,paper,scissors,-1,3
23,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,23,rock,paper,-1,3
24,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,24,scissors,paper,3,-1
25,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,25,paper,rock,3,-1
26,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,26,rock,scissors,3,-1
27,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,27,rock,paper,-1,3
28,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,28,scissors,paper,3,-1
29,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,29,paper,rock,3,-1
30,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,30,paper,scissors,-1,3
31,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,31,scissors,paper,3,-1
32,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,32,scissors,rock,-1,3
33,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,33,paper,rock,3,-1
34,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,34,paper,scissors,-1,3
35,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,35,rock,paper,-1,3
36,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,36,scissors,rock,-1,3
37,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,37,rock,scissors,3,-1
38,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,38,rock,paper,-1,3
39,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,39,scissors,rock,-1,3
40,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,40,paper,scissors,-1,3
41,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,41,rock,paper,-1,3
42,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,42,scissors,rock,-1,3
43,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,43,paper,scissors,-1,3
44,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,44,rock,paper,-1,3
45,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,45,scissors,rock,-1,3
46,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,46,paper,scissors,-1,3
47,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,47,rock,paper,-1,3
48,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,48,scissors,rock,-1,3
49,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,49,rock,scissors,3,-1
50,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,50,rock,paper,-1,3
51,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,51,scissors,rock,-1,3
52,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,52,paper,scissors,-1,3
53,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,53,rock,paper,-1,3
54,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,54,paper,rock,3,-1
55,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,55,paper,scissors,-1,3
56,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,56,rock,paper,-1,3
57,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,57,scissors,rock,-1,3
58,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,58,paper,scissors,-1,3
59,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,59,rock,paper,-1,3
60,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,60,scissors,rock,-1,3
61,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,61,paper,scissors,-1,3
62,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,62,rock,paper,-1,3
63,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,63,rock,rock,0,0
64,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,64,paper,scissors,-1,3
65,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,65,rock,paper,-1,3
66,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,66,scissors,scissors,0,0
67,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,67,paper,paper,0,0
68,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,68,scissors,rock,-1,3
69,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,69,paper,scissors,-1,3
70,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,70,rock,paper,-1,3
71,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,71,scissors,rock,-1,3
72,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,72,paper,scissors,-1,3
73,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,73,rock,paper,-1,3
74,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,74,scissors,rock,-1,3
75,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,75,paper,scissors,-1,3
76,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,76,rock,paper,-1,3
77,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,77,scissors,rock,-1,3
78,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,78,paper,scissors,-1,3
79,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,79,rock,paper,-1,3
80,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,80,scissors,rock,-1,3
81,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,81,paper,scissors,-1,3
82,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,82,rock,paper,-1,3
83,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,83,scissors,rock,-1,3
84,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,84,paper,scissors,-1,3
85,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,85,rock,paper,-1,3
86,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,86,scissors,rock,-1,3
87,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,87,paper,scissors,-1,3
88,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,88,rock,paper,-1,3
89,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,89,scissors,rock,-1,3
90,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,90,paper,scissors,-1,3
91,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,91,rock,paper,-1,3
92,opponent_transition_up,hm_scaffold_1shot_gpt4o,0.2,5,92,scissors,rock,-1,3
