,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_up,react_gpt4o,0,scissors,rock,-1,3
1,opponent_transition_up,react_gpt4o,1,rock,scissors,3,-1
2,opponent_transition_up,react_gpt4o,2,rock,scissors,3,-1
3,opponent_transition_up,react_gpt4o,3,rock,paper,-1,3
4,opponent_transition_up,react_gpt4o,4,paper,paper,0,0
5,opponent_transition_up,react_gpt4o,5,scissors,scissors,0,0
6,opponent_transition_up,react_gpt4o,6,rock,paper,-1,3
7,opponent_transition_up,react_gpt4o,7,scissors,paper,3,-1
8,opponent_transition_up,react_gpt4o,8,scissors,paper,3,-1
9,opponent_transition_up,react_gpt4o,9,scissors,rock,-1,3
10,opponent_transition_up,react_gpt4o,10,paper,paper,0,0
11,opponent_transition_up,react_gpt4o,11,scissors,scissors,0,0
12,opponent_transition_up,react_gpt4o,12,rock,rock,0,0
13,opponent_transition_up,react_gpt4o,13,rock,paper,-1,3
14,opponent_transition_up,react_gpt4o,14,scissors,paper,3,-1
15,opponent_transition_up,react_gpt4o,15,scissors,rock,-1,3
16,opponent_transition_up,react_gpt4o,16,paper,scissors,-1,3
17,opponent_transition_up,react_gpt4o,17,rock,paper,-1,3
18,opponent_transition_up,react_gpt4o,18,scissors,paper,3,-1
19,opponent_transition_up,react_gpt4o,19,scissors,rock,-1,3
20,opponent_transition_up,react_gpt4o,20,scissors,scissors,0,0
21,opponent_transition_up,react_gpt4o,21,rock,rock,0,0
22,opponent_transition_up,react_gpt4o,22,paper,paper,0,0
23,opponent_transition_up,react_gpt4o,23,scissors,paper,3,-1
24,opponent_transition_up,react_gpt4o,24,scissors,rock,-1,3
25,opponent_transition_up,react_gpt4o,25,paper,rock,3,-1
26,opponent_transition_up,react_gpt4o,26,rock,rock,0,0
27,opponent_transition_up,react_gpt4o,27,paper,paper,0,0
28,opponent_transition_up,react_gpt4o,28,scissors,rock,-1,3
29,opponent_transition_up,react_gpt4o,29,paper,rock,3,-1
30,opponent_transition_up,react_gpt4o,30,paper,scissors,-1,3
31,opponent_transition_up,react_gpt4o,31,scissors,paper,3,-1
32,opponent_transition_up,react_gpt4o,32,scissors,rock,-1,3
33,opponent_transition_up,react_gpt4o,33,paper,scissors,-1,3
34,opponent_transition_up,react_gpt4o,34,rock,paper,-1,3
35,opponent_transition_up,react_gpt4o,35,scissors,rock,-1,3
36,opponent_transition_up,react_gpt4o,36,paper,rock,3,-1
37,opponent_transition_up,react_gpt4o,37,rock,scissors,3,-1
38,opponent_transition_up,react_gpt4o,38,rock,paper,-1,3
39,opponent_transition_up,react_gpt4o,39,scissors,paper,3,-1
40,opponent_transition_up,react_gpt4o,40,scissors,scissors,0,0
41,opponent_transition_up,react_gpt4o,41,rock,paper,-1,3
42,opponent_transition_up,react_gpt4o,42,scissors,paper,3,-1
43,opponent_transition_up,react_gpt4o,43,scissors,rock,-1,3
44,opponent_transition_up,react_gpt4o,44,paper,rock,3,-1
45,opponent_transition_up,react_gpt4o,45,paper,scissors,-1,3
46,opponent_transition_up,react_gpt4o,46,rock,paper,-1,3
47,opponent_transition_up,react_gpt4o,47,scissors,paper,3,-1
48,opponent_transition_up,react_gpt4o,48,scissors,rock,-1,3
49,opponent_transition_up,react_gpt4o,49,rock,rock,0,0
50,opponent_transition_up,react_gpt4o,50,paper,paper,0,0
51,opponent_transition_up,react_gpt4o,51,scissors,scissors,0,0
52,opponent_transition_up,react_gpt4o,52,rock,rock,0,0
53,opponent_transition_up,react_gpt4o,53,paper,paper,0,0
54,opponent_transition_up,react_gpt4o,54,paper,scissors,-1,3
55,opponent_transition_up,react_gpt4o,55,rock,paper,-1,3
56,opponent_transition_up,react_gpt4o,56,scissors,paper,3,-1
57,opponent_transition_up,react_gpt4o,57,scissors,rock,-1,3
58,opponent_transition_up,react_gpt4o,58,paper,rock,3,-1
59,opponent_transition_up,react_gpt4o,59,paper,scissors,-1,3
60,opponent_transition_up,react_gpt4o,60,rock,paper,-1,3
61,opponent_transition_up,react_gpt4o,61,scissors,rock,-1,3
62,opponent_transition_up,react_gpt4o,62,paper,rock,3,-1
63,opponent_transition_up,react_gpt4o,63,rock,scissors,3,-1
64,opponent_transition_up,react_gpt4o,64,rock,paper,-1,3
65,opponent_transition_up,react_gpt4o,65,scissors,rock,-1,3
66,opponent_transition_up,react_gpt4o,66,paper,scissors,-1,3
67,opponent_transition_up,react_gpt4o,67,paper,paper,0,0
68,opponent_transition_up,react_gpt4o,68,scissors,scissors,0,0
69,opponent_transition_up,react_gpt4o,69,paper,rock,3,-1
70,opponent_transition_up,react_gpt4o,70,paper,scissors,-1,3
71,opponent_transition_up,react_gpt4o,71,rock,paper,-1,3
72,opponent_transition_up,react_gpt4o,72,scissors,rock,-1,3
73,opponent_transition_up,react_gpt4o,73,paper,scissors,-1,3
74,opponent_transition_up,react_gpt4o,74,rock,paper,-1,3
75,opponent_transition_up,react_gpt4o,75,scissors,rock,-1,3
76,opponent_transition_up,react_gpt4o,76,paper,scissors,-1,3
77,opponent_transition_up,react_gpt4o,77,rock,paper,-1,3
78,opponent_transition_up,react_gpt4o,78,scissors,paper,3,-1
79,opponent_transition_up,react_gpt4o,79,scissors,rock,-1,3
80,opponent_transition_up,react_gpt4o,80,paper,rock,3,-1
81,opponent_transition_up,react_gpt4o,81,paper,rock,3,-1
82,opponent_transition_up,react_gpt4o,82,paper,scissors,-1,3
83,opponent_transition_up,react_gpt4o,83,rock,scissors,3,-1
84,opponent_transition_up,react_gpt4o,84,rock,paper,-1,3
85,opponent_transition_up,react_gpt4o,85,scissors,paper,3,-1
86,opponent_transition_up,react_gpt4o,86,scissors,rock,-1,3
87,opponent_transition_up,react_gpt4o,87,paper,scissors,-1,3
88,opponent_transition_up,react_gpt4o,88,rock,paper,-1,3
89,opponent_transition_up,react_gpt4o,89,scissors,rock,-1,3
90,opponent_transition_up,react_gpt4o,90,paper,scissors,-1,3
91,opponent_transition_up,react_gpt4o,91,rock,paper,-1,3
92,opponent_transition_up,react_gpt4o,92,scissors,paper,3,-1
93,opponent_transition_up,react_gpt4o,93,scissors,paper,3,-1
94,opponent_transition_up,react_gpt4o,94,scissors,rock,-1,3
95,opponent_transition_up,react_gpt4o,95,paper,scissors,-1,3
96,opponent_transition_up,react_gpt4o,96,rock,scissors,3,-1
97,opponent_transition_up,react_gpt4o,97,rock,scissors,3,-1
98,opponent_transition_up,react_gpt4o,98,rock,paper,-1,3
99,opponent_transition_up,react_gpt4o,99,scissors,paper,3,-1
100,opponent_transition_up,react_gpt4o,100,scissors,paper,3,-1
101,opponent_transition_up,react_gpt4o,101,scissors,rock,-1,3
102,opponent_transition_up,react_gpt4o,102,paper,scissors,-1,3
103,opponent_transition_up,react_gpt4o,103,paper,paper,0,0
104,opponent_transition_up,react_gpt4o,104,scissors,scissors,0,0
105,opponent_transition_up,react_gpt4o,105,rock,rock,0,0
106,opponent_transition_up,react_gpt4o,106,paper,paper,0,0
107,opponent_transition_up,react_gpt4o,107,scissors,scissors,0,0
108,opponent_transition_up,react_gpt4o,108,scissors,rock,-1,3
109,opponent_transition_up,react_gpt4o,109,paper,scissors,-1,3
110,opponent_transition_up,react_gpt4o,110,rock,paper,-1,3
111,opponent_transition_up,react_gpt4o,111,scissors,rock,-1,3
112,opponent_transition_up,react_gpt4o,112,paper,scissors,-1,3
113,opponent_transition_up,react_gpt4o,113,rock,paper,-1,3
114,opponent_transition_up,react_gpt4o,114,scissors,paper,3,-1
115,opponent_transition_up,react_gpt4o,115,scissors,paper,3,-1
116,opponent_transition_up,react_gpt4o,116,scissors,rock,-1,3
117,opponent_transition_up,react_gpt4o,117,paper,scissors,-1,3
118,opponent_transition_up,react_gpt4o,118,rock,scissors,3,-1
119,opponent_transition_up,react_gpt4o,119,rock,paper,-1,3
120,opponent_transition_up,react_gpt4o,120,rock,rock,0,0
121,opponent_transition_up,react_gpt4o,121,rock,paper,-1,3
122,opponent_transition_up,react_gpt4o,122,scissors,rock,-1,3
123,opponent_transition_up,react_gpt4o,123,paper,scissors,-1,3
124,opponent_transition_up,react_gpt4o,124,rock,scissors,3,-1
125,opponent_transition_up,react_gpt4o,125,rock,paper,-1,3
126,opponent_transition_up,react_gpt4o,126,scissors,rock,-1,3
127,opponent_transition_up,react_gpt4o,127,paper,rock,3,-1
128,opponent_transition_up,react_gpt4o,128,paper,scissors,-1,3
129,opponent_transition_up,react_gpt4o,129,rock,paper,-1,3
130,opponent_transition_up,react_gpt4o,130,scissors,paper,3,-1
131,opponent_transition_up,react_gpt4o,131,scissors,rock,-1,3
132,opponent_transition_up,react_gpt4o,132,rock,scissors,3,-1
133,opponent_transition_up,react_gpt4o,133,rock,paper,-1,3
134,opponent_transition_up,react_gpt4o,134,scissors,paper,3,-1
135,opponent_transition_up,react_gpt4o,135,scissors,rock,-1,3
136,opponent_transition_up,react_gpt4o,136,paper,paper,0,0
137,opponent_transition_up,react_gpt4o,137,scissors,scissors,0,0
138,opponent_transition_up,react_gpt4o,138,rock,rock,0,0
139,opponent_transition_up,react_gpt4o,139,paper,paper,0,0
140,opponent_transition_up,react_gpt4o,140,scissors,scissors,0,0
141,opponent_transition_up,react_gpt4o,141,rock,rock,0,0
142,opponent_transition_up,react_gpt4o,142,paper,paper,0,0
143,opponent_transition_up,react_gpt4o,143,rock,scissors,3,-1
