,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_down,react_gpt4o,0,scissors,rock,-1,3
1,self_transition_down,react_gpt4o,1,rock,scissors,3,-1
2,self_transition_down,react_gpt4o,2,scissors,rock,-1,3
3,self_transition_down,react_gpt4o,3,paper,paper,0,0
4,self_transition_down,react_gpt4o,4,rock,rock,0,0
5,self_transition_down,react_gpt4o,5,scissors,paper,3,-1
6,self_transition_down,react_gpt4o,6,paper,paper,0,0
7,self_transition_down,react_gpt4o,7,rock,scissors,3,-1
8,self_transition_down,react_gpt4o,8,scissors,paper,3,-1
9,self_transition_down,react_gpt4o,9,paper,rock,3,-1
10,self_transition_down,react_gpt4o,10,rock,scissors,3,-1
11,self_transition_down,react_gpt4o,11,scissors,paper,3,-1
12,self_transition_down,react_gpt4o,12,paper,rock,3,-1
13,self_transition_down,react_gpt4o,13,rock,scissors,3,-1
14,self_transition_down,react_gpt4o,14,scissors,paper,3,-1
15,self_transition_down,react_gpt4o,15,paper,rock,3,-1
16,self_transition_down,react_gpt4o,16,rock,scissors,3,-1
17,self_transition_down,react_gpt4o,17,scissors,paper,3,-1
18,self_transition_down,react_gpt4o,18,paper,rock,3,-1
19,self_transition_down,react_gpt4o,19,rock,scissors,3,-1
20,self_transition_down,react_gpt4o,20,scissors,paper,3,-1
21,self_transition_down,react_gpt4o,21,paper,paper,0,0
22,self_transition_down,react_gpt4o,22,rock,paper,-1,3
23,self_transition_down,react_gpt4o,23,scissors,rock,-1,3
24,self_transition_down,react_gpt4o,24,paper,scissors,-1,3
25,self_transition_down,react_gpt4o,25,rock,paper,-1,3
26,self_transition_down,react_gpt4o,26,rock,rock,0,0
27,self_transition_down,react_gpt4o,27,scissors,paper,3,-1
28,self_transition_down,react_gpt4o,28,paper,rock,3,-1
29,self_transition_down,react_gpt4o,29,rock,scissors,3,-1
30,self_transition_down,react_gpt4o,30,scissors,paper,3,-1
31,self_transition_down,react_gpt4o,31,scissors,rock,-1,3
32,self_transition_down,react_gpt4o,32,paper,scissors,-1,3
33,self_transition_down,react_gpt4o,33,rock,paper,-1,3
34,self_transition_down,react_gpt4o,34,scissors,rock,-1,3
35,self_transition_down,react_gpt4o,35,paper,scissors,-1,3
36,self_transition_down,react_gpt4o,36,rock,paper,-1,3
37,self_transition_down,react_gpt4o,37,rock,rock,0,0
38,self_transition_down,react_gpt4o,38,scissors,scissors,0,0
39,self_transition_down,react_gpt4o,39,scissors,rock,-1,3
40,self_transition_down,react_gpt4o,40,paper,scissors,-1,3
41,self_transition_down,react_gpt4o,41,rock,paper,-1,3
42,self_transition_down,react_gpt4o,42,scissors,paper,3,-1
43,self_transition_down,react_gpt4o,43,paper,rock,3,-1
44,self_transition_down,react_gpt4o,44,rock,scissors,3,-1
45,self_transition_down,react_gpt4o,45,scissors,paper,3,-1
46,self_transition_down,react_gpt4o,46,paper,rock,3,-1
47,self_transition_down,react_gpt4o,47,rock,scissors,3,-1
48,self_transition_down,react_gpt4o,48,scissors,paper,3,-1
49,self_transition_down,react_gpt4o,49,rock,rock,0,0
50,self_transition_down,react_gpt4o,50,scissors,paper,3,-1
51,self_transition_down,react_gpt4o,51,paper,rock,3,-1
52,self_transition_down,react_gpt4o,52,rock,scissors,3,-1
53,self_transition_down,react_gpt4o,53,scissors,paper,3,-1
54,self_transition_down,react_gpt4o,54,paper,rock,3,-1
55,self_transition_down,react_gpt4o,55,rock,scissors,3,-1
56,self_transition_down,react_gpt4o,56,scissors,paper,3,-1
57,self_transition_down,react_gpt4o,57,paper,rock,3,-1
58,self_transition_down,react_gpt4o,58,rock,scissors,3,-1
59,self_transition_down,react_gpt4o,59,scissors,paper,3,-1
60,self_transition_down,react_gpt4o,60,paper,rock,3,-1
61,self_transition_down,react_gpt4o,61,rock,scissors,3,-1
62,self_transition_down,react_gpt4o,62,scissors,paper,3,-1
63,self_transition_down,react_gpt4o,63,rock,rock,0,0
64,self_transition_down,react_gpt4o,64,scissors,paper,3,-1
65,self_transition_down,react_gpt4o,65,paper,rock,3,-1
66,self_transition_down,react_gpt4o,66,rock,scissors,3,-1
67,self_transition_down,react_gpt4o,67,scissors,paper,3,-1
68,self_transition_down,react_gpt4o,68,paper,rock,3,-1
69,self_transition_down,react_gpt4o,69,paper,rock,3,-1
70,self_transition_down,react_gpt4o,70,rock,scissors,3,-1
71,self_transition_down,react_gpt4o,71,scissors,paper,3,-1
72,self_transition_down,react_gpt4o,72,paper,rock,3,-1
73,self_transition_down,react_gpt4o,73,rock,scissors,3,-1
74,self_transition_down,react_gpt4o,74,scissors,paper,3,-1
75,self_transition_down,react_gpt4o,75,paper,rock,3,-1
76,self_transition_down,react_gpt4o,76,rock,scissors,3,-1
77,self_transition_down,react_gpt4o,77,scissors,paper,3,-1
78,self_transition_down,react_gpt4o,78,paper,rock,3,-1
79,self_transition_down,react_gpt4o,79,rock,scissors,3,-1
80,self_transition_down,react_gpt4o,80,scissors,paper,3,-1
81,self_transition_down,react_gpt4o,81,paper,rock,3,-1
82,self_transition_down,react_gpt4o,82,rock,scissors,3,-1
83,self_transition_down,react_gpt4o,83,scissors,paper,3,-1
84,self_transition_down,react_gpt4o,84,paper,rock,3,-1
85,self_transition_down,react_gpt4o,85,rock,scissors,3,-1
86,self_transition_down,react_gpt4o,86,scissors,paper,3,-1
87,self_transition_down,react_gpt4o,87,paper,rock,3,-1
88,self_transition_down,react_gpt4o,88,rock,scissors,3,-1
89,self_transition_down,react_gpt4o,89,scissors,paper,3,-1
90,self_transition_down,react_gpt4o,90,paper,paper,0,0
91,self_transition_down,react_gpt4o,91,rock,paper,-1,3
92,self_transition_down,react_gpt4o,92,scissors,rock,-1,3
93,self_transition_down,react_gpt4o,93,paper,scissors,-1,3
94,self_transition_down,react_gpt4o,94,rock,paper,-1,3
95,self_transition_down,react_gpt4o,95,scissors,paper,3,-1
96,self_transition_down,react_gpt4o,96,paper,rock,3,-1
97,self_transition_down,react_gpt4o,97,rock,scissors,3,-1
98,self_transition_down,react_gpt4o,98,scissors,paper,3,-1
99,self_transition_down,react_gpt4o,99,paper,rock,3,-1
100,self_transition_down,react_gpt4o,100,rock,scissors,3,-1
101,self_transition_down,react_gpt4o,101,scissors,paper,3,-1
102,self_transition_down,react_gpt4o,102,paper,paper,0,0
103,self_transition_down,react_gpt4o,103,paper,rock,3,-1
104,self_transition_down,react_gpt4o,104,rock,scissors,3,-1
