,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_up,react_gpt4o,0,paper,rock,3,-1
1,self_transition_up,react_gpt4o,1,scissors,scissors,0,0
2,self_transition_up,react_gpt4o,2,rock,rock,0,0
3,self_transition_up,react_gpt4o,3,paper,paper,0,0
4,self_transition_up,react_gpt4o,4,scissors,scissors,0,0
5,self_transition_up,react_gpt4o,5,rock,paper,-1,3
6,self_transition_up,react_gpt4o,6,paper,paper,0,0
7,self_transition_up,react_gpt4o,7,scissors,scissors,0,0
8,self_transition_up,react_gpt4o,8,rock,rock,0,0
9,self_transition_up,react_gpt4o,9,paper,paper,0,0
10,self_transition_up,react_gpt4o,10,scissors,scissors,0,0
11,self_transition_up,react_gpt4o,11,rock,rock,0,0
12,self_transition_up,react_gpt4o,12,paper,scissors,-1,3
13,self_transition_up,react_gpt4o,13,scissors,paper,3,-1
14,self_transition_up,react_gpt4o,14,rock,rock,0,0
15,self_transition_up,react_gpt4o,15,paper,scissors,-1,3
16,self_transition_up,react_gpt4o,16,scissors,paper,3,-1
17,self_transition_up,react_gpt4o,17,rock,rock,0,0
18,self_transition_up,react_gpt4o,18,paper,paper,0,0
19,self_transition_up,react_gpt4o,19,scissors,scissors,0,0
20,self_transition_up,react_gpt4o,20,rock,rock,0,0
21,self_transition_up,react_gpt4o,21,paper,paper,0,0
22,self_transition_up,react_gpt4o,22,paper,scissors,-1,3
23,self_transition_up,react_gpt4o,23,scissors,paper,3,-1
24,self_transition_up,react_gpt4o,24,rock,rock,0,0
25,self_transition_up,react_gpt4o,25,paper,paper,0,0
26,self_transition_up,react_gpt4o,26,scissors,scissors,0,0
27,self_transition_up,react_gpt4o,27,rock,rock,0,0
28,self_transition_up,react_gpt4o,28,paper,scissors,-1,3
29,self_transition_up,react_gpt4o,29,scissors,paper,3,-1
30,self_transition_up,react_gpt4o,30,rock,rock,0,0
31,self_transition_up,react_gpt4o,31,paper,paper,0,0
32,self_transition_up,react_gpt4o,32,scissors,scissors,0,0
33,self_transition_up,react_gpt4o,33,rock,rock,0,0
34,self_transition_up,react_gpt4o,34,paper,scissors,-1,3
35,self_transition_up,react_gpt4o,35,scissors,rock,-1,3
36,self_transition_up,react_gpt4o,36,rock,scissors,3,-1
37,self_transition_up,react_gpt4o,37,paper,paper,0,0
38,self_transition_up,react_gpt4o,38,scissors,scissors,0,0
39,self_transition_up,react_gpt4o,39,scissors,rock,-1,3
40,self_transition_up,react_gpt4o,40,rock,rock,0,0
41,self_transition_up,react_gpt4o,41,paper,paper,0,0
42,self_transition_up,react_gpt4o,42,scissors,scissors,0,0
43,self_transition_up,react_gpt4o,43,rock,rock,0,0
44,self_transition_up,react_gpt4o,44,paper,paper,0,0
45,self_transition_up,react_gpt4o,45,scissors,scissors,0,0
46,self_transition_up,react_gpt4o,46,rock,rock,0,0
47,self_transition_up,react_gpt4o,47,paper,paper,0,0
48,self_transition_up,react_gpt4o,48,scissors,scissors,0,0
49,self_transition_up,react_gpt4o,49,rock,rock,0,0
50,self_transition_up,react_gpt4o,50,paper,paper,0,0
51,self_transition_up,react_gpt4o,51,scissors,scissors,0,0
52,self_transition_up,react_gpt4o,52,rock,rock,0,0
53,self_transition_up,react_gpt4o,53,paper,paper,0,0
54,self_transition_up,react_gpt4o,54,rock,paper,-1,3
55,self_transition_up,react_gpt4o,55,paper,paper,0,0
56,self_transition_up,react_gpt4o,56,paper,scissors,-1,3
57,self_transition_up,react_gpt4o,57,scissors,paper,3,-1
58,self_transition_up,react_gpt4o,58,scissors,rock,-1,3
59,self_transition_up,react_gpt4o,59,rock,paper,-1,3
60,self_transition_up,react_gpt4o,60,paper,rock,3,-1
61,self_transition_up,react_gpt4o,61,scissors,scissors,0,0
62,self_transition_up,react_gpt4o,62,rock,rock,0,0
63,self_transition_up,react_gpt4o,63,paper,paper,0,0
64,self_transition_up,react_gpt4o,64,scissors,scissors,0,0
65,self_transition_up,react_gpt4o,65,rock,rock,0,0
66,self_transition_up,react_gpt4o,66,rock,paper,-1,3
67,self_transition_up,react_gpt4o,67,scissors,rock,-1,3
68,self_transition_up,react_gpt4o,68,rock,scissors,3,-1
69,self_transition_up,react_gpt4o,69,paper,paper,0,0
70,self_transition_up,react_gpt4o,70,scissors,scissors,0,0
71,self_transition_up,react_gpt4o,71,rock,rock,0,0
72,self_transition_up,react_gpt4o,72,paper,paper,0,0
73,self_transition_up,react_gpt4o,73,scissors,scissors,0,0
74,self_transition_up,react_gpt4o,74,rock,rock,0,0
75,self_transition_up,react_gpt4o,75,paper,paper,0,0
76,self_transition_up,react_gpt4o,76,rock,scissors,3,-1
77,self_transition_up,react_gpt4o,77,paper,paper,0,0
78,self_transition_up,react_gpt4o,78,scissors,scissors,0,0
79,self_transition_up,react_gpt4o,79,rock,rock,0,0
80,self_transition_up,react_gpt4o,80,rock,paper,-1,3
81,self_transition_up,react_gpt4o,81,paper,paper,0,0
82,self_transition_up,react_gpt4o,82,scissors,scissors,0,0
83,self_transition_up,react_gpt4o,83,rock,rock,0,0
84,self_transition_up,react_gpt4o,84,paper,paper,0,0
85,self_transition_up,react_gpt4o,85,scissors,scissors,0,0
86,self_transition_up,react_gpt4o,86,rock,paper,-1,3
87,self_transition_up,react_gpt4o,87,scissors,paper,3,-1
88,self_transition_up,react_gpt4o,88,rock,rock,0,0
89,self_transition_up,react_gpt4o,89,paper,paper,0,0
90,self_transition_up,react_gpt4o,90,rock,rock,0,0
91,self_transition_up,react_gpt4o,91,paper,paper,0,0
92,self_transition_up,react_gpt4o,92,scissors,scissors,0,0
93,self_transition_up,react_gpt4o,93,rock,rock,0,0
94,self_transition_up,react_gpt4o,94,paper,scissors,-1,3
95,self_transition_up,react_gpt4o,95,scissors,paper,3,-1
96,self_transition_up,react_gpt4o,96,rock,rock,0,0
97,self_transition_up,react_gpt4o,97,paper,paper,0,0
98,self_transition_up,react_gpt4o,98,scissors,scissors,0,0
99,self_transition_up,react_gpt4o,99,rock,rock,0,0
100,self_transition_up,react_gpt4o,100,paper,paper,0,0
101,self_transition_up,react_gpt4o,101,scissors,scissors,0,0
102,self_transition_up,react_gpt4o,102,rock,rock,0,0
103,self_transition_up,react_gpt4o,103,paper,paper,0,0
104,self_transition_up,react_gpt4o,104,scissors,scissors,0,0
105,self_transition_up,react_gpt4o,105,rock,rock,0,0
106,self_transition_up,react_gpt4o,106,paper,paper,0,0
107,self_transition_up,react_gpt4o,107,scissors,scissors,0,0
108,self_transition_up,react_gpt4o,108,rock,rock,0,0
109,self_transition_up,react_gpt4o,109,paper,paper,0,0
110,self_transition_up,react_gpt4o,110,scissors,scissors,0,0
111,self_transition_up,react_gpt4o,111,rock,paper,-1,3
112,self_transition_up,react_gpt4o,112,paper,paper,0,0
113,self_transition_up,react_gpt4o,113,scissors,scissors,0,0
114,self_transition_up,react_gpt4o,114,rock,rock,0,0
115,self_transition_up,react_gpt4o,115,paper,paper,0,0
